backbone,ranking_method,clinical_event,review_budget,reviewed_n,auto_released_n,dangerous_error_total,dangerous_error_captured,dangerous_error_recall_at_k,dangerous_error_precision_at_k,dangerous_error_lift_vs_random,residual_dangerous_error_count,residual_dangerous_error_rate,dangerous_errors_per_100_reviewed,number_needed_to_review
convnext_tiny,confidence_only,general_error,0.05,55,1045,205,32,0.15609756097560976,0.5818181818181818,3.1219512195121952,173,0.16555023923444975,58.18181818181818,1.71875
convnext_tiny,confidence_only,general_error,0.1,110,990,205,60,0.2926829268292683,0.5454545454545454,2.926829268292683,145,0.14646464646464646,54.54545454545454,1.8333333333333333
convnext_tiny,confidence_only,general_error,0.2,220,880,205,95,0.4634146341463415,0.4318181818181818,2.317073170731707,110,0.125,43.18181818181818,2.3157894736842106
convnext_tiny,confidence_only,general_error,0.3,330,770,205,136,0.6634146341463415,0.4121212121212121,2.2113821138211383,69,0.08961038961038961,41.21212121212121,2.426470588235294
convnext_tiny,confidence_only,large_undergrading,0.05,55,1045,50,10,0.2,0.18181818181818182,4.0,40,0.03827751196172249,18.181818181818183,5.5
convnext_tiny,confidence_only,large_undergrading,0.1,110,990,50,17,0.34,0.15454545454545454,3.4,33,0.03333333333333333,15.454545454545453,6.470588235294118
convnext_tiny,confidence_only,large_undergrading,0.2,220,880,50,25,0.5,0.11363636363636363,2.5,25,0.028409090909090908,11.363636363636363,8.8
convnext_tiny,confidence_only,large_undergrading,0.3,330,770,50,35,0.7,0.10606060606060606,2.3333333333333335,15,0.01948051948051948,10.606060606060606,9.428571428571429
convnext_tiny,confidence_only,referable_dr_miss,0.05,55,1045,77,11,0.14285714285714285,0.2,2.8571428571428568,66,0.06315789473684211,20.0,5.0
convnext_tiny,confidence_only,referable_dr_miss,0.1,110,990,77,23,0.2987012987012987,0.20909090909090908,2.9870129870129865,54,0.05454545454545454,20.909090909090907,4.782608695652174
convnext_tiny,confidence_only,referable_dr_miss,0.2,220,880,77,34,0.44155844155844154,0.15454545454545454,2.2077922077922074,43,0.048863636363636366,15.454545454545453,6.470588235294118
convnext_tiny,confidence_only,referable_dr_miss,0.3,330,770,77,57,0.7402597402597403,0.17272727272727273,2.4675324675324672,20,0.025974025974025976,17.272727272727273,5.7894736842105265
convnext_tiny,confidence_only,vision_threatening_dr_miss,0.05,55,1045,65,13,0.2,0.23636363636363636,4.0,52,0.049760765550239235,23.636363636363637,4.230769230769231
convnext_tiny,confidence_only,vision_threatening_dr_miss,0.1,110,990,65,21,0.3230769230769231,0.19090909090909092,3.230769230769231,44,0.044444444444444446,19.090909090909093,5.238095238095238
convnext_tiny,confidence_only,vision_threatening_dr_miss,0.2,220,880,65,34,0.5230769230769231,0.15454545454545454,2.6153846153846154,31,0.035227272727272725,15.454545454545453,6.470588235294118
convnext_tiny,confidence_only,vision_threatening_dr_miss,0.3,330,770,65,47,0.7230769230769231,0.14242424242424243,2.41025641025641,18,0.023376623376623377,14.242424242424242,7.0212765957446805
convnext_tiny,confidence_only,high_confidence_vision_threatening_miss,0.05,55,1045,14,0,0.0,0.0,0.0,14,0.013397129186602871,0.0,
convnext_tiny,confidence_only,high_confidence_vision_threatening_miss,0.1,110,990,14,0,0.0,0.0,0.0,14,0.014141414141414142,0.0,
convnext_tiny,confidence_only,high_confidence_vision_threatening_miss,0.2,220,880,14,0,0.0,0.0,0.0,14,0.015909090909090907,0.0,
convnext_tiny,confidence_only,high_confidence_vision_threatening_miss,0.3,330,770,14,0,0.0,0.0,0.0,14,0.01818181818181818,0.0,
convnext_tiny,margin_only,general_error,0.05,55,1045,205,27,0.13170731707317074,0.4909090909090909,2.6341463414634148,178,0.17033492822966506,49.09090909090909,2.037037037037037
convnext_tiny,margin_only,general_error,0.1,110,990,205,56,0.2731707317073171,0.509090909090909,2.731707317073171,149,0.1505050505050505,50.90909090909091,1.9642857142857142
convnext_tiny,margin_only,general_error,0.2,220,880,205,98,0.47804878048780486,0.44545454545454544,2.3902439024390243,107,0.1215909090909091,44.54545454545455,2.2448979591836733
convnext_tiny,margin_only,general_error,0.3,330,770,205,134,0.6536585365853659,0.40606060606060607,2.178861788617886,71,0.09220779220779221,40.60606060606061,2.462686567164179
