method,type,n_images,accuracy,macro_f1,qwk,n_correct,n_error
oracle_expert_selection,oracle_upper_bound,1100,0.9109090909090909,0.8272962380195346,0.9386152710811171,1002,98
experts_only_average,posthoc_average_ensemble,1100,0.8545454545454545,0.7186645964065106,0.910170019929115,940,160
retfound_mae_cfp_official_protocol,single_model,1100,0.8481818181818181,0.7053623145676526,0.9128907111651475,933,167
all_three_average,posthoc_average_ensemble,1100,0.8454545454545455,0.7111982937349345,0.9062788648355965,930,170
convnext_tiny,single_model,1100,0.8136363636363636,0.6496387745585863,0.86153550730867,895,205
retfound_green_linear_probe,single_model,1100,0.7790909090909091,0.6394309461388187,0.8653377490177998,857,243
