epoch,train_loss,val_loss,val_acc,best_acc
1,0.9260729947127402,0.7419421442729586,0.7392996108949417,0.0
2,0.6543939975090325,0.6580832420903093,0.754863813229572,0.7392996108949417
3,0.5585520821623504,0.5405011628480518,0.7840466926070039,0.754863813229572
4,0.5106314141303301,0.5732299717663623,0.7976653696498055,0.7840466926070039
5,0.46807917580008507,0.5723302745506825,0.7762645914396887,0.7976653696498055
6,0.44233345170505345,0.5075194497373613,0.8035019455252919,0.7976653696498055
7,0.39145585079677403,0.4874231539228383,0.8229571984435797,0.8035019455252919
8,0.35441924107726663,0.512468317975564,0.8268482490272373,0.8229571984435797
9,0.3343348827911541,0.528542479253648,0.8365758754863813,0.8268482490272373
10,0.29446519969496876,0.6123521923727822,0.830739299610895,0.8365758754863813
