replay_id,task_id,routing_type,status,scout_artifact_ids,expert_artifact_id,n_rows,best_policy,best_budget,best_accuracy,best_macro_f1,notes
dr_convnext_to_retfound_adapter_replay,aptos_dr_5class,single_scout,skipped_missing_predictions,convnext_tiny,retfound_mae_cfp_official_protocol,0,,,,,缺少 scout 或 expert predictions
dr_swin_to_retfound_adapter_replay,aptos_dr_5class,single_scout,skipped_missing_predictions,swin_tiny,retfound_mae_cfp_official_protocol,0,,,,,缺少 scout 或 expert predictions
dr_convnext_swin_to_retfound_adapter_replay,aptos_dr_5class,multi_scout,skipped_missing_predictions,convnext_tiny|swin_tiny,retfound_mae_cfp_official_protocol,0,,,,,缺少 predictions：convnext_tiny|swin_tiny|retfound_mae_cfp_official_protocol
glaucoma_convnext_to_retfound_dinov2_adapter_replay,glaucoma_3class,single_scout,skipped_missing_predictions,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0,,,,,缺少 scout 或 expert predictions
