policy,expert,expert_call_rate,expert_call_n,expert_calls_per_deferred_image,expert_call_equivalent,relative_cost_vs_dense,accuracy,macro_f1,qwk,gain_over_green,gain_over_best_single,gain_over_dense,random_accuracy_mean,random_accuracy_p975,gain_over_random_mean,above_random_975,gain_per_100_expert_calls
low_margin,both_average,0.5,550,2,1100,0.5,0.8427272727272728,0.7096944790476715,0.8952202231965313,0.06363636363636371,0.029090909090909167,0.011818181818181839,0.8092881818181817,0.8209090909090909,0.03343909090909103,True,0.005785123966942155
low_confidence,both_average,0.5,550,2,1100,0.5,0.8418181818181818,0.7083731655972832,0.8949632949839527,0.06272727272727274,0.028181818181818197,0.010909090909090868,0.8092881818181817,0.8209090909090909,0.03253000000000006,True,0.005702479338842976
high_entropy,both_average,0.5,550,2,1100,0.5,0.8409090909090909,0.7069478642689575,0.8947528546541224,0.06181818181818188,0.027272727272727337,0.010000000000000009,0.8092881818181817,0.8209090909090909,0.0316209090909092,True,0.005619834710743807
low_confidence,both_average,0.4,440,2,880,0.4,0.8363636363636363,0.6981402021657936,0.8937683116571822,0.05727272727272725,0.022727272727272707,0.005454545454545379,0.8030181818181819,0.8136363636363636,0.033345454545454456,True,0.006508264462809915
low_margin,both_average,0.4,440,2,880,0.4,0.8354545454545454,0.697848125072065,0.893715438166247,0.056363636363636394,0.021818181818181848,0.004545454545454519,0.8030181818181819,0.8136363636363636,0.0324363636363636,True,0.006404958677685953
high_entropy,both_average,0.4,440,2,880,0.4,0.8345454545454546,0.6951570881544684,0.8928336782981354,0.055454545454545534,0.020909090909090988,0.0036363636363636598,0.8030181818181819,0.8136363636363636,0.03152727272727274,True,0.006301652892561993
low_confidence,dense_average,0.5,550,2,1100,0.5,0.8309090909090909,0.6935173263762987,0.8874556246807673,0.051818181818181874,0.01727272727272733,0.0,0.8051913636363636,0.8136363636363636,0.025717727272727364,True,0.004710743801652898
low_margin,dense_average,0.5,550,2,1100,0.5,0.8309090909090909,0.6935173263762987,0.8874556246807673,0.051818181818181874,0.01727272727272733,0.0,0.8051913636363636,0.8136363636363636,0.025717727272727364,True,0.004710743801652898
high_entropy,dense_average,0.5,550,2,1100,0.5,0.8309090909090909,0.6935173263762987,0.8874556246807673,0.051818181818181874,0.01727272727272733,0.0,0.8051913636363636,0.8136363636363636,0.025717727272727364,True,0.004710743801652898
high_entropy,both_average,0.3,330,2,660,0.3,0.83,0.6927501551789976,0.8913536231699851,0.050909090909090904,0.016363636363636358,-0.0009090909090909705,0.796905,0.8072727272727273,0.033094999999999986,True,0.007713498622589531
