setting,policy,expert,expert_call_rate,expert_call_n,accuracy_mean,accuracy_p025,accuracy_p975,macro_f1_mean,qwk_mean,note
random_defer,random_2000_trials,convnext,0.1,110,0.7826181818181819,0.7754545454545455,0.79,0.6408694492653381,0.8650556004245109,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,convnext,0.2,220,0.7861549999999999,0.7763636363636364,0.7963636363636364,0.6423992162772496,0.864648552529318,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,convnext,0.3,330,0.7896622727272727,0.7781818181818182,0.8009090909090909,0.643740508252866,0.8644274654600577,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,convnext,0.4,440,0.7932531818181818,0.7818181818181819,0.8054545454545454,0.6450906968089342,0.8642561907444024,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,convnext,0.5,550,0.796570909090909,0.7845454545454545,0.8081818181818182,0.6458042508332443,0.8636964382612512,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,retfound_mae,0.1,110,0.7815922727272726,0.7736363636363637,0.7890909090909091,0.6389637384257143,0.865446890052571,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,retfound_mae,0.2,220,0.78425,0.7736363636363637,0.7945454545454546,0.6380816013294194,0.8656770088530137,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,retfound_mae,0.3,330,0.7866659090909092,0.7745454545454545,0.7981818181818182,0.6361202580251695,0.8655712410435549,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,retfound_mae,0.4,440,0.7890331818181818,0.7763636363636364,0.8018181818181818,0.6335646309436626,0.8655236878725324,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,retfound_mae,0.5,550,0.7915177272727273,0.7790909090909091,0.8045454545454546,0.6299415463859747,0.8656593028567606,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,both_average,0.1,110,0.7848640909090909,0.7781818181818182,0.7918181818181819,0.6445792643241268,0.867728656319864,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,both_average,0.2,220,0.7908004545454547,0.7818181818181819,0.8,0.6499492906051468,0.8703617097778267,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,both_average,0.3,330,0.796905,0.7863636363636364,0.8072727272727273,0.6555059523270074,0.8729530981534184,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,both_average,0.4,440,0.8030181818181819,0.7927272727272727,0.8136363636363636,0.6612758967559255,0.8756352045076259,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,both_average,0.5,550,0.8092881818181817,0.7981818181818182,0.8209090909090909,0.6675253856329609,0.8784198939389349,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,dense_average,0.1,110,0.7842918181818181,0.7790909090909091,0.79,0.6445621478859936,0.8674832771285341,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,dense_average,0.2,220,0.7894113636363636,0.7818181818181819,0.7972727272727272,0.6495701985876516,0.8694937424758581,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,dense_average,0.3,330,0.7947131818181817,0.7863636363636364,0.8036363636363636,0.6549821999287556,0.8717139479496524,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,dense_average,0.4,440,0.7996927272727273,0.7909090909090909,0.8090909090909091,0.6599204916471185,0.8737382346320057,可部署随机下限：用于判断 uncertainty defer 是否真的有用
random_defer,random_2000_trials,dense_average,0.5,550,0.8051913636363636,0.7963636363636364,0.8136363636363636,0.6657585548681566,0.8760872988397982,可部署随机下限：用于判断 uncertainty defer 是否真的有用
