expert,policy,expert_call_rate,relative_cost_vs_dense,accuracy,macro_f1,qwk,gain_over_green,gain_over_best_single,gain_over_dense,random_accuracy_mean,random_accuracy_p975,gain_over_random_mean,above_random_975,gain_per_100_expert_calls
retfound_mae,high_entropy,0.1,0.05,0.7981818181818182,0.6706299334145606,0.8789799584298871,0.0190909090909091,-0.0154545454545453,-0.0327272727272727,0.7815922727272726,0.7890909090909091,0.0165895454545456,True,0.0173553719008265
convnext,low_confidence,0.1,0.05,0.7936363636363636,0.6544572116661639,0.8658109595233983,0.0145454545454545,-0.02,-0.0372727272727273,0.7826181818181819,0.79,0.0110181818181817,True,0.0132231404958677
convnext,low_confidence,0.2,0.1,0.8127272727272727,0.6696453739999685,0.8679653840953779,0.0336363636363636,-0.0009090909090908,-0.0181818181818181,0.7861549999999999,0.7963636363636364,0.0265722727272728,True,0.0152892561983471
retfound_mae,low_confidence,0.2,0.1,0.8081818181818182,0.6698476531715706,0.8797546564740373,0.0290909090909091,-0.0054545454545453,-0.0227272727272727,0.78425,0.7945454545454546,0.0239318181818182,True,0.0132231404958678
dense_average,low_confidence,0.1,0.1,0.8,0.6631195291890636,0.8746181168387409,0.0209090909090909,-0.0136363636363635,-0.0309090909090908,0.7842918181818181,0.79,0.0157081818181819,True,0.0095041322314049
both_average,low_confidence,0.1,0.1,0.7990909090909091,0.6615639864292046,0.8752864402858505,0.02,-0.0145454545454545,-0.0318181818181818,0.7848640909090909,0.7918181818181819,0.0142268181818181,True,0.0090909090909091
convnext,high_entropy,0.3,0.15,0.8190909090909091,0.6744408939319233,0.8754163498302471,0.04,0.0054545454545454,-0.0118181818181818,0.7896622727272727,0.8009090909090909,0.0294286363636363,True,0.0121212121212121
retfound_mae,high_entropy,0.3,0.15,0.8154545454545454,0.6722799796682947,0.8778564681547961,0.0363636363636363,0.0018181818181818,-0.0154545454545454,0.7866659090909092,0.7981818181818182,0.0287886363636362,True,0.0110192837465564
convnext,low_margin,0.4,0.2,0.8190909090909091,0.6705341595953078,0.8722816271095628,0.04,0.0054545454545454,-0.0118181818181818,0.7932531818181818,0.8054545454545454,0.0258377272727272,True,0.0090909090909091
both_average,low_margin,0.2,0.2,0.8181818181818182,0.6851553295893951,0.8817553484074726,0.0390909090909091,0.0045454545454546,-0.0127272727272726,0.7908004545454547,0.8,0.0273813636363635,True,0.0088842975206611
dense_average,low_confidence,0.2,0.2,0.8172727272727273,0.6820883781491054,0.8803972469725145,0.0381818181818182,0.0036363636363636,-0.0136363636363636,0.7894113636363636,0.7972727272727272,0.0278613636363637,True,0.0086776859504132
retfound_mae,high_entropy,0.4,0.2,0.8145454545454546,0.655642827037234,0.8743488364354602,0.0354545454545455,0.0009090909090909,-0.0163636363636363,0.7890331818181818,0.8018181818181818,0.0255122727272727,True,0.0080578512396694
convnext,low_confidence,0.5,0.25,0.8209090909090909,0.6710341752213351,0.8687052715165038,0.0418181818181818,0.0072727272727273,-0.01,0.796570909090909,0.8081818181818182,0.0243381818181819,True,0.0076033057851239
retfound_mae,low_margin,0.5,0.25,0.8181818181818182,0.6518457512463698,0.8748337233920722,0.0390909090909091,0.0045454545454546,-0.0127272727272726,0.7915177272727273,0.8045454545454546,0.0266640909090909,True,0.0071074380165289
both_average,high_entropy,0.3,0.3,0.83,0.6927501551789976,0.8913536231699851,0.0509090909090909,0.0163636363636363,-0.0009090909090909,0.796905,0.8072727272727273,0.0330949999999999,True,0.0077134986225895
dense_average,low_confidence,0.3,0.3,0.8254545454545454,0.6913229738208712,0.8837427575839316,0.0463636363636363,0.0118181818181818,-0.0054545454545454,0.7947131818181817,0.8036363636363636,0.0307413636363637,True,0.0070247933884297
both_average,low_confidence,0.4,0.4,0.8363636363636363,0.6981402021657936,0.8937683116571822,0.0572727272727272,0.0227272727272727,0.0054545454545453,0.8030181818181819,0.8136363636363636,0.0333454545454544,True,0.0065082644628099
dense_average,low_confidence,0.4,0.4,0.8281818181818181,0.6881477857802528,0.8858928390431786,0.049090909090909,0.0145454545454545,-0.0027272727272728,0.7996927272727273,0.8090909090909091,0.0284890909090907,True,0.0055785123966942
both_average,low_margin,0.5,0.5,0.8427272727272728,0.7096944790476715,0.8952202231965313,0.0636363636363637,0.0290909090909091,0.0118181818181818,0.8092881818181817,0.8209090909090909,0.033439090909091,True,0.0057851239669421
dense_average,low_confidence,0.5,0.5,0.8309090909090909,0.6935173263762987,0.8874556246807673,0.0518181818181818,0.0172727272727273,0.0,0.8051913636363636,0.8136363636363636,0.0257177272727273,True,0.0047107438016528
