dataset,backbone,target,method,budget,n,top_k,total_event,captured_event,captured_event_ci95_low,captured_event_ci95_high,event_recall,event_recall_ci95_low,event_recall_ci95_high,residual_event_count,residual_event_count_ci95_low,residual_event_count_ci95_high,residual_event_rate,residual_event_rate_ci95_low,residual_event_rate_ci95_high,enrichment_ratio,enrichment_ratio_ci95_low,enrichment_ratio_ci95_high
IDRiD_data,convnext_tiny,vtdr_miss,low_margin_only,0.4,103,42,23,12.0,,,0.5217391304347826,,,11.0,,,0.18032786885245902,,,1.2795031055900619,,
IDRiD_data,convnext_tiny,vtdr_miss,pred_grade_ascending,0.4,103,42,23,1.0,,,0.043478260869565216,,,22.0,,,0.36065573770491804,,,0.10662525879917183,,
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.4,103,42,23,10.5955,7.0,15.0,0.4606739130434783,0.30434782608695654,0.6521739130434783,12.4045,8.0,16.0,0.20335245901639343,0.13114754098360656,0.26229508196721313,1.129747929606625,0.7463768115942028,1.5993788819875776
IDRiD_data,convnext_tiny,vtdr_miss,entropy_only,0.5,103,52,23,14.0,,,0.6086956521739131,,,9.0,,,0.17647058823529413,,,1.205685618729097,,
IDRiD_data,convnext_tiny,vtdr_miss,expected_gap_only,0.5,103,52,23,17.0,,,0.7391304347826086,,,6.0,,,0.11764705882352941,,,1.4640468227424748,,
IDRiD_data,convnext_tiny,vtdr_miss,gated_severe_prob_mass_only,0.5,103,52,23,22.0,,,0.9565217391304348,,,1.0,,,0.0196078431372549,,,1.894648829431438,,
IDRiD_data,convnext_tiny,vtdr_miss,low_confidence_only,0.5,103,52,23,15.0,,,0.6521739130434783,,,8.0,,,0.1568627450980392,,,1.2918060200668895,,
IDRiD_data,convnext_tiny,vtdr_miss,low_margin_only,0.5,103,52,23,13.0,,,0.5652173913043478,,,10.0,,,0.19607843137254902,,,1.1195652173913042,,
IDRiD_data,convnext_tiny,vtdr_miss,pred_grade_ascending,0.5,103,52,23,1.0,,,0.043478260869565216,,,22.0,,,0.43137254901960786,,,0.08612040133779264,,
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.5,103,52,23,13.173,9.0,17.0,0.5727391304347825,0.391304347826087,0.7391304347826086,9.827,6.0,14.0,0.1926862745098039,0.11764705882352941,0.27450980392156865,1.1344640468227427,0.7750836120401338,1.4640468227424748
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,entropy_only,0.05,103,6,25,3.0,,,0.12,,,22.0,,,0.2268041237113402,,,2.06,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,expected_gap_only,0.05,103,6,25,3.0,,,0.12,,,22.0,,,0.2268041237113402,,,2.06,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,gated_severe_prob_mass_only,0.05,103,6,25,5.0,,,0.2,,,20.0,,,0.20618556701030927,,,3.4333333333333336,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,low_confidence_only,0.05,103,6,25,2.0,,,0.08,,,23.0,,,0.23711340206185566,,,1.3733333333333333,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,low_margin_only,0.05,103,6,25,2.0,,,0.08,,,23.0,,,0.23711340206185566,,,1.3733333333333333,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,pred_grade_ascending,0.05,103,6,25,0.0,,,0.0,,,25.0,,,0.25773195876288657,,,0.0,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.05,103,6,25,1.582,0.0,4.0,0.06328,0.0,0.16,23.418,21.0,25.0,0.24142268041237117,0.21649484536082475,0.25773195876288657,1.0863066666666668,0.0,2.7466666666666666
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,entropy_only,0.1,103,11,25,6.0,,,0.24,,,19.0,,,0.20652173913043478,,,2.247272727272727,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,expected_gap_only,0.1,103,11,25,5.0,,,0.2,,,20.0,,,0.21739130434782608,,,1.8727272727272726,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,gated_severe_prob_mass_only,0.1,103,11,25,10.0,,,0.4,,,15.0,,,0.16304347826086957,,,3.745454545454545,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,low_confidence_only,0.1,103,11,25,5.0,,,0.2,,,20.0,,,0.21739130434782608,,,1.8727272727272726,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,low_margin_only,0.1,103,11,25,5.0,,,0.2,,,20.0,,,0.21739130434782608,,,1.8727272727272726,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,pred_grade_ascending,0.1,103,11,25,0.0,,,0.0,,,25.0,,,0.2717391304347826,,,0.0,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.1,103,11,25,2.9505,0.0,6.0,0.11802000000000001,0.0,0.24,22.0495,19.0,25.0,0.23966847826086957,0.20652173913043478,0.2717391304347826,1.1050963636363635,0.0,2.247272727272727
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,entropy_only,0.2,103,21,25,10.0,,,0.4,,,15.0,,,0.18292682926829268,,,1.9619047619047618,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,expected_gap_only,0.2,103,21,25,12.0,,,0.48,,,13.0,,,0.15853658536585366,,,2.354285714285714,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,gated_severe_prob_mass_only,0.2,103,21,25,13.0,,,0.52,,,12.0,,,0.14634146341463414,,,2.5504761904761906,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,low_confidence_only,0.2,103,21,25,10.0,,,0.4,,,15.0,,,0.18292682926829268,,,1.9619047619047618,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,low_margin_only,0.2,103,21,25,10.0,,,0.4,,,15.0,,,0.18292682926829268,,,1.9619047619047618,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,pred_grade_ascending,0.2,103,21,25,0.0,,,0.0,,,25.0,,,0.3048780487804878,,,0.0,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.2,103,21,25,5.5475,2.0,9.0,0.22190000000000004,0.08,0.36,19.4525,16.0,23.0,0.2372256097560976,0.1951219512195122,0.2804878048780488,1.0883666666666665,0.39238095238095233,1.7657142857142856
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,entropy_only,0.3,103,31,25,14.0,,,0.56,,,11.0,,,0.1527777777777778,,,1.8606451612903225,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,expected_gap_only,0.3,103,31,25,14.0,,,0.56,,,11.0,,,0.1527777777777778,,,1.8606451612903225,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,gated_severe_prob_mass_only,0.3,103,31,25,17.0,,,0.68,,,8.0,,,0.1111111111111111,,,2.2593548387096773,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,low_confidence_only,0.3,103,31,25,12.0,,,0.48,,,13.0,,,0.18055555555555555,,,1.5948387096774193,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,low_margin_only,0.3,103,31,25,12.0,,,0.48,,,13.0,,,0.18055555555555555,,,1.5948387096774193,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,pred_grade_ascending,0.3,103,31,25,0.0,,,0.0,,,25.0,,,0.3472222222222222,,,0.0,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.3,103,31,25,8.344,4.0,13.0,0.33376,0.16,0.52,16.656,12.0,21.0,0.23133333333333334,0.16666666666666666,0.2916666666666667,1.1089445161290319,0.5316129032258065,1.727741935483871
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,entropy_only,0.4,103,42,25,17.0,,,0.68,,,8.0,,,0.13114754098360656,,,1.6676190476190476,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,expected_gap_only,0.4,103,42,25,15.0,,,0.6,,,10.0,,,0.16393442622950818,,,1.4714285714285715,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,gated_severe_prob_mass_only,0.4,103,42,25,24.0,,,0.96,,,1.0,,,0.01639344262295082,,,2.354285714285714,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,low_confidence_only,0.4,103,42,25,16.0,,,0.64,,,9.0,,,0.14754098360655737,,,1.5695238095238093,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,low_margin_only,0.4,103,42,25,14.0,,,0.56,,,11.0,,,0.18032786885245902,,,1.3733333333333333,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,pred_grade_ascending,0.4,103,42,25,0.0,,,0.0,,,25.0,,,0.4098360655737705,,,0.0,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.4,103,42,25,11.31,7.0,16.0,0.4524000000000001,0.28,0.64,13.69,9.0,18.0,0.2244262295081967,0.14754098360655737,0.29508196721311475,1.109457142857143,0.6866666666666666,1.5695238095238093
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,entropy_only,0.5,103,52,25,19.0,,,0.76,,,6.0,,,0.11764705882352941,,,1.5053846153846153,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,expected_gap_only,0.5,103,52,25,18.0,,,0.72,,,7.0,,,0.13725490196078433,,,1.426153846153846,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,gated_severe_prob_mass_only,0.5,103,52,25,24.0,,,0.96,,,1.0,,,0.0196078431372549,,,1.9015384615384616,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,low_confidence_only,0.5,103,52,25,17.0,,,0.68,,,8.0,,,0.1568627450980392,,,1.346923076923077,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,low_margin_only,0.5,103,52,25,16.0,,,0.64,,,9.0,,,0.17647058823529413,,,1.2676923076923077,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,pred_grade_ascending,0.5,103,52,25,2.0,,,0.08,,,23.0,,,0.45098039215686275,,,0.15846153846153846,,
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.5,103,52,25,13.9645,10.0,18.0,0.55858,0.4,0.72,11.0355,7.0,15.0,0.21638235294117647,0.13725490196078433,0.29411764705882354,1.106418076923077,0.7923076923076924,1.426153846153846
IDRiD_data,swin_tiny,vtdr_miss,entropy_only,0.05,103,6,29,4.0,,,0.13793103448275862,,,25.0,,,0.25773195876288657,,,2.367816091954023,,
IDRiD_data,swin_tiny,vtdr_miss,expected_gap_only,0.05,103,6,29,3.0,,,0.10344827586206896,,,26.0,,,0.26804123711340205,,,1.7758620689655173,,
IDRiD_data,swin_tiny,vtdr_miss,gated_severe_prob_mass_only,0.05,103,6,29,4.0,,,0.13793103448275862,,,25.0,,,0.25773195876288657,,,2.367816091954023,,
IDRiD_data,swin_tiny,vtdr_miss,low_confidence_only,0.05,103,6,29,2.0,,,0.06896551724137931,,,27.0,,,0.27835051546391754,,,1.1839080459770115,,
IDRiD_data,swin_tiny,vtdr_miss,low_margin_only,0.05,103,6,29,1.0,,,0.034482758620689655,,,28.0,,,0.28865979381443296,,,0.5919540229885057,,
IDRiD_data,swin_tiny,vtdr_miss,pred_grade_ascending,0.05,103,6,29,0.0,,,0.0,,,29.0,,,0.29896907216494845,,,0.0,,
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.05,103,6,29,1.7955,0.0,4.0,0.06191379310344827,0.0,0.13793103448275862,27.2045,25.0,29.0,0.28045876288659793,0.25773195876288657,0.29896907216494845,1.0628534482758623,0.0,2.367816091954023
IDRiD_data,swin_tiny,vtdr_miss,entropy_only,0.1,103,11,29,5.0,,,0.1724137931034483,,,24.0,,,0.2608695652173913,,,1.6144200626959249,,
IDRiD_data,swin_tiny,vtdr_miss,expected_gap_only,0.1,103,11,29,4.0,,,0.13793103448275862,,,25.0,,,0.2717391304347826,,,1.29153605015674,,
IDRiD_data,swin_tiny,vtdr_miss,gated_severe_prob_mass_only,0.1,103,11,29,9.0,,,0.3103448275862069,,,20.0,,,0.21739130434782608,,,2.9059561128526648,,
IDRiD_data,swin_tiny,vtdr_miss,low_confidence_only,0.1,103,11,29,2.0,,,0.06896551724137931,,,27.0,,,0.29347826086956524,,,0.64576802507837,,
IDRiD_data,swin_tiny,vtdr_miss,low_margin_only,0.1,103,11,29,2.0,,,0.06896551724137931,,,27.0,,,0.29347826086956524,,,0.64576802507837,,
IDRiD_data,swin_tiny,vtdr_miss,pred_grade_ascending,0.1,103,11,29,0.0,,,0.0,,,29.0,,,0.31521739130434784,,,0.0,,
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.1,103,11,29,3.2275,1.0,6.0,0.11129310344827585,0.034482758620689655,0.20689655172413793,25.7725,23.0,28.0,0.28013586956521735,0.25,0.30434782608695654,1.0421081504702192,0.322884012539185,1.9373040752351096
IDRiD_data,swin_tiny,vtdr_miss,entropy_only,0.2,103,21,29,6.0,,,0.20689655172413793,,,23.0,,,0.2804878048780488,,,1.0147783251231528,,
IDRiD_data,swin_tiny,vtdr_miss,expected_gap_only,0.2,103,21,29,8.0,,,0.27586206896551724,,,21.0,,,0.25609756097560976,,,1.3530377668308702,,
IDRiD_data,swin_tiny,vtdr_miss,gated_severe_prob_mass_only,0.2,103,21,29,17.0,,,0.5862068965517241,,,12.0,,,0.14634146341463414,,,2.8752052545155995,,
IDRiD_data,swin_tiny,vtdr_miss,low_confidence_only,0.2,103,21,29,4.0,,,0.13793103448275862,,,25.0,,,0.3048780487804878,,,0.6765188834154351,,
IDRiD_data,swin_tiny,vtdr_miss,low_margin_only,0.2,103,21,29,4.0,,,0.13793103448275862,,,25.0,,,0.3048780487804878,,,0.6765188834154351,,
IDRiD_data,swin_tiny,vtdr_miss,pred_grade_ascending,0.2,103,21,29,0.0,,,0.0,,,29.0,,,0.35365853658536583,,,0.0,,
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.2,103,21,29,6.122,3.0,10.0,0.21110344827586205,0.10344827586206896,0.3448275862068966,22.878,19.0,26.0,0.279,0.23170731707317074,0.3170731707317073,1.0354121510673235,0.5073891625615764,1.6912972085385878
IDRiD_data,swin_tiny,vtdr_miss,entropy_only,0.3,103,31,29,8.0,,,0.27586206896551724,,,21.0,,,0.2916666666666667,,,0.9165739710789766,,
IDRiD_data,swin_tiny,vtdr_miss,expected_gap_only,0.3,103,31,29,11.0,,,0.3793103448275862,,,18.0,,,0.25,,,1.260289210233593,,
IDRiD_data,swin_tiny,vtdr_miss,gated_severe_prob_mass_only,0.3,103,31,29,22.0,,,0.7586206896551724,,,7.0,,,0.09722222222222222,,,2.520578420467186,,
IDRiD_data,swin_tiny,vtdr_miss,low_confidence_only,0.3,103,31,29,7.0,,,0.2413793103448276,,,22.0,,,0.3055555555555556,,,0.8020022246941045,,
IDRiD_data,swin_tiny,vtdr_miss,low_margin_only,0.3,103,31,29,6.0,,,0.20689655172413793,,,23.0,,,0.3194444444444444,,,0.6874304783092325,,
IDRiD_data,swin_tiny,vtdr_miss,pred_grade_ascending,0.3,103,31,29,1.0,,,0.034482758620689655,,,28.0,,,0.3888888888888889,,,0.11457174638487208,,
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.3,103,31,29,9.0995,5.0,13.0,0.31377586206896557,0.1724137931034483,0.4482758620689655,19.9005,16.0,24.0,0.2763958333333334,0.2222222222222222,0.3333333333333333,1.0425456062291436,0.5728587319243604,1.4894327030033372
IDRiD_data,swin_tiny,vtdr_miss,entropy_only,0.4,103,42,29,12.0,,,0.41379310344827586,,,17.0,,,0.2786885245901639,,,1.0147783251231528,,
IDRiD_data,swin_tiny,vtdr_miss,expected_gap_only,0.4,103,42,29,14.0,,,0.4827586206896552,,,15.0,,,0.2459016393442623,,,1.1839080459770115,,
IDRiD_data,swin_tiny,vtdr_miss,gated_severe_prob_mass_only,0.4,103,42,29,25.0,,,0.8620689655172413,,,4.0,,,0.06557377049180328,,,2.1141215106732347,,
IDRiD_data,swin_tiny,vtdr_miss,low_confidence_only,0.4,103,42,29,10.0,,,0.3448275862068966,,,19.0,,,0.3114754098360656,,,0.8456486042692939,,
IDRiD_data,swin_tiny,vtdr_miss,low_margin_only,0.4,103,42,29,10.0,,,0.3448275862068966,,,19.0,,,0.3114754098360656,,,0.8456486042692939,,
IDRiD_data,swin_tiny,vtdr_miss,pred_grade_ascending,0.4,103,42,29,1.0,,,0.034482758620689655,,,28.0,,,0.45901639344262296,,,0.08456486042692939,,
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.4,103,42,29,12.3075,8.0,17.0,0.4243965517241379,0.27586206896551724,0.5862068965517241,16.6925,12.0,21.0,0.2736475409836065,0.19672131147540983,0.3442622950819672,1.0407820197044335,0.6765188834154351,1.4376026272577997
IDRiD_data,swin_tiny,vtdr_miss,entropy_only,0.5,103,52,29,16.0,,,0.5517241379310345,,,13.0,,,0.2549019607843137,,,1.0928381962864722,,
IDRiD_data,swin_tiny,vtdr_miss,expected_gap_only,0.5,103,52,29,18.0,,,0.6206896551724138,,,11.0,,,0.21568627450980393,,,1.2294429708222812,,
IDRiD_data,swin_tiny,vtdr_miss,gated_severe_prob_mass_only,0.5,103,52,29,26.0,,,0.896551724137931,,,3.0,,,0.058823529411764705,,,1.7758620689655173,,
IDRiD_data,swin_tiny,vtdr_miss,low_confidence_only,0.5,103,52,29,15.0,,,0.5172413793103449,,,14.0,,,0.27450980392156865,,,1.0245358090185677,,
