dataset,target,budget,method,comparator,n_bootstrap,n_unique_images,mean_delta_event_recall,ci95_low_delta_event_recall,ci95_high_delta_event_recall,win_rate_delta_gt_0,mean_residual_event_count_reduction,ci95_low_residual_event_count_reduction,ci95_high_residual_event_count_reduction,mean_residual_event_rate_reduction,ci95_low_residual_event_rate_reduction,ci95_high_residual_event_rate_reduction
IDRiD_data,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,103,0.3384947383677577,0.219505219626783,0.4741920355000354,1.0,7.878723463150438,5.393899741780753,10.21961246239342,0.0960819934530541,0.0657792651436677,0.1246294202730904
MESSIDOR2,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,526,0.6267938959020204,0.5003397997754392,0.7368535720558153,1.0,16.739622982569866,11.014348336079133,23.0891349512185,0.0398562451965949,0.0262246388954265,0.0549741308362345
