dataset,n_unique_images,n_prediction_rows,n_backbones,event_count_min_per_backbone,event_count_mean_per_backbone,event_count_max_per_backbone
IDRiD_data,103,618,6,17,24.0,29
MESSIDOR2,526,3156,6,21,26.666666666666668,29
