repeat_index,total_forward_ms,ms_per_image,peak_allocated_memory_mb
1,218.40735245496035,0.46969323108593625,557.267578125
2,218.65915996022522,0.47023475260263486,557.267578125
3,218.65297062322497,0.47022144220048384,557.267578125
4,218.47934601828456,0.46984805595330015,557.267578125
5,218.5704754665494,0.47004403326139654,557.267578125
