job_id,task_id,artifact_id,cost_scope,device,actual_device_name,precision,batch_size,warmup_runs,timed_runs,mean_ms_per_image,median_ms_per_image,std_ms_per_image,cv_ms_per_image,images_per_second,peak_allocated_memory_mb,checkpoint_mb,notes
dr_convnext_tiny_adapter,aptos_dr_5class,convnext_tiny,forward_only,cuda,NVIDIA GeForce RTX 4090,fp32,32,3,5,0.4733123010955751,0.4732864309864288,0.0005434556939477,0.0011481968516132,2112.885421024619,558.1484375,106.20856094360352,多次 single-GPU forward-only benchmark；不含读取、预处理、传输和服务开销
dr_swin_tiny_adapter,aptos_dr_5class,swin_tiny,forward_only,cuda,NVIDIA GeForce RTX 4090,fp32,32,3,5,0.6109212309291416,0.6109218000942334,0.0004060750660687,0.0006646930005217,1636.8707088955612,615.4033203125,105.06313514709473,多次 single-GPU forward-only benchmark；不含读取、预处理、传输和服务开销
dr_vit_b_imagenet_adapter,aptos_dr_5class,vit_b_imagenet,forward_only,cuda,NVIDIA GeForce RTX 4090,fp32,32,3,5,1.0946745832704683,1.091539481951093,0.0076265833885866,0.0069669868152061,916.13726899968,594.68603515625,327.36853981018066,多次 single-GPU forward-only benchmark；不含读取、预处理、传输和服务开销
glaucoma_convnext_adapter,glaucoma_3class,convnext_tiny_glaucoma_scout,forward_only,cuda,NVIDIA GeForce RTX 4090,fp32,32,3,5,0.4700083030207503,0.4700440332613965,0.0002360793404258,0.0005022875955777,2127.460257417818,557.267578125,106.20270156860352,多次 single-GPU forward-only benchmark；不含读取、预处理、传输和服务开销
