replay_id,task_id,routing_type,prediction_source_mode,scout_artifact_ids,expert_artifact_id,status,n_rows,best_policy,best_budget,best_accuracy,best_macro_f1,notes
dr_convnext_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,convnext_tiny,retfound_mae_cfp_official_protocol,completed,1100,low_confidence,0.5,0.8518181818181818,0.7120131767323397,工程链路 sanity replay；mixed adapter/legacy 不是新科研实验
dr_swin_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,swin_tiny,retfound_mae_cfp_official_protocol,completed,1100,low_confidence,0.5,0.8518181818181818,0.7086303808590415,工程链路 sanity replay；mixed adapter/legacy 不是新科研实验
dr_vit_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,vit_b_imagenet,retfound_mae_cfp_official_protocol,completed,1100,low_confidence,0.3,0.8481818181818181,0.705131983477395,工程链路 sanity replay；mixed adapter/legacy 不是新科研实验
glaucoma_convnext_to_retfound_dinov2_mixed,glaucoma_3class,single_scout,mixed_adapter_legacy,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,completed,465,low_confidence,0.5,0.8602150537634409,0.8302802185729826,工程链路 sanity replay；mixed adapter/legacy 不是新科研实验
