method,expert_mode,budget,k,n_random,acc_mean,acc_p025,acc_p975,macro_f1_mean,qwk_mean
random_defer,convnext,0.1,110,2000,0.7826109090909091,0.7754545454545455,0.79,0.6409364327743633,0.8650276412694967
random_defer,retfound_official_protocol,0.1,110,2000,0.7860327272727272,0.7790909090909091,0.7927272727272727,0.6460182849739635,0.8698209060852864
random_defer,both_experts_average,0.1,110,2000,0.7865381818181818,0.78,0.7927272727272727,0.6468172462298593,0.8694153686040336
random_defer,all_three_average,0.1,110,2000,0.7858722727272728,0.78,0.7918181818181819,0.6465489505937585,0.8692779122817794
random_defer,convnext,0.2,220,2000,0.7859640909090909,0.7763636363636364,0.7954545454545454,0.642117285592664,0.8646260978382837
random_defer,retfound_official_protocol,0.2,220,2000,0.793104090909091,0.7836363636363637,0.8027272727272727,0.6527924878401298,0.8744374001256999
random_defer,both_experts_average,0.2,220,2000,0.7940690909090908,0.7854545454545454,0.8036363636363636,0.654373431280562,0.8737682400830042
random_defer,all_three_average,0.2,220,2000,0.792243181818182,0.7845454545454545,0.8,0.6529654749321371,0.8730315141742807
random_defer,convnext,0.3,330,2000,0.7894445454545455,0.7790909090909091,0.8009090909090909,0.6434729858095929,0.8644225236919199
random_defer,retfound_official_protocol,0.3,330,2000,0.7998672727272728,0.7890909090909091,0.8109090909090909,0.658951821551074,0.8791050006378871
random_defer,both_experts_average,0.3,330,2000,0.8017295454545453,0.7918181818181819,0.8118181818181818,0.6620784687491952,0.8780348850885805
random_defer,all_three_average,0.3,330,2000,0.798925909090909,0.79,0.8072727272727273,0.6600221092623456,0.8769192752044913
random_defer,convnext,0.4,440,2000,0.793135909090909,0.7818181818181819,0.8054545454545454,0.6448149964874205,0.8641365072419532
random_defer,retfound_official_protocol,0.4,440,2000,0.8065886363636364,0.7954545454545454,0.8172727272727273,0.6652860407201274,0.8836776855930348
random_defer,both_experts_average,0.4,440,2000,0.8092818181818181,0.7981818181818182,0.82,0.6697847931287673,0.8824814296841696
random_defer,all_three_average,0.4,440,2000,0.8056654545454545,0.7954545454545454,0.8154545454545454,0.6671652862329372,0.8810428429928797
random_defer,convnext,0.5,550,2000,0.7962004545454545,0.7845454545454545,0.8081818181818182,0.6454416141236007,0.8634145324198057
random_defer,retfound_official_protocol,0.5,550,2000,0.8135540909090908,0.8018181818181818,0.8254545454545454,0.6718852416618621,0.8884352366374801
random_defer,both_experts_average,0.5,550,2000,0.8170081818181818,0.8063636363636364,0.8272727272727273,0.6780360929579433,0.8870945428942786
random_defer,all_three_average,0.5,550,2000,0.8123936363636365,0.8027272727272727,0.8218181818181818,0.6743996941775677,0.8851200962123772
