method,route_signal,expert_mode,budget,expert_calls,n_images,accuracy,macro_f1,qwk,n_correct,n_error,gain_vs_dense_all,gain_vs_dense_experts,expert_call_fraction_vs_dense_experts,acc_mean,acc_p025,acc_p975,above_random_p975
uncertainty_defer,low_confidence,both_experts_average,0.3,660,1100,0.84,0.7078744360428191,0.9020765995035941,924,176,-0.00545454545454549,-0.014545454545454528,0.3,0.8017295454545453,0.7918181818181819,0.8118181818181818,True
uncertainty_defer,low_confidence,both_experts_average,0.4,880,1100,0.8454545454545455,0.7086220559327303,0.9074051453741873,930,170,0.0,-0.009090909090909038,0.4,0.8092818181818181,0.7981818181818182,0.82,True
uncertainty_defer,low_confidence,both_experts_average,0.5,1100,1100,0.8527272727272728,0.7199646449868917,0.9102194582120389,938,162,0.0072727272727273196,-0.0018181818181817189,0.5,0.8170081818181818,0.8063636363636364,0.8272727272727273,True
uncertainty_defer,low_margin,both_experts_average,0.3,660,1100,0.8354545454545454,0.7002160041304724,0.8993116472856493,919,181,-0.010000000000000009,-0.019090909090909047,0.3,0.8017295454545453,0.7918181818181819,0.8118181818181818,True
uncertainty_defer,low_margin,both_experts_average,0.4,880,1100,0.8454545454545455,0.7095355163011178,0.9075934003614643,930,170,0.0,-0.009090909090909038,0.4,0.8092818181818181,0.7981818181818182,0.82,True
uncertainty_defer,low_margin,both_experts_average,0.5,1100,1100,0.8527272727272728,0.7198927810341795,0.9102059500962765,938,162,0.0072727272727273196,-0.0018181818181817189,0.5,0.8170081818181818,0.8063636363636364,0.8272727272727273,True
uncertainty_defer,high_entropy,both_experts_average,0.3,660,1100,0.8409090909090909,0.7058955368244861,0.9055984799176972,925,175,-0.004545454545454519,-0.013636363636363558,0.3,0.8017295454545453,0.7918181818181819,0.8118181818181818,True
uncertainty_defer,high_entropy,both_experts_average,0.4,880,1100,0.8463636363636363,0.7108632125879101,0.907528942430116,931,169,0.0009090909090908594,-0.008181818181818179,0.4,0.8092818181818181,0.7981818181818182,0.82,True
uncertainty_defer,high_entropy,both_experts_average,0.5,1100,1100,0.8518181818181818,0.7186682167890306,0.9099985075263315,937,163,0.006363636363636349,-0.0027272727272726893,0.5,0.8170081818181818,0.8063636363636364,0.8272727272727273,True
