backbone,class,precision,recall,f1,support
ConvNeXt-Tiny,No DR,0.9742647058823529,0.977859778597786,0.9760589318600368,542.0
ConvNeXt-Tiny,Mild DR,0.49382716049382713,0.7207207207207207,0.5860805860805861,111.0
ConvNeXt-Tiny,Moderate DR,0.7684563758389261,0.7633333333333333,0.7658862876254181,300.0
ConvNeXt-Tiny,Severe DR,0.4696969696969697,0.5344827586206896,0.5,58.0
ConvNeXt-Tiny,Proliferative DR,0.8333333333333334,0.2808988764044944,0.42016806722689076,89.0
Swin-Tiny,No DR,0.9726277372262774,0.9833948339483395,0.9779816513761468,542.0
Swin-Tiny,Mild DR,0.5980392156862745,0.5495495495495496,0.5727699530516432,111.0
Swin-Tiny,Moderate DR,0.723943661971831,0.8566666666666667,0.7847328244274809,300.0
Swin-Tiny,Severe DR,0.5333333333333333,0.27586206896551724,0.36363636363636365,58.0
Swin-Tiny,Proliferative DR,0.6923076923076923,0.5056179775280899,0.5844155844155844,89.0
ViT-B/16,No DR,0.9723247232472325,0.9723247232472325,0.9723247232472325,542.0
ViT-B/16,Mild DR,0.6296296296296297,0.6126126126126126,0.6210045662100456,111.0
ViT-B/16,Moderate DR,0.7373134328358208,0.8233333333333334,0.7779527559055118,300.0
ViT-B/16,Severe DR,0.34545454545454546,0.3275862068965517,0.336283185840708,58.0
ViT-B/16,Proliferative DR,0.65,0.43820224719101125,0.5234899328859061,89.0
ViT-B/16 official-like,No DR,0.9550359712230215,0.9797047970479705,0.9672131147540983,542.0
ViT-B/16 official-like,Mild DR,0.6197183098591549,0.3963963963963964,0.4835164835164835,111.0
ViT-B/16 official-like,Moderate DR,0.6736292428198434,0.86,0.7554904831625183,300.0
ViT-B/16 official-like,Severe DR,0.625,0.08620689655172414,0.15151515151515152,58.0
ViT-B/16 official-like,Proliferative DR,0.5,0.4606741573033708,0.47953216374269003,89.0
RETFound-MAE-CFP official-like,No DR,0.9794007490636704,0.9649446494464945,0.9721189591078067,542.0
RETFound-MAE-CFP official-like,Mild DR,0.6,0.5405405405405406,0.5687203791469194,111.0
RETFound-MAE-CFP official-like,Moderate DR,0.6925287356321839,0.8033333333333333,0.7438271604938271,300.0
RETFound-MAE-CFP official-like,Severe DR,1.0,0.034482758620689655,0.06666666666666667,58.0
RETFound-MAE-CFP official-like,Proliferative DR,0.5,0.651685393258427,0.5658536585365853,89.0
