model_name,role,stage,checkpoint_mb,img_size,n_images,n_images_excluding_first,mean_ms_raw,median_ms_raw,max_ms_raw,mean_ms_excluding_first,median_ms_excluding_first,max_ms_excluding_first,peak_mem_mb,note
retfound_green,scout,demo_samples_embedding_smoke_test,83.34796524047852,392,15,14,6.02186641190201,5.567547050304711,7.971951039507985,6.056281729667846,5.617755523417145,7.971951039507985,108.77685546875,RETFound-Green demo_samples smoke test only; embedding output; no classification head.
convnext_tiny,existing_expert,demo_samples_classifier_inference,106.20856094360352,224,15,14,10.714472675075134,5.832536960951984,77.19915302004665,5.965566936148597,5.806951492559165,6.689214031212032,130.9111328125,Existing expert classifier inference on demo_samples.
retfound_mae_cfp_official_like,existing_expert,demo_samples_classifier_inference,1157.1368503570557,224,15,14,8.083592657931149,8.076398982666433,8.18906002677977,8.081399993638374,8.07577045634389,8.18906002677977,1175.75537109375,Existing expert classifier inference on demo_samples.
