name,n_images,accuracy,macro_f1,qwk,n_error,mean_confidence,mean_margin,mean_entropy,estimated_forward_ms_per_image,images_per_second,relative_forward_cost_vs_fastest_model,relative_forward_cost_vs_expert,peak_allocated_memory_mb,checkpoint_mb,batch_size,device,timing_source,timing_scope
retfound_mae_cfp_official_protocol,1100,0.8481818181818181,0.7053623145676526,0.9128907111651475,167,0.8811935412070968,0.7918451526260419,0.3171171705071795,3.517568206041774,284.7601111086143,7.235650948823635,1.0,1479.02490234375,1157.1359272003174,32,cuda,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_0_greenscout_feasibility/protocol_control/actual_cost/actual_online_model_cost.csv,single-GPU forward-only benchmark
swin_tiny,1100,0.8290909090909091,0.6567072753814438,0.8981859638745026,188,0.9015819945389574,0.8244255863940204,0.26329431187664876,0.6116079481911253,1635.0343434181525,1.2580798356762943,0.17387237783779932,612.779296875,105.06313514709473,32,cuda,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_2_model_onboarding/outputs/model_forward_cost_summary.csv,multi-run single-GPU forward-only benchmark; excludes PIL decode/transform timing
vit_b_imagenet,1100,0.8181818181818182,0.6462110328178807,0.8756704135690613,200,0.8805982951413501,0.7934742253019856,0.31884849444055263,1.1069723618724807,903.3649207903137,2.277046286336895,0.3146981940452911,594.68701171875,327.36853981018066,32,cuda,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_2_model_onboarding/outputs/model_forward_cost_summary.csv,multi-run single-GPU forward-only benchmark; excludes PIL decode/transform timing
convnext_tiny,1100,0.8136363636363636,0.6496387745585863,0.86153550730867,205,0.801991263600913,0.6721669817621659,0.5096181982846152,0.486143987724236,2090.6620423097497,1.0,0.1382045661230492,538.8994140625,106.20856094360352,32,cuda,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_0_greenscout_feasibility/protocol_control/actual_cost/actual_online_model_cost.csv,single-GPU forward-only benchmark
retfound_green_linear_probe,1100,0.7790909090909091,0.6394309461388187,0.8653377490177998,243,0.763567439758457,0.6114915701768572,0.6112229883738004,1.896507273791247,528.1608080818017,3.9011225515084145,0.5391529496240632,591.95703125,83.34796524047852,32,cuda,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_0_greenscout_feasibility/protocol_control/actual_cost/actual_online_model_cost.csv,single-GPU forward-only benchmark
