task_id,route_id,scout_id,expert_id,development_cases,development_groups,scout_accuracy,expert_accuracy,corrected_events,introduced_events,expert_accuracy_gain,net_events,corrected_to_introduced_ratio,observed_stability_folds,positive_gain_folds,nonnegative_net_folds,fold_gain_standard_deviation,minimum_fold_gain,scout_accuracy_pass,expert_accuracy_pass,expert_gain_pass,complementarity_ratio_pass,corrected_events_pass,introduced_events_pass,net_events_pass,positive_gain_folds_pass,nonnegative_net_folds_pass,fold_gain_stability_pass,all_folds_observed_pass,qualified,failure_reasons,screening_data_scope,screening_schema_version,fold_salt,criterion_minimum_scout_accuracy,criterion_minimum_expert_accuracy,criterion_minimum_expert_accuracy_gain,criterion_minimum_corrected_to_introduced_ratio,criterion_minimum_corrected_events,criterion_minimum_introduced_events,criterion_minimum_net_events,criterion_minimum_positive_gain_folds,criterion_minimum_nonnegative_net_folds,criterion_maximum_fold_gain_standard_deviation,evaluation_used_for_screening,study_decision,source_commit_sha,protocol_sha256,generated_at_utc
aptos_dr_5class,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,485,485,0.8206185567,0.8721649485,59,34,0.05154639175,25,1.735294118,5,5,5,0.04794395857,0.02197802198,True,True,True,True,True,True,True,True,True,True,True,True,,development_only,ophagent.route_specific_simple_gate.v0_1,aptos_high_capability_simple_gate_v0_1:quality,0.8,0.85,0.05,1.7,30,20,20,4,4,0.12,False,NO_IMPROVEMENT,509392828975a69929aa3821c37aff952800accc,57ba5c6490bc6f44b2cc78b43b8e0e1e7a3513eb63402874eca5d06071aae8a2,2026-07-30T11:02:01+08:00
aptos_dr_5class,aptos_dr_5class::retfound_green__to__retfound_cfp,retfound_green,retfound_cfp,485,485,0.806185567,0.8618556701,55,28,0.05567010309,27,1.964285714,5,5,5,0.02644152441,0.0297029703,True,True,True,True,True,True,True,True,True,True,True,True,,development_only,ophagent.route_specific_simple_gate.v0_1,aptos_high_capability_simple_gate_v0_1:quality,0.8,0.85,0.05,1.7,30,20,20,4,4,0.12,False,NO_IMPROVEMENT,509392828975a69929aa3821c37aff952800accc,57ba5c6490bc6f44b2cc78b43b8e0e1e7a3513eb63402874eca5d06071aae8a2,2026-07-30T11:02:01+08:00
aptos_dr_5class,aptos_dr_5class::retfound_green__to__swin_tiny,retfound_green,swin_tiny,485,485,0.806185567,0.8721649485,57,25,0.06597938144,32,2.28,5,5,5,0.02442708372,0.03296703297,True,True,True,True,True,True,True,True,True,True,True,True,,development_only,ophagent.route_specific_simple_gate.v0_1,aptos_high_capability_simple_gate_v0_1:quality,0.8,0.85,0.05,1.7,30,20,20,4,4,0.12,False,NO_IMPROVEMENT,509392828975a69929aa3821c37aff952800accc,57ba5c6490bc6f44b2cc78b43b8e0e1e7a3513eb63402874eca5d06071aae8a2,2026-07-30T11:02:01+08:00
