policy,expert,expert_call_rate,event,total_event_n,captured_n,capture_rate,expected_capture_random,lift_vs_random,expert_corrected_n,expert_corrected_rate_among_captured,expert_still_wrong_n,expert_still_wrong_rate_among_captured,green_wrong_expert_correct_n,green_wrong_expert_wrong_n,green_correct_expert_wrong_n
high_entropy,dense_average,0.1,green_referable_miss_proxy_true_ge2_pred_le1,56,16,0.2857142857142857,0.1,2.8571428571428568,7,0.4375,9,0.5625,7,9,0
high_entropy,dense_average,0.1,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,18,0.4,0.1,4.0,1,0.05555555555555555,17,0.9444444444444444,1,17,0
high_entropy,dense_average,0.1,green_large_undergrading_proxy_true_eq4_pred_le2,28,12,0.42857142857142855,0.1,4.285714285714286,1,0.08333333333333333,11,0.9166666666666666,1,11,0
high_entropy,dense_average,0.1,green_two_step_undergrading,34,16,0.47058823529411764,0.1,4.705882352941176,1,0.0625,15,0.9375,1,15,0
high_entropy,dense_average,0.2,green_error,243,112,0.4609053497942387,0.2,2.304526748971193,49,0.4375,63,0.5625,49,63,0
high_entropy,dense_average,0.2,green_referable_miss_proxy_true_ge2_pred_le1,56,27,0.48214285714285715,0.2,2.4107142857142856,13,0.48148148148148145,14,0.5185185185185185,13,14,0
high_entropy,dense_average,0.2,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,25,0.5555555555555556,0.2,2.7777777777777777,2,0.08,23,0.92,2,23,0
high_entropy,dense_average,0.2,green_large_undergrading_proxy_true_eq4_pred_le2,28,16,0.5714285714285714,0.2,2.8571428571428568,1,0.0625,15,0.9375,1,15,0
high_entropy,dense_average,0.2,green_two_step_undergrading,34,21,0.6176470588235294,0.2,3.088235294117647,1,0.047619047619047616,20,0.9523809523809523,1,20,0
high_entropy,dense_average,0.3,green_error,243,165,0.6790123456790124,0.3,2.263374485596708,69,0.41818181818181815,96,0.5818181818181818,69,96,0
high_entropy,dense_average,0.3,green_referable_miss_proxy_true_ge2_pred_le1,56,37,0.6607142857142857,0.3,2.2023809523809526,18,0.4864864864864865,19,0.5135135135135135,18,19,0
high_entropy,dense_average,0.3,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,32,0.7111111111111111,0.3,2.3703703703703707,2,0.0625,30,0.9375,2,30,0
high_entropy,dense_average,0.3,green_large_undergrading_proxy_true_eq4_pred_le2,28,21,0.75,0.3,2.5,1,0.047619047619047616,20,0.9523809523809523,1,20,0
high_entropy,dense_average,0.3,green_two_step_undergrading,34,26,0.7647058823529411,0.3,2.549019607843137,1,0.038461538461538464,25,0.9615384615384616,1,25,0
high_entropy,dense_average,0.4,green_error,243,199,0.8189300411522634,0.4,2.0473251028806585,77,0.3869346733668342,122,0.6130653266331658,77,122,0
high_entropy,dense_average,0.4,green_referable_miss_proxy_true_ge2_pred_le1,56,43,0.7678571428571429,0.4,1.9196428571428572,19,0.4418604651162791,24,0.5581395348837209,19,24,0
high_entropy,dense_average,0.4,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,40,0.8888888888888888,0.4,2.222222222222222,2,0.05,38,0.95,2,38,0
high_entropy,dense_average,0.4,green_large_undergrading_proxy_true_eq4_pred_le2,28,27,0.9642857142857143,0.4,2.4107142857142856,1,0.037037037037037035,26,0.9629629629629629,1,26,0
high_entropy,dense_average,0.4,green_two_step_undergrading,34,32,0.9411764705882353,0.4,2.352941176470588,1,0.03125,31,0.96875,1,31,0
high_entropy,dense_average,0.5,green_error,243,222,0.9135802469135802,0.5,1.8271604938271604,83,0.3738738738738739,139,0.6261261261261262,83,139,0
high_entropy,dense_average,0.5,green_referable_miss_proxy_true_ge2_pred_le1,56,47,0.8392857142857143,0.5,1.6785714285714286,20,0.425531914893617,27,0.574468085106383,20,27,0
high_entropy,dense_average,0.5,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,44,0.9777777777777777,0.5,1.9555555555555555,2,0.045454545454545456,42,0.9545454545454546,2,42,0
high_entropy,dense_average,0.5,green_large_undergrading_proxy_true_eq4_pred_le2,28,27,0.9642857142857143,0.5,1.9285714285714286,1,0.037037037037037035,26,0.9629629629629629,1,26,0
high_entropy,dense_average,0.5,green_two_step_undergrading,34,33,0.9705882352941176,0.5,1.9411764705882353,2,0.06060606060606061,31,0.9393939393939394,2,31,0
