policy,expert,expert_call_rate,group,n,green_error_rate,expert_error_rate,green_mean_confidence,green_mean_margin,green_mean_entropy,referable_dr_rate_true_ge2,severe_or_pdr_rate_true_ge3,pdr_rate_true_eq4,true_grade_0_count,true_grade_0_rate,true_grade_1_count,true_grade_1_rate,true_grade_2_count,true_grade_2_rate,true_grade_3_count,true_grade_3_rate,true_grade_4_count,true_grade_4_rate,green_error_count,referable_dr_true_ge2_count,referable_dr_true_ge2_rate,severe_or_pdr_true_ge3_count,severe_or_pdr_true_ge3_rate,pdr_true_eq4_count,pdr_true_eq4_rate,green_referable_miss_true_ge2_pred_le1_count,green_referable_miss_true_ge2_pred_le1_rate,green_vtdr_miss_true_ge3_pred_le2_count,green_vtdr_miss_true_ge3_pred_le2_rate,green_large_undergrading_true_ge4_pred_le2_count,green_large_undergrading_true_ge4_pred_le2_rate,green_two_step_undergrading_count,green_two_step_undergrading_rate
low_confidence,convnext,0.1,defer,110,0.5727272727272728,0.42727272727272725,0.40654142348727457,0.08571169078407548,1.2453253759038634,0.7727272727272727,0.24545454545454545,0.18181818181818182,8,0.07272727272727272,17,0.15454545454545454,58,0.5272727272727272,7,0.06363636363636363,20,0.18181818181818182,63,85,0.7727272727272727,27,0.24545454545454545,20,0.18181818181818182,11,0.1,16,0.14545454545454545,11,0.1,13,0.11818181818181818
low_confidence,convnext,0.1,non_defer,990,0.18181818181818182,0.1595959595959596,0.8032369971219216,0.6699115567760552,0.5407671675371265,0.3656565656565657,0.12121212121212122,0.0696969696969697,534,0.5393939393939394,94,0.09494949494949495,242,0.24444444444444444,51,0.051515151515151514,69,0.0696969696969697,180,362,0.3656565656565657,120,0.12121212121212122,69,0.0696969696969697,45,0.045454545454545456,29,0.029292929292929294,17,0.01717171717171717,21,0.021212121212121213
low_confidence,convnext,0.1,all,1100,0.22090909090909092,0.18636363636363637,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
low_confidence,convnext,0.2,defer,220,0.55,0.38181818181818183,0.4529347628523267,0.13006727105708613,1.168779395931325,0.8,0.2409090909090909,0.16818181818181818,12,0.05454545454545454,32,0.14545454545454545,123,0.5590909090909091,16,0.07272727272727272,37,0.16818181818181818,121,176,0.8,53,0.2409090909090909,37,0.16818181818181818,24,0.10909090909090909,27,0.12272727272727273,18,0.08181818181818182,23,0.10454545454545454
low_confidence,convnext,0.2,non_defer,880,0.13863636363636364,0.1375,0.8412256089849894,0.7318476449568,0.47183388648441915,0.3079545454545455,0.10681818181818181,0.05909090909090909,530,0.6022727272727273,79,0.08977272727272727,177,0.20113636363636364,42,0.04772727272727273,52,0.05909090909090909,122,271,0.3079545454545455,94,0.10681818181818181,52,0.05909090909090909,32,0.03636363636363636,18,0.020454545454545454,10,0.011363636363636364,11,0.0125
low_confidence,convnext,0.2,all,1100,0.22090909090909092,0.18636363636363637,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
low_confidence,convnext,0.3,defer,330,0.4909090909090909,0.36666666666666664,0.4963008762409796,0.1880408807533636,1.1123591355318205,0.7818181818181819,0.23333333333333334,0.15454545454545454,27,0.08181818181818182,45,0.13636363636363635,181,0.5484848484848485,26,0.07878787878787878,51,0.15454545454545454,162,258,0.7818181818181819,77,0.23333333333333334,51,0.15454545454545454,34,0.10303030303030303,31,0.09393939393939393,20,0.06060606060606061,25,0.07575757575757576
low_confidence,convnext,0.3,non_defer,770,0.10519480519480519,0.10909090909090909,0.8781102526945186,0.7929704370726401,0.3964503538775058,0.24545454545454545,0.09090909090909091,0.04935064935064935,515,0.6688311688311688,66,0.08571428571428572,119,0.15454545454545454,32,0.04155844155844156,38,0.04935064935064935,81,189,0.24545454545454545,70,0.09090909090909091,38,0.04935064935064935,22,0.02857142857142857,14,0.01818181818181818,8,0.01038961038961039,9,0.011688311688311689
low_confidence,convnext,0.3,all,1100,0.22090909090909092,0.18636363636363637,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
low_confidence,convnext,0.4,defer,440,0.4590909090909091,0.3613636363636364,0.5409531188176789,0.254389489150672,1.0524269288534749,0.75,0.225,0.1340909090909091,52,0.11818181818181818,58,0.1318181818181818,231,0.525,40,0.09090909090909091,59,0.1340909090909091,202,330,0.75,99,0.225,59,0.1340909090909091,43,0.09772727272727273,38,0.08636363636363636,24,0.05454545454545454,30,0.06818181818181818
