protocol_family,protocol_name,role,scouts,experts,budget,policy,routing_signal,selected_n,ms_per_image,accuracy,macro_f1,qwk,n_error,above_random_p975,random_accuracy_p975,oracle_accuracy,gap_to_oracle_accuracy,random_accuracy_mean,random_accuracy_p025,random_n_error_mean,random_n_error_p025,random_n_error_p975,oracle_n_error,oracle_fixable_total
dense_baseline,dense_convnext,main,,convnext_tiny,1.0,dense,,1100,0.486143987724236,0.8136363636363636,0.6496387745585863,0.86153550730867,205,,,,,,,,,,,
dense_baseline,dense_swin,main,,swin_tiny,1.0,dense,,1100,0.6116079481911253,0.8290909090909091,0.6567072753814438,0.8981859638745026,188,,,,,,,,,,,
dense_baseline,dense_retfound,main,,retfound_mae_cfp_official_protocol,1.0,dense,,1100,3.517568206041774,0.8481818181818181,0.7053623145676526,0.9128907111651475,167,,,,,,,,,,,
dense_baseline,dense_convnext_retfound,dense_expert_reference,,convnext_tiny+retfound_mae_cfp_official_protocol,1.0,dense,,1100,4.0037121937660105,0.8545454545454545,0.7186645964065106,0.910170019929115,160,,,,,,,,,,,
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_confidence,low_confidence,220,1.1806629455690696,0.8354545454545454,0.6949066926383616,0.8957023491944108,181,True,0.8281818181818181,0.8818181818181818,0.0463636363636363,,,,,,,
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,high_entropy,high_entropy,220,1.1806629455690696,0.8472727272727273,0.7076585418697866,0.9062962467175908,168,True,0.8281818181818181,0.8818181818181818,0.0345454545454545,,,,,,,
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_margin,low_margin,220,1.1806629455690696,0.8354545454545454,0.6977215808688438,0.8967395998002381,181,True,0.8281818181818181,0.8818181818181818,0.0463636363636363,,,,,,,
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,low_confidence,330,1.5318357260918922,0.8427272727272728,0.6978969436569603,0.9073745148345504,173,True,0.8327272727272728,0.8772727272727273,0.0345454545454545,,,,,,,
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,high_entropy,330,1.5318357260918922,0.8463636363636363,0.7023916855337272,0.9080475965408232,169,True,0.8327272727272728,0.8772727272727273,0.0309090909090909,,,,,,,
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,low_margin,330,1.5318357260918922,0.8427272727272728,0.6989559494492517,0.9077561057680608,173,True,0.8327272727272728,0.8772727272727273,0.0345454545454545,,,,,,,
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,low_confidence,440,1.8830085066147149,0.85,0.7085498144340767,0.9131802410710164,165,True,0.8372727272727273,0.8718181818181818,0.0218181818181818,,,,,,,
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,high_entropy,high_entropy,440,1.8830085066147149,0.85,0.7123945237230448,0.911882341398652,165,True,0.8372727272727273,0.8718181818181818,0.0218181818181818,,,,,,,
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,low_margin,440,1.8830085066147149,0.85,0.7081140651480788,0.9140143945884154,165,True,0.8372727272727273,0.8718181818181818,0.0218181818181818,,,,,,,
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,low_confidence,550,2.2341812871375373,0.8518181818181818,0.7120131767323397,0.9139670977118228,163,True,0.8418181818181818,0.8672727272727273,0.0154545454545454,,,,,,,
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,high_entropy,550,2.2341812871375373,0.850909090909091,0.7105437325611172,0.913710555918436,164,True,0.8418181818181818,0.8672727272727273,0.0163636363636363,,,,,,,
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,low_margin,550,2.2341812871375373,0.85,0.7096597688521952,0.9133788475907232,165,True,0.8418181818181818,0.8672727272727273,0.0172727272727273,,,,,,,
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,low_confidence,low_confidence,220,1.313953509236771,0.8463636363636363,0.6948694568223874,0.9082135171175452,169,True,0.8409090909090909,0.8818181818181818,0.0354545454545455,,,,,,,
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,high_entropy,high_entropy,220,1.313953509236771,0.8445454545454546,0.6908981663210577,0.9069973987717652,171,True,0.8409090909090909,0.8818181818181818,0.0372727272727272,,,,,,,
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,low_margin,low_margin,220,1.313953509236771,0.8463636363636363,0.69709065671251,0.9074833791741896,169,True,0.8409090909090909,0.8818181818181818,0.0354545454545455,,,,,,,
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,low_confidence,330,1.665126289759593,0.8481818181818181,0.6991695706658444,0.911052629644468,167,True,0.8427272727272728,0.8754545454545455,0.0272727272727273,,,,,,,
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,high_entropy,330,1.665126289759593,0.85,0.7034856816397235,0.9123765437291786,165,True,0.8427272727272728,0.8754545454545455,0.0254545454545455,,,,,,,
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,low_margin,330,1.665126289759593,0.8490909090909091,0.7001561870139523,0.9113604555815352,166,True,0.8427272727272728,0.8754545454545455,0.0263636363636363,,,,,,,
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,low_confidence,440,2.016299070282416,0.850909090909091,0.704034381412774,0.9112825639862724,164,True,0.8454545454545455,0.8727272727272727,0.0218181818181817,,,,,,,
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,high_entropy,high_entropy,440,2.016299070282416,0.850909090909091,0.704034381412774,0.9112825639862724,164,True,0.8454545454545455,0.8727272727272727,0.0218181818181817,,,,,,,
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,low_margin,440,2.016299070282416,0.850909090909091,0.704034381412774,0.9112825639862724,164,True,0.8454545454545455,0.8727272727272727,0.0218181818181817,,,,,,,
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,low_confidence,550,2.3674718508052384,0.8518181818181818,0.7086303808590415,0.9141646806320652,163,True,0.8481818181818181,0.8709090909090909,0.019090909090909,,,,,,,
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,high_entropy,550,2.3674718508052384,0.8518181818181818,0.7086303808590415,0.9141646806320652,163,True,0.8481818181818181,0.8709090909090909,0.019090909090909,,,,,,,
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,low_margin,550,2.3674718508052384,0.8518181818181818,0.7086303808590415,0.9141646806320652,163,True,0.8481818181818181,0.8709090909090909,0.019090909090909,,,,,,,
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.2,mean_uncertainty,mean_uncertainty,220,1.8012655771237163,0.8472727272727273,0.6982682666964211,0.9099989792342573,168,True,0.8427272727272728,0.8754545454545455,0.028181818181818197,0.8359213636363636,0.8290909090909091,180.4865,173.0,188.0,137.0,52.0
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,mean_uncertainty,mean_uncertainty,330,2.1530223977278933,0.850909090909091,0.7044713642156252,0.9126845072036596,164,True,0.8445454545454546,0.8718181818181818,0.020909090909090877,0.837385909090909,0.83,178.8755,171.0,187.0,141.0,52.0
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.4,mean_uncertainty,mean_uncertainty,440,2.504779218332071,0.8518181818181818,0.7092303147154062,0.9139797882579404,163,True,0.8472727272727273,0.8690909090909091,0.01727272727272733,0.8386831818181818,0.83,177.4485,168.0,187.0,144.0,52.0
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,mean_uncertainty,mean_uncertainty,550,2.856536038936248,0.85,0.7069849522161684,0.913528155713044,165,True,0.8490909090909091,0.8681818181818182,0.018181818181818188,0.84051,0.8318181818181818,175.439,166.0,185.0,145.0,52.0
