protocol_family,protocol_name,role,scouts,experts,budget,policy,selected_n,event_name,event_total_fixed_pool,selected_event_n,residual_event_n,event_recall_fixed_pool,event_precision_fixed_pool,event_lift_vs_budget
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,severe_pdr_miss_union_pool,75,72,3,0.96,0.13090909090909092,1.92
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,referable_dr_miss_union_pool,90,89,1,0.9888888888888889,0.1618181818181818,1.9777777777777779
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,large_undergrading_union_pool,45,44,1,0.9777777777777777,0.08,1.9555555555555555
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,severe_pdr_miss_union_pool,75,71,4,0.9466666666666667,0.1290909090909091,1.8933333333333333
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,referable_dr_miss_union_pool,90,89,1,0.9888888888888889,0.1618181818181818,1.9777777777777779
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,low_confidence,220,large_undergrading_union_pool,45,20,25,0.4444444444444444,0.09090909090909091,2.222222222222222
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,low_confidence,220,severe_pdr_miss_union_pool,75,32,43,0.4266666666666667,0.14545454545454545,2.1333333333333333
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,low_confidence,220,referable_dr_miss_union_pool,90,45,45,0.5,0.20454545454545456,2.5
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,high_entropy,220,large_undergrading_union_pool,45,21,24,0.4666666666666667,0.09545454545454546,2.333333333333333
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,high_entropy,220,severe_pdr_miss_union_pool,75,33,42,0.44,0.15,2.1999999999999997
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,high_entropy,220,referable_dr_miss_union_pool,90,44,46,0.4888888888888889,0.2,2.444444444444444
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,low_margin,220,large_undergrading_union_pool,45,20,25,0.4444444444444444,0.09090909090909091,2.222222222222222
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,low_margin,220,severe_pdr_miss_union_pool,75,31,44,0.41333333333333333,0.1409090909090909,2.0666666666666664
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,low_margin,220,referable_dr_miss_union_pool,90,42,48,0.4666666666666667,0.19090909090909092,2.333333333333333
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,330,large_undergrading_union_pool,45,29,16,0.6444444444444445,0.08787878787878788,2.1481481481481484
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,330,severe_pdr_miss_union_pool,75,47,28,0.6266666666666667,0.14242424242424243,2.088888888888889
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,330,referable_dr_miss_union_pool,90,67,23,0.7444444444444445,0.20303030303030303,2.481481481481482
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,330,large_undergrading_union_pool,45,29,16,0.6444444444444445,0.08787878787878788,2.1481481481481484
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,330,severe_pdr_miss_union_pool,75,48,27,0.64,0.14545454545454545,2.1333333333333333
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,330,referable_dr_miss_union_pool,90,66,24,0.7333333333333333,0.2,2.444444444444444
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,330,large_undergrading_union_pool,45,30,15,0.6666666666666666,0.09090909090909091,2.2222222222222223
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,330,severe_pdr_miss_union_pool,75,48,27,0.64,0.14545454545454545,2.1333333333333333
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,330,referable_dr_miss_union_pool,90,67,23,0.7444444444444445,0.20303030303030303,2.481481481481482
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,440,large_undergrading_union_pool,45,36,9,0.8,0.08181818181818182,2.0
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,440,severe_pdr_miss_union_pool,75,61,14,0.8133333333333334,0.13863636363636364,2.033333333333333
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,440,referable_dr_miss_union_pool,90,80,10,0.8888888888888888,0.18181818181818182,2.222222222222222
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,high_entropy,440,large_undergrading_union_pool,45,36,9,0.8,0.08181818181818182,2.0
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,high_entropy,440,severe_pdr_miss_union_pool,75,61,14,0.8133333333333334,0.13863636363636364,2.033333333333333
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,high_entropy,440,referable_dr_miss_union_pool,90,80,10,0.8888888888888888,0.18181818181818182,2.222222222222222
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,440,large_undergrading_union_pool,45,36,9,0.8,0.08181818181818182,2.0
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,440,severe_pdr_miss_union_pool,75,61,14,0.8133333333333334,0.13863636363636364,2.033333333333333
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,440,referable_dr_miss_union_pool,90,82,8,0.9111111111111111,0.18636363636363637,2.2777777777777777
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,large_undergrading_union_pool,45,44,1,0.9777777777777777,0.08,1.9555555555555555
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,severe_pdr_miss_union_pool,75,74,1,0.9866666666666667,0.13454545454545455,1.9733333333333334
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,referable_dr_miss_union_pool,90,88,2,0.9777777777777777,0.16,1.9555555555555555
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,large_undergrading_union_pool,45,44,1,0.9777777777777777,0.08,1.9555555555555555
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,severe_pdr_miss_union_pool,75,74,1,0.9866666666666667,0.13454545454545455,1.9733333333333334
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,referable_dr_miss_union_pool,90,88,2,0.9777777777777777,0.16,1.9555555555555555
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,large_undergrading_union_pool,45,44,1,0.9777777777777777,0.08,1.9555555555555555
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,severe_pdr_miss_union_pool,75,74,1,0.9866666666666667,0.13454545454545455,1.9733333333333334
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,referable_dr_miss_union_pool,90,88,2,0.9777777777777777,0.16,1.9555555555555555
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.2,mean_uncertainty,220,large_undergrading_union_pool,45,28,17,0.6222222222222222,0.12727272727272726,3.111111111111111
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.2,mean_uncertainty,220,severe_pdr_miss_union_pool,75,40,35,0.5333333333333333,0.18181818181818182,2.6666666666666665
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.2,mean_uncertainty,220,referable_dr_miss_union_pool,90,48,42,0.5333333333333333,0.21818181818181817,2.6666666666666665
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.2,max_uncertainty,220,large_undergrading_union_pool,45,30,15,0.6666666666666666,0.13636363636363635,3.333333333333333
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.2,max_uncertainty,220,severe_pdr_miss_union_pool,75,42,33,0.56,0.19090909090909092,2.8000000000000003
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.2,max_uncertainty,220,referable_dr_miss_union_pool,90,51,39,0.5666666666666667,0.2318181818181818,2.833333333333333
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.2,disagreement_then_uncertainty,220,large_undergrading_union_pool,45,28,17,0.6222222222222222,0.12727272727272726,3.111111111111111
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.2,disagreement_then_uncertainty,220,severe_pdr_miss_union_pool,75,40,35,0.5333333333333333,0.18181818181818182,2.6666666666666665
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.2,disagreement_then_uncertainty,220,referable_dr_miss_union_pool,90,71,19,0.7888888888888889,0.32272727272727275,3.944444444444444
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,mean_uncertainty,330,large_undergrading_union_pool,45,34,11,0.7555555555555555,0.10303030303030303,2.5185185185185186
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,mean_uncertainty,330,severe_pdr_miss_union_pool,75,51,24,0.68,0.15454545454545454,2.266666666666667
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,mean_uncertainty,330,referable_dr_miss_union_pool,90,74,16,0.8222222222222222,0.22424242424242424,2.740740740740741
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,max_uncertainty,330,large_undergrading_union_pool,45,36,9,0.8,0.10909090909090909,2.666666666666667
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,max_uncertainty,330,severe_pdr_miss_union_pool,75,56,19,0.7466666666666667,0.1696969696969697,2.488888888888889
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,max_uncertainty,330,referable_dr_miss_union_pool,90,70,20,0.7777777777777778,0.21212121212121213,2.5925925925925926
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,disagreement_then_uncertainty,330,large_undergrading_union_pool,45,33,12,0.7333333333333333,0.1,2.444444444444444
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,disagreement_then_uncertainty,330,severe_pdr_miss_union_pool,75,48,27,0.64,0.14545454545454545,2.1333333333333333
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,disagreement_then_uncertainty,330,referable_dr_miss_union_pool,90,83,7,0.9222222222222223,0.2515151515151515,3.0740740740740744
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.4,mean_uncertainty,440,large_undergrading_union_pool,45,40,5,0.8888888888888888,0.09090909090909091,2.222222222222222
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.4,mean_uncertainty,440,severe_pdr_miss_union_pool,75,66,9,0.88,0.15,2.1999999999999997
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.4,mean_uncertainty,440,referable_dr_miss_union_pool,90,86,4,0.9555555555555556,0.19545454545454546,2.388888888888889
