model_name,role,batch_start,batch_size,batch_ms,per_image_ms
retfound_green_linear_probe,scout,0,32,58.97962499875575,1.8431132812111173
retfound_green_linear_probe,scout,32,32,60.07033190689981,1.877197872090619
retfound_green_linear_probe,scout,64,32,59.34202403295785,1.8544382510299329
retfound_green_linear_probe,scout,96,32,58.969292091205716,1.8427903778501786
retfound_green_linear_probe,scout,128,32,59.1887179762125,1.8496474367566407
retfound_green_linear_probe,scout,160,32,59.35095599852502,1.854717374953907
retfound_green_linear_probe,scout,192,32,59.083361993543804,1.8463550622982439
retfound_green_linear_probe,scout,224,32,60.933906002901495,1.9041845625906717
retfound_green_linear_probe,scout,256,32,61.341883963905275,1.9169338738720398
retfound_green_linear_probe,scout,288,32,61.14348804112524,1.9107340012851637
retfound_green_linear_probe,scout,320,32,60.11442397721112,1.8785757492878474
retfound_green_linear_probe,scout,352,32,60.241659986786544,1.8825518745870795
retfound_green_linear_probe,scout,384,32,60.1993229938671,1.8812288435583469
retfound_green_linear_probe,scout,416,32,60.13063306454569,1.8790822832670528
retfound_green_linear_probe,scout,448,32,60.17164594959468,1.8803639359248336
retfound_green_linear_probe,scout,480,32,60.21339795552194,1.8816686861100607
retfound_green_linear_probe,scout,512,32,60.15290704090148,1.8797783450281713
retfound_green_linear_probe,scout,544,32,60.17182895448059,1.8803696548275184
retfound_green_linear_probe,scout,576,32,62.95394490007311,1.9673107781272847
retfound_green_linear_probe,scout,608,32,60.195640893653035,1.8811137779266573
retfound_green_linear_probe,scout,640,32,60.14440499711782,1.8795126561599318
retfound_green_linear_probe,scout,672,32,64.76994801778346,2.024060875555733
retfound_green_linear_probe,scout,704,32,60.25188497733325,1.882871405541664
retfound_green_linear_probe,scout,736,32,60.24661799892783,1.8827068124664947
retfound_green_linear_probe,scout,768,32,60.24068605620414,1.8825214392563794
retfound_green_linear_probe,scout,800,32,60.55090297013521,1.8922157178167254
retfound_green_linear_probe,scout,832,32,60.27563498355448,1.8836135932360776
retfound_green_linear_probe,scout,864,32,60.93824002891779,1.904320000903681
retfound_green_linear_probe,scout,896,32,60.268294997513294,1.8833842186722904
retfound_green_linear_probe,scout,928,32,61.1013020388782,1.9094156887149438
retfound_green_linear_probe,scout,960,32,61.358205042779446,1.9174439075868577
retfound_green_linear_probe,scout,992,32,60.92587602324784,1.903933625726495
retfound_green_linear_probe,scout,1024,32,60.2001630468294,1.8812550952134188
retfound_green_linear_probe,scout,1056,32,63.644398003816605,1.988887437619269
retfound_green_linear_probe,scout,1088,12,24.833473027683794,2.0694560856403164
convnext_tiny,scout_or_expert,0,32,15.260058920830488,0.47687684127595276
convnext_tiny,scout_or_expert,32,32,15.155694098211825,0.47361544056911953
convnext_tiny,scout_or_expert,64,32,15.124645084142685,0.4726451588794589
convnext_tiny,scout_or_expert,96,32,15.133392997086048,0.472918531158939
convnext_tiny,scout_or_expert,128,32,15.147787053138018,0.47336834541056305
convnext_tiny,scout_or_expert,160,32,15.150825027376413,0.4734632821055129
convnext_tiny,scout_or_expert,192,32,15.129614970646799,0.47280046783271246
convnext_tiny,scout_or_expert,224,32,15.116424998268485,0.47238828119589016
convnext_tiny,scout_or_expert,256,32,15.129643026739359,0.47280134458560497
convnext_tiny,scout_or_expert,288,32,15.143856056965888,0.473245501780184
convnext_tiny,scout_or_expert,320,32,15.15334693249315,0.47354209164041094
convnext_tiny,scout_or_expert,352,32,15.121310018002987,0.47254093806259334
convnext_tiny,scout_or_expert,384,32,15.150918974541128,0.47346621795441024
convnext_tiny,scout_or_expert,416,32,15.142851043492556,0.47321409510914236
convnext_tiny,scout_or_expert,448,32,15.152196981944144,0.4735061556857545
convnext_tiny,scout_or_expert,480,32,15.273167984560132,0.4772864995175041
convnext_tiny,scout_or_expert,512,32,15.149660990573466,0.4734269059554208
convnext_tiny,scout_or_expert,544,32,15.134215936996043,0.47294424803112634
convnext_tiny,scout_or_expert,576,32,15.151274972595274,0.4734773428936023
