dataset,backbone,target,ranking_method,score_col,budget,n,top_k,total_event,captured_event,residual_event,base_event_rate,flagged_event_rate,event_recall,enrichment_ratio,low_risk_npv
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,gated_severe_prob_mass_only,gated_severe_prob_mass,0.2,103,21,17,11,6,0.1650485436893204,0.5238095238095238,0.6470588235294118,3.1736694677871147,0.926829268292683
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,gated_severe_prob_mass_only,gated_severe_prob_mass,0.3,103,31,17,15,2,0.1650485436893204,0.4838709677419355,0.8823529411764706,2.9316888045540797,0.9722222222222222
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,severe_prob_mass_only,severe_prob_mass,0.1,103,11,17,0,17,0.1650485436893204,0.0,0.0,0.0,0.8152173913043479
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,severe_prob_mass_only,severe_prob_mass,0.2,103,21,17,2,15,0.1650485436893204,0.09523809523809523,0.11764705882352941,0.5770308123249299,0.8170731707317074
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,severe_prob_mass_only,severe_prob_mass,0.3,103,31,17,4,13,0.1650485436893204,0.12903225806451613,0.23529411764705882,0.7817836812144212,0.8194444444444444
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,entropy_only,entropy,0.1,103,11,17,3,14,0.1650485436893204,0.2727272727272727,0.17647058823529413,1.6524064171122992,0.8478260869565217
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,entropy_only,entropy,0.2,103,21,17,6,11,0.1650485436893204,0.2857142857142857,0.35294117647058826,1.7310924369747898,0.8658536585365854
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,entropy_only,entropy,0.3,103,31,17,7,10,0.1650485436893204,0.22580645161290322,0.4117647058823529,1.368121442125237,0.8611111111111112
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,low_margin_only,margin,0.1,103,11,17,1,16,0.1650485436893204,0.09090909090909091,0.058823529411764705,0.5508021390374331,0.8260869565217391
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,low_margin_only,margin,0.2,103,21,17,6,11,0.1650485436893204,0.2857142857142857,0.35294117647058826,1.7310924369747898,0.8658536585365854
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,low_margin_only,margin,0.3,103,31,17,9,8,0.1650485436893204,0.2903225806451613,0.5294117647058824,1.7590132827324478,0.8888888888888888
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,low_confidence_only,confidence,0.1,103,11,17,2,15,0.1650485436893204,0.18181818181818182,0.11764705882352941,1.1016042780748663,0.8369565217391304
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,low_confidence_only,confidence,0.2,103,21,17,6,11,0.1650485436893204,0.2857142857142857,0.35294117647058826,1.7310924369747898,0.8658536585365854
IDRiD_data,vit_l_official_like,vision_threatening_dr_miss,low_confidence_only,confidence,0.3,103,31,17,9,8,0.1650485436893204,0.2903225806451613,0.5294117647058824,1.7590132827324478,0.8888888888888888
IDRiD_data,vit_l_official_like,dangerous_undergrading,expected_gap_only,expected_gap,0.1,103,11,18,3,15,0.17475728155339806,0.2727272727272727,0.16666666666666666,1.5606060606060603,0.8369565217391304
