dataset,backbone,metric,class_grade,value,n
MESSIDOR2,vit_b_imagenet,macro_f1,,0.27931278568630014,526
MESSIDOR2,vit_b_imagenet,weighted_f1,,0.4737730702937892,526
MESSIDOR2,vit_b_imagenet,qwk,,0.32317679987560255,526
MESSIDOR2,vit_b_imagenet,recall,0,0.9607843137254902,306
MESSIDOR2,vit_b_imagenet,recall,1,0.012345679012345678,81
MESSIDOR2,vit_b_imagenet,recall,2,0.05714285714285714,105
MESSIDOR2,vit_b_imagenet,recall,3,0.0,23
MESSIDOR2,vit_b_imagenet,recall,4,0.45454545454545453,11
MESSIDOR2,vit_b_official_like,accuracy,,0.6045627376425855,526
MESSIDOR2,vit_b_official_like,macro_f1,,0.27169482075610113,526
MESSIDOR2,vit_b_official_like,weighted_f1,,0.4837905288289617,526
MESSIDOR2,vit_b_official_like,qwk,,0.25537818718591965,526
MESSIDOR2,vit_b_official_like,recall,0,0.9934640522875817,306
MESSIDOR2,vit_b_official_like,recall,1,0.0,81
MESSIDOR2,vit_b_official_like,recall,2,0.09523809523809523,105
MESSIDOR2,vit_b_official_like,recall,3,0.08695652173913043,23
MESSIDOR2,vit_b_official_like,recall,4,0.18181818181818182,11
MESSIDOR2,vit_l_official_like,accuracy,,0.6045627376425855,526
MESSIDOR2,vit_l_official_like,macro_f1,,0.3052952623783723,526
MESSIDOR2,vit_l_official_like,weighted_f1,,0.5225817019299113,526
MESSIDOR2,vit_l_official_like,qwk,,0.43341511457328963,526
MESSIDOR2,vit_l_official_like,recall,0,0.934640522875817,306
MESSIDOR2,vit_l_official_like,recall,1,0.04938271604938271,81
MESSIDOR2,vit_l_official_like,recall,2,0.19047619047619047,105
MESSIDOR2,vit_l_official_like,recall,3,0.0,23
MESSIDOR2,vit_l_official_like,recall,4,0.7272727272727273,11
