dataset,backbone,true_grade,pred_grade,count
IDRiD_data,vit_b_official_like,3,1,2
IDRiD_data,vit_b_official_like,3,2,13
IDRiD_data,vit_b_official_like,3,3,0
IDRiD_data,vit_b_official_like,3,4,3
IDRiD_data,vit_b_official_like,4,0,0
IDRiD_data,vit_b_official_like,4,1,2
IDRiD_data,vit_b_official_like,4,2,6
IDRiD_data,vit_b_official_like,4,3,1
IDRiD_data,vit_b_official_like,4,4,4
IDRiD_data,vit_l_official_like,0,0,8
IDRiD_data,vit_l_official_like,0,1,23
IDRiD_data,vit_l_official_like,0,2,0
IDRiD_data,vit_l_official_like,0,3,0
IDRiD_data,vit_l_official_like,0,4,3
IDRiD_data,vit_l_official_like,1,0,1
IDRiD_data,vit_l_official_like,1,1,3
IDRiD_data,vit_l_official_like,1,2,0
IDRiD_data,vit_l_official_like,1,3,0
IDRiD_data,vit_l_official_like,1,4,1
IDRiD_data,vit_l_official_like,2,0,1
IDRiD_data,vit_l_official_like,2,1,10
IDRiD_data,vit_l_official_like,2,2,16
IDRiD_data,vit_l_official_like,2,3,0
IDRiD_data,vit_l_official_like,2,4,5
IDRiD_data,vit_l_official_like,3,0,0
IDRiD_data,vit_l_official_like,3,1,2
IDRiD_data,vit_l_official_like,3,2,11
IDRiD_data,vit_l_official_like,3,3,0
IDRiD_data,vit_l_official_like,3,4,6
IDRiD_data,vit_l_official_like,4,0,0
IDRiD_data,vit_l_official_like,4,1,2
IDRiD_data,vit_l_official_like,4,2,2
IDRiD_data,vit_l_official_like,4,3,0
IDRiD_data,vit_l_official_like,4,4,9
MESSIDOR2,convnext_tiny,0,0,291
MESSIDOR2,convnext_tiny,0,1,8
MESSIDOR2,convnext_tiny,0,2,7
MESSIDOR2,convnext_tiny,0,3,0
MESSIDOR2,convnext_tiny,0,4,0
MESSIDOR2,convnext_tiny,1,0,80
MESSIDOR2,convnext_tiny,1,1,1
MESSIDOR2,convnext_tiny,1,2,0
MESSIDOR2,convnext_tiny,1,3,0
MESSIDOR2,convnext_tiny,1,4,0
MESSIDOR2,convnext_tiny,2,0,88
MESSIDOR2,convnext_tiny,2,1,6
MESSIDOR2,convnext_tiny,2,2,11
MESSIDOR2,convnext_tiny,2,3,0
MESSIDOR2,convnext_tiny,2,4,0
MESSIDOR2,convnext_tiny,3,0,4
MESSIDOR2,convnext_tiny,3,1,0
MESSIDOR2,convnext_tiny,3,2,16
MESSIDOR2,convnext_tiny,3,3,3
MESSIDOR2,convnext_tiny,3,4,0
MESSIDOR2,convnext_tiny,4,0,3
MESSIDOR2,convnext_tiny,4,1,1
MESSIDOR2,convnext_tiny,4,2,3
MESSIDOR2,convnext_tiny,4,3,1
MESSIDOR2,convnext_tiny,4,4,3
MESSIDOR2,retfound_mae_cfp_official_like,0,0,257
MESSIDOR2,retfound_mae_cfp_official_like,0,1,3
MESSIDOR2,retfound_mae_cfp_official_like,0,2,41
MESSIDOR2,retfound_mae_cfp_official_like,0,3,0
MESSIDOR2,retfound_mae_cfp_official_like,0,4,5
MESSIDOR2,retfound_mae_cfp_official_like,1,0,76
MESSIDOR2,retfound_mae_cfp_official_like,1,1,1
MESSIDOR2,retfound_mae_cfp_official_like,1,2,4
MESSIDOR2,retfound_mae_cfp_official_like,1,3,0
MESSIDOR2,retfound_mae_cfp_official_like,1,4,0
MESSIDOR2,retfound_mae_cfp_official_like,2,0,71
MESSIDOR2,retfound_mae_cfp_official_like,2,1,2
MESSIDOR2,retfound_mae_cfp_official_like,2,2,32
MESSIDOR2,retfound_mae_cfp_official_like,2,3,0
MESSIDOR2,retfound_mae_cfp_official_like,2,4,0
MESSIDOR2,retfound_mae_cfp_official_like,3,0,4
MESSIDOR2,retfound_mae_cfp_official_like,3,1,0
MESSIDOR2,retfound_mae_cfp_official_like,3,2,18
MESSIDOR2,retfound_mae_cfp_official_like,3,3,0
MESSIDOR2,retfound_mae_cfp_official_like,3,4,1
MESSIDOR2,retfound_mae_cfp_official_like,4,0,0
MESSIDOR2,retfound_mae_cfp_official_like,4,1,0
MESSIDOR2,retfound_mae_cfp_official_like,4,2,4
MESSIDOR2,retfound_mae_cfp_official_like,4,3,0
MESSIDOR2,retfound_mae_cfp_official_like,4,4,7
MESSIDOR2,swin_tiny,0,0,288
MESSIDOR2,swin_tiny,0,1,4
MESSIDOR2,swin_tiny,0,2,12
MESSIDOR2,swin_tiny,0,3,0
MESSIDOR2,swin_tiny,0,4,2
MESSIDOR2,swin_tiny,1,0,78
MESSIDOR2,swin_tiny,1,1,0
MESSIDOR2,swin_tiny,1,2,3
MESSIDOR2,swin_tiny,1,3,0
MESSIDOR2,swin_tiny,1,4,0
MESSIDOR2,swin_tiny,2,0,68
MESSIDOR2,swin_tiny,2,1,11
MESSIDOR2,swin_tiny,2,2,26
MESSIDOR2,swin_tiny,2,3,0
MESSIDOR2,swin_tiny,2,4,0
MESSIDOR2,swin_tiny,3,0,3
MESSIDOR2,swin_tiny,3,1,0
MESSIDOR2,swin_tiny,3,2,20
MESSIDOR2,swin_tiny,3,3,0
MESSIDOR2,swin_tiny,3,4,0
MESSIDOR2,swin_tiny,4,0,0
MESSIDOR2,swin_tiny,4,1,1
MESSIDOR2,swin_tiny,4,2,5
MESSIDOR2,swin_tiny,4,3,0
MESSIDOR2,swin_tiny,4,4,5
MESSIDOR2,vit_b_imagenet,0,0,294
MESSIDOR2,vit_b_imagenet,0,1,3
MESSIDOR2,vit_b_imagenet,0,2,6
MESSIDOR2,vit_b_imagenet,0,3,0
MESSIDOR2,vit_b_imagenet,0,4,3
MESSIDOR2,vit_b_imagenet,1,0,80
MESSIDOR2,vit_b_imagenet,1,1,1
MESSIDOR2,vit_b_imagenet,1,2,0
MESSIDOR2,vit_b_imagenet,1,3,0
MESSIDOR2,vit_b_imagenet,1,4,0
MESSIDOR2,vit_b_imagenet,2,0,84
MESSIDOR2,vit_b_imagenet,2,1,15
MESSIDOR2,vit_b_imagenet,2,2,6
MESSIDOR2,vit_b_imagenet,2,3,0
MESSIDOR2,vit_b_imagenet,2,4,0
MESSIDOR2,vit_b_imagenet,3,0,8
MESSIDOR2,vit_b_imagenet,3,1,4
MESSIDOR2,vit_b_imagenet,3,2,11
MESSIDOR2,vit_b_imagenet,3,3,0
MESSIDOR2,vit_b_imagenet,3,4,0
MESSIDOR2,vit_b_imagenet,4,0,3
MESSIDOR2,vit_b_imagenet,4,1,0
MESSIDOR2,vit_b_imagenet,4,2,2
MESSIDOR2,vit_b_imagenet,4,3,1
