model_name,run_id,n_images,mean_ms_per_image,median_ms_per_image,p95_ms_per_image,total_forward_ms,images_per_second,pytorch_peak_allocated_mem_mb,batch_size,device,latency_relative_to_median,latency_robust_z,latency_outlier_rel10pct,latency_outlier_mad,latency_mad_sensitive_flag,latency_outlier_any,checkpoint_mb,img_size,arch,norm
swin_tiny,0,1100,0.6139534727712586,0.6100465907366015,0.6131751099019311,675.3488200483844,1628.787920176113,612.779296875,32,cuda,0.0038350132418493266,12.321771673112359,False,True,True,False,105.06313514709473,224,swin_tiny_patch4_window7_224,imagenet
swin_tiny,1,1100,0.6092637883160602,0.6086690009396989,0.6102547304180916,670.1901671476662,1641.3251848823854,612.779296875,32,cuda,0.003832781902194225,12.314602452037631,False,True,True,False,105.06313514709473,224,swin_tiny_patch4_window7_224,imagenet
swin_tiny,2,1100,0.6116079481911253,0.6110834365244955,0.612245237789466,672.7687430102378,1635.0343434181525,612.779296875,32,cuda,0.0,0.0,False,False,False,False,105.06313514709473,224,swin_tiny_patch4_window7_224,imagenet
swin_tiny,3,1100,0.6116058803375133,0.611110186582664,0.6130979905719869,672.7664683712646,1635.0398715070435,612.779296875,32,cuda,3.3810116727958212e-06,0.010863079533000097,False,False,False,False,105.06313514709473,224,swin_tiny_patch4_window7_224,imagenet
swin_tiny,4,1100,0.611736343390393,0.611290248343721,0.6131882189947646,672.9099777294323,1634.691171784489,612.779296875,32,cuda,0.00020993056033264345,0.6745,False,False,False,False,105.06313514709473,224,swin_tiny_patch4_window7_224,imagenet
vit_b_imagenet,0,1100,1.1060890027279542,1.0881240923481528,1.1423155898228288,1216.6979030007496,904.0863777993396,594.68701171875,32,cuda,0.0007979956636246079,0.6745000000000001,False,False,False,False,327.36853981018066,224,vit_base_patch16_224,imagenet
vit_b_imagenet,1,1100,1.1058728215919638,1.0870150290429592,1.1456877491582418,1216.4601037511602,904.2631127876404,594.68701171875,32,cuda,0.0009932861184149566,0.8395678290127342,False,False,False,False,327.36853981018066,224,vit_base_patch16_224,imagenet
vit_b_imagenet,2,1100,1.1080359592398799,1.0893147518800106,1.1464456187241012,1218.8395551638678,902.4977859798041,594.68701171875,32,cuda,0.0009608165515533087,0.8121231650295927,False,False,False,False,327.36853981018066,224,vit_base_patch16_224,imagenet
vit_b_imagenet,3,1100,1.1076591290872206,1.0936015605693683,1.1429697718995158,1218.4250419959426,902.804819406907,594.68701171875,32,cuda,0.0006204014105449168,0.5243897560944618,False,False,False,False,327.36853981018066,224,vit_base_patch16_224,imagenet
vit_b_imagenet,4,1100,1.1069723618724807,1.1039918754249811,1.1436180648161098,1217.6695980597287,903.3649207903137,594.68701171875,32,cuda,0.0,0.0,False,False,False,False,327.36853981018066,224,vit_base_patch16_224,imagenet
