epoch,train_loss,val_loss,val_acc,best_acc,best_epoch,epoch_time_sec
1,0.7202185573987663,0.5792283643694485,0.7859922178988327,0.7859922178988327,1,6.09906005859375
2,0.540106909815222,0.6629800031728604,0.7529182879377432,0.7859922178988327,1,5.404728412628174
3,0.4914096058346331,0.5315991751986611,0.7976653696498055,0.7976653696498055,3,5.330693244934082
4,0.4401203882880509,0.4877287687952904,0.8132295719844358,0.8132295719844358,4,5.392858982086182
5,0.40259104524739087,0.5840948856613764,0.791828793774319,0.8132295719844358,4,5.227743625640869
6,0.3902379972860217,0.46318139727501306,0.8171206225680934,0.8171206225680934,6,5.342498064041138
7,0.3154452251037583,0.5400428200236467,0.8132295719844358,0.8171206225680934,6,5.212975978851318
8,0.32747531752102077,0.6406697502979488,0.8151750972762646,0.8171206225680934,6,5.280616283416748
9,0.2823944555129856,0.5745238071334932,0.8035019455252919,0.8171206225680934,6,5.345619201660156
10,0.25695096247363836,0.5392497052534428,0.8346303501945526,0.8346303501945526,10,5.550401210784912
