target,target_role,fold,evaluation_scope,backbone,ranking_method,n_records,positive_records,auroc,auprc
large_undergrading,primary,1,per_backbone,vit_b_official_like,confidence_only,220,12,0.7716346153846153,0.22936831660654908
large_undergrading,primary,1,per_backbone,vit_b_official_like,margin_only,220,12,0.7792467948717948,0.17486369379206795
large_undergrading,primary,1,per_backbone,vit_b_official_like,entropy_only,220,12,0.7548076923076923,0.23179070891616135
large_undergrading,primary,1,per_backbone,vit_b_official_like,uncertainty_rank_fusion,220,12,0.7700320512820512,0.22021808182583452
large_undergrading,primary,1,per_backbone,vit_b_official_like,ophagent_combined,220,12,0.8157051282051282,0.333009206267319
large_undergrading,primary,1,per_backbone,vit_b_official_like,severe_prob_mass_only,220,12,0.7079326923076923,0.10634006105868012
large_undergrading,primary,1,per_backbone,vit_b_official_like,gated_severe_prob_mass_only,220,12,0.8096955128205128,0.33440824316266765
large_undergrading,primary,1,per_backbone,vit_b_official_like,expected_grade_only,220,12,0.6722756410256411,0.09289419305356716
large_undergrading,primary,1,per_backbone,vit_b_official_like,expected_gap_only,220,12,0.8669871794871795,0.45689966794617953
large_undergrading,primary,1,per_backbone,vit_b_official_like,top2_more_severe_only,220,12,0.8203124999999999,0.2742932730846047
large_undergrading,primary,1,per_backbone,vit_b_official_like,learned_logistic,220,12,0.8365384615384615,0.37979316699135324
large_undergrading,primary,1,per_backbone,vit_l_official_like,confidence_only,220,5,0.5153488372093024,0.02932484154647932
large_undergrading,primary,1,per_backbone,vit_l_official_like,margin_only,220,5,0.5265116279069768,0.030005212909659934
large_undergrading,primary,1,per_backbone,vit_l_official_like,entropy_only,220,5,0.5097674418604652,0.028432950401859915
large_undergrading,primary,1,per_backbone,vit_l_official_like,uncertainty_rank_fusion,220,5,0.5106976744186047,0.02841112275107551
large_undergrading,primary,1,per_backbone,vit_l_official_like,ophagent_combined,220,5,0.5711627906976744,0.03513100803845538
large_undergrading,primary,1,per_backbone,vit_l_official_like,severe_prob_mass_only,220,5,0.4130232558139535,0.02312667647776434
large_undergrading,primary,1,per_backbone,vit_l_official_like,gated_severe_prob_mass_only,220,5,0.5618604651162791,0.033559872179886
large_undergrading,primary,1,per_backbone,vit_l_official_like,expected_grade_only,220,5,0.43348837209302327,0.023539751934971986
large_undergrading,primary,1,per_backbone,vit_l_official_like,expected_gap_only,220,5,0.6232558139534883,0.05902403637023128
large_undergrading,primary,1,per_backbone,vit_l_official_like,top2_more_severe_only,220,5,0.6679069767441861,0.050650249372437235
large_undergrading,primary,1,per_backbone,vit_l_official_like,learned_logistic,220,5,0.6706976744186047,0.07034826301654681
large_undergrading,primary,2,pooled_analysis_only,ALL,confidence_only,1308,43,0.7593528816986855,0.09641232929117585
large_undergrading,primary,2,pooled_analysis_only,ALL,margin_only,1308,43,0.7644084934277047,0.09100386144691965
large_undergrading,primary,2,pooled_analysis_only,ALL,entropy_only,1308,43,0.7397738762753929,0.07719690594301454
large_undergrading,primary,2,pooled_analysis_only,ALL,uncertainty_rank_fusion,1308,43,0.7574869013696112,0.09692583810619475
large_undergrading,primary,2,pooled_analysis_only,ALL,ophagent_combined,1308,43,0.8340288629469621,0.13996598213654937
large_undergrading,primary,2,pooled_analysis_only,ALL,severe_prob_mass_only,1308,43,0.7312252964426877,0.06515760252598844
large_undergrading,primary,2,pooled_analysis_only,ALL,gated_severe_prob_mass_only,1308,43,0.8000551521279529,0.16227595335719985
large_undergrading,primary,2,pooled_analysis_only,ALL,expected_grade_only,1308,43,0.7434506848055887,0.0679757138681285
large_undergrading,primary,2,pooled_analysis_only,ALL,expected_gap_only,1308,43,0.8172074639213163,0.17342503631104736
large_undergrading,primary,2,pooled_analysis_only,ALL,top2_more_severe_only,1308,43,0.8266017097159665,0.1325584870884577
large_undergrading,primary,2,pooled_analysis_only,ALL,learned_logistic,1308,43,0.8539020130526703,0.16359499599805732
large_undergrading,primary,2,per_backbone,convnext_tiny,confidence_only,218,6,0.8820754716981132,0.13644995070729304
large_undergrading,primary,2,per_backbone,convnext_tiny,margin_only,218,6,0.875,0.11626382876382875
large_undergrading,primary,2,per_backbone,convnext_tiny,entropy_only,218,6,0.8411949685534591,0.14580455123468308
large_undergrading,primary,2,per_backbone,convnext_tiny,uncertainty_rank_fusion,218,6,0.8706761006289307,0.1247153209109731
large_undergrading,primary,2,per_backbone,convnext_tiny,ophagent_combined,218,6,0.9245283018867925,0.28888888888888886
large_undergrading,primary,2,per_backbone,convnext_tiny,severe_prob_mass_only,218,6,0.8404088050314464,0.11952289580460115
large_undergrading,primary,2,per_backbone,convnext_tiny,gated_severe_prob_mass_only,218,6,0.9017295597484276,0.3983630952380952
large_undergrading,primary,2,per_backbone,convnext_tiny,expected_grade_only,218,6,0.8317610062893082,0.12251932704235335
large_undergrading,primary,2,per_backbone,convnext_tiny,expected_gap_only,218,6,0.9567610062893082,0.28465608465608466
large_undergrading,primary,2,per_backbone,convnext_tiny,top2_more_severe_only,218,6,0.9245283018867925,0.32093139937967524
large_undergrading,primary,2,per_backbone,convnext_tiny,learned_logistic,218,6,0.9174528301886793,0.214226112052199
large_undergrading,primary,2,per_backbone,retfound_official_like,confidence_only,218,7,0.913337846987136,0.4305617406929958
large_undergrading,primary,2,per_backbone,retfound_official_like,margin_only,218,7,0.912660798916723,0.3083333333333333
large_undergrading,primary,2,per_backbone,retfound_official_like,entropy_only,218,7,0.8645903859174001,0.20185733384262797
large_undergrading,primary,2,per_backbone,retfound_official_like,uncertainty_rank_fusion,218,7,0.90521327014218,0.41225352073499427
large_undergrading,primary,2,per_backbone,retfound_official_like,ophagent_combined,218,7,0.929587000677048,0.35068027210884345
large_undergrading,primary,2,per_backbone,retfound_official_like,severe_prob_mass_only,218,7,0.8436018957345972,0.11163716817852157
large_undergrading,primary,2,per_backbone,retfound_official_like,gated_severe_prob_mass_only,218,7,0.9045362220717671,0.33540080609046125
large_undergrading,primary,2,per_backbone,retfound_official_like,expected_grade_only,218,7,0.8415707515233581,0.11448911548425039
large_undergrading,primary,2,per_backbone,retfound_official_like,expected_gap_only,218,7,0.928909952606635,0.27787114845938377
large_undergrading,primary,2,per_backbone,retfound_official_like,top2_more_severe_only,218,7,0.9275558564658091,0.2095070545700798
large_undergrading,primary,2,per_backbone,retfound_official_like,learned_logistic,218,7,0.9383886255924171,0.2737408424908425
large_undergrading,primary,2,per_backbone,swin_tiny,confidence_only,218,7,0.7813134732566013,0.07650946704678993
large_undergrading,primary,2,per_backbone,swin_tiny,margin_only,218,7,0.7704807041299933,0.07280436772917975
large_undergrading,primary,2,per_backbone,swin_tiny,entropy_only,218,7,0.7948544346648613,0.08314135057452102
large_undergrading,primary,2,per_backbone,swin_tiny,uncertainty_rank_fusion,218,7,0.7806364251861883,0.07607229214372072
large_undergrading,primary,2,per_backbone,swin_tiny,ophagent_combined,218,7,0.8111035883547733,0.0990700886327516
large_undergrading,primary,2,per_backbone,swin_tiny,severe_prob_mass_only,218,7,0.8348002708192283,0.10217222391135435
