target,target_role,evaluation_scope,backbone,ranking_method,n_folds,mean_auroc,std_auroc,mean_auprc,std_auprc,mean_positive_records
dangerous_undergrading,secondary,per_backbone,convnext_tiny,ophagent_combined,5,0.8569828685842801,0.022257220146463003,0.3765892162666036,0.04963159728597595,14.0
dangerous_undergrading,secondary,per_backbone,convnext_tiny,gated_severe_prob_mass_only,5,0.8705305957283105,0.014262863370048048,0.3474516996414411,0.10348389254458899,14.0
dangerous_undergrading,secondary,per_backbone,convnext_tiny,learned_logistic,5,0.8734856969932236,0.0076824423650838835,0.32161137600165857,0.11001795633036475,14.0
dangerous_undergrading,secondary,per_backbone,convnext_tiny,expected_gap_only,5,0.8442830785398066,0.05931833115390498,0.3176780917886249,0.0989236402715555,14.0
dangerous_undergrading,secondary,per_backbone,convnext_tiny,entropy_only,5,0.8055131956988234,0.039296258892421276,0.22596419763617673,0.08050550311440545,14.0
dangerous_undergrading,secondary,per_backbone,convnext_tiny,top2_more_severe_only,5,0.7876037181960643,0.07411716682004135,0.22240468542299757,0.05464435941154488,14.0
dangerous_undergrading,secondary,per_backbone,convnext_tiny,uncertainty_rank_fusion,5,0.799412842279132,0.037944048017646045,0.22092551051973572,0.08724321071580124,14.0
dangerous_undergrading,secondary,per_backbone,convnext_tiny,confidence_only,5,0.7970143758701373,0.03819417178080337,0.21928872746840095,0.09332564798343199,14.0
dangerous_undergrading,secondary,per_backbone,convnext_tiny,margin_only,5,0.7899118824148921,0.03381797294118495,0.1784522854528004,0.07170284221206467,14.0
dangerous_undergrading,secondary,per_backbone,convnext_tiny,severe_prob_mass_only,5,0.7780143566560789,0.016377815339397462,0.1386802943125939,0.04278079455772301,14.0
dangerous_undergrading,secondary,per_backbone,convnext_tiny,expected_grade_only,5,0.7716870977322372,0.01997981875822007,0.13741290067649914,0.04039630805332728,14.0
dangerous_undergrading,secondary,per_backbone,retfound_official_like,gated_severe_prob_mass_only,5,0.8723419434651085,0.03646154715956198,0.3408747536638225,0.08449860697468894,13.0
dangerous_undergrading,secondary,per_backbone,retfound_official_like,ophagent_combined,5,0.8519960986004612,0.057223517760042926,0.32515047602040503,0.12465811947695626,13.0
dangerous_undergrading,secondary,per_backbone,retfound_official_like,learned_logistic,5,0.856889507213339,0.03522701450931464,0.28920815645511594,0.05691514166742494,13.0
