target,review_budget,ranking_method,winner_count,mean_winner_recall,mean_tie_count,total_backbones,winner_rate
vision_threatening_dr_miss,0.05,gated_severe_prob_mass_only,3,0.3189646393051966,1.0,6,0.5
vision_threatening_dr_miss,0.05,learned_logistic,2,0.3093768976121917,1.0,6,0.3333333333333333
vision_threatening_dr_miss,0.05,ophagent_combined,1,0.3399891774891775,1.0,6,0.16666666666666666
vision_threatening_dr_miss,0.1,gated_severe_prob_mass_only,6,0.5279929421570287,1.0,6,1.0
vision_threatening_dr_miss,0.15,gated_severe_prob_mass_only,5,0.6592613394517419,1.0,6,0.8333333333333334
vision_threatening_dr_miss,0.15,learned_logistic,1,0.6558118352235999,1.0,6,0.16666666666666666
vision_threatening_dr_miss,0.2,gated_severe_prob_mass_only,6,0.7591412347256,1.0,6,1.0
vision_threatening_dr_miss,0.25,gated_severe_prob_mass_only,5,0.8415646869470399,1.0,6,0.8333333333333334
vision_threatening_dr_miss,0.25,learned_logistic,1,0.7976767676767678,1.0,6,0.16666666666666666
vision_threatening_dr_miss,0.3,learned_logistic,5,0.910412531912532,1.0,6,0.8333333333333334
vision_threatening_dr_miss,0.3,gated_severe_prob_mass_only,1,0.9018300653594771,1.0,6,0.16666666666666666
vision_threatening_dr_miss,0.4,learned_logistic,5,0.9728294711824124,1.6,6,0.8333333333333334
vision_threatening_dr_miss,0.4,gated_severe_prob_mass_only,4,0.9794191919191919,1.75,6,0.6666666666666666
vision_threatening_dr_miss,0.5,gated_severe_prob_mass_only,6,0.9922311348781937,2.8333333333333335,6,1.0
vision_threatening_dr_miss,0.5,learned_logistic,4,0.9883467023172905,3.75,6,0.6666666666666666
vision_threatening_dr_miss,0.5,confidence_only,1,0.9818181818181818,9.0,6,0.16666666666666666
vision_threatening_dr_miss,0.5,entropy_only,1,0.9818181818181818,9.0,6,0.16666666666666666
vision_threatening_dr_miss,0.5,expected_grade_only,1,0.9818181818181818,9.0,6,0.16666666666666666
vision_threatening_dr_miss,0.5,margin_only,1,0.9818181818181818,9.0,6,0.16666666666666666
vision_threatening_dr_miss,0.5,ophagent_combined,1,0.9818181818181818,9.0,6,0.16666666666666666
vision_threatening_dr_miss,0.5,severe_prob_mass_only,1,0.9818181818181818,9.0,6,0.16666666666666666
vision_threatening_dr_miss,0.5,uncertainty_rank_fusion,1,0.9818181818181818,9.0,6,0.16666666666666666
