target,target_role,fold,evaluation_scope,backbone,ranking_method,review_budget,actual_review_budget,n_records,reviewed_n,auto_released_n,dangerous_error_total,dangerous_error_captured,dangerous_error_recall_at_k,dangerous_error_precision_at_k,dangerous_error_lift_vs_random,residual_dangerous_error_count,residual_dangerous_error_rate,dangerous_errors_per_100_reviewed,number_needed_to_review
large_undergrading,primary,1,per_backbone,convnext_tiny,confidence_only,0.25,0.25,220,55,165,10,7,0.7,0.12727272727272726,2.8,3,0.01818181818181818,12.727272727272727,7.857142857142858
large_undergrading,primary,1,per_backbone,convnext_tiny,confidence_only,0.3,0.3,220,66,154,10,7,0.7,0.10606060606060606,2.3333333333333335,3,0.01948051948051948,10.606060606060606,9.428571428571429
large_undergrading,primary,1,per_backbone,convnext_tiny,confidence_only,0.4,0.4,220,88,132,10,9,0.9,0.10227272727272728,2.25,1,0.007575757575757576,10.227272727272728,9.777777777777777
large_undergrading,primary,1,per_backbone,convnext_tiny,confidence_only,0.5,0.5,220,110,110,10,9,0.9,0.08181818181818182,1.8,1,0.00909090909090909,8.181818181818182,12.222222222222221
large_undergrading,primary,1,per_backbone,convnext_tiny,margin_only,0.05,0.05,220,11,209,10,2,0.2,0.18181818181818182,4.0,8,0.03827751196172249,18.181818181818183,5.5
large_undergrading,primary,1,per_backbone,convnext_tiny,margin_only,0.1,0.1,220,22,198,10,5,0.5,0.22727272727272727,5.0,5,0.025252525252525252,22.727272727272727,4.4
large_undergrading,primary,1,per_backbone,convnext_tiny,margin_only,0.15,0.15,220,33,187,10,5,0.5,0.15151515151515152,3.3333333333333335,5,0.026737967914438502,15.151515151515152,6.6
large_undergrading,primary,1,per_backbone,convnext_tiny,margin_only,0.2,0.2,220,44,176,10,6,0.6,0.13636363636363635,2.9999999999999996,4,0.022727272727272728,13.636363636363635,7.333333333333334
large_undergrading,primary,1,per_backbone,convnext_tiny,margin_only,0.25,0.25,220,55,165,10,7,0.7,0.12727272727272726,2.8,3,0.01818181818181818,12.727272727272727,7.857142857142858
large_undergrading,primary,1,per_backbone,convnext_tiny,margin_only,0.3,0.3,220,66,154,10,7,0.7,0.10606060606060606,2.3333333333333335,3,0.01948051948051948,10.606060606060606,9.428571428571429
large_undergrading,primary,1,per_backbone,convnext_tiny,margin_only,0.4,0.4,220,88,132,10,9,0.9,0.10227272727272728,2.25,1,0.007575757575757576,10.227272727272728,9.777777777777777
large_undergrading,primary,1,per_backbone,convnext_tiny,margin_only,0.5,0.5,220,110,110,10,9,0.9,0.08181818181818182,1.8,1,0.00909090909090909,8.181818181818182,12.222222222222221
large_undergrading,primary,1,per_backbone,convnext_tiny,entropy_only,0.05,0.05,220,11,209,10,3,0.3,0.2727272727272727,5.999999999999999,7,0.03349282296650718,27.27272727272727,3.666666666666667
large_undergrading,primary,1,per_backbone,convnext_tiny,entropy_only,0.1,0.1,220,22,198,10,4,0.4,0.18181818181818182,4.0,6,0.030303030303030304,18.181818181818183,5.5
large_undergrading,primary,1,per_backbone,convnext_tiny,entropy_only,0.15,0.15,220,33,187,10,6,0.6,0.18181818181818182,4.0,4,0.0213903743315508,18.181818181818183,5.5
large_undergrading,primary,1,per_backbone,convnext_tiny,entropy_only,0.2,0.2,220,44,176,10,7,0.7,0.1590909090909091,3.5,3,0.017045454545454544,15.909090909090908,6.285714285714286
large_undergrading,primary,1,per_backbone,convnext_tiny,entropy_only,0.25,0.25,220,55,165,10,7,0.7,0.12727272727272726,2.8,3,0.01818181818181818,12.727272727272727,7.857142857142858
large_undergrading,primary,1,per_backbone,convnext_tiny,entropy_only,0.3,0.3,220,66,154,10,7,0.7,0.10606060606060606,2.3333333333333335,3,0.01948051948051948,10.606060606060606,9.428571428571429
large_undergrading,primary,1,per_backbone,convnext_tiny,entropy_only,0.4,0.4,220,88,132,10,9,0.9,0.10227272727272728,2.25,1,0.007575757575757576,10.227272727272728,9.777777777777777
large_undergrading,primary,1,per_backbone,convnext_tiny,entropy_only,0.5,0.5,220,110,110,10,9,0.9,0.08181818181818182,1.8,1,0.00909090909090909,8.181818181818182,12.222222222222221
large_undergrading,primary,1,per_backbone,convnext_tiny,uncertainty_rank_fusion,0.05,0.05,220,11,209,10,4,0.4,0.36363636363636365,8.0,6,0.028708133971291867,36.36363636363637,2.75
large_undergrading,primary,1,per_backbone,convnext_tiny,uncertainty_rank_fusion,0.1,0.1,220,22,198,10,4,0.4,0.18181818181818182,4.0,6,0.030303030303030304,18.181818181818183,5.5
large_undergrading,primary,1,per_backbone,convnext_tiny,uncertainty_rank_fusion,0.15,0.15,220,33,187,10,6,0.6,0.18181818181818182,4.0,4,0.0213903743315508,18.181818181818183,5.5
large_undergrading,primary,1,per_backbone,convnext_tiny,uncertainty_rank_fusion,0.2,0.2,220,44,176,10,6,0.6,0.13636363636363635,2.9999999999999996,4,0.022727272727272728,13.636363636363635,7.333333333333334
large_undergrading,primary,1,per_backbone,convnext_tiny,uncertainty_rank_fusion,0.25,0.25,220,55,165,10,7,0.7,0.12727272727272726,2.8,3,0.01818181818181818,12.727272727272727,7.857142857142858
large_undergrading,primary,1,per_backbone,convnext_tiny,uncertainty_rank_fusion,0.3,0.3,220,66,154,10,7,0.7,0.10606060606060606,2.3333333333333335,3,0.01948051948051948,10.606060606060606,9.428571428571429
large_undergrading,primary,1,per_backbone,convnext_tiny,uncertainty_rank_fusion,0.4,0.4,220,88,132,10,9,0.9,0.10227272727272728,2.25,1,0.007575757575757576,10.227272727272728,9.777777777777777
large_undergrading,primary,1,per_backbone,convnext_tiny,uncertainty_rank_fusion,0.5,0.5,220,110,110,10,9,0.9,0.08181818181818182,1.8,1,0.00909090909090909,8.181818181818182,12.222222222222221
large_undergrading,primary,1,per_backbone,convnext_tiny,ophagent_combined,0.05,0.05,220,11,209,10,6,0.6,0.5454545454545454,11.999999999999998,4,0.019138755980861243,54.54545454545454,1.8333333333333335
large_undergrading,primary,1,per_backbone,convnext_tiny,ophagent_combined,0.1,0.1,220,22,198,10,6,0.6,0.2727272727272727,5.999999999999999,4,0.020202020202020204,27.27272727272727,3.666666666666667
large_undergrading,primary,1,per_backbone,convnext_tiny,ophagent_combined,0.15,0.15,220,33,187,10,6,0.6,0.18181818181818182,4.0,4,0.0213903743315508,18.181818181818183,5.5
large_undergrading,primary,1,per_backbone,convnext_tiny,ophagent_combined,0.2,0.2,220,44,176,10,6,0.6,0.13636363636363635,2.9999999999999996,4,0.022727272727272728,13.636363636363635,7.333333333333334
large_undergrading,primary,1,per_backbone,convnext_tiny,ophagent_combined,0.25,0.25,220,55,165,10,9,0.9,0.16363636363636364,3.6,1,0.006060606060606061,16.363636363636363,6.111111111111111
large_undergrading,primary,1,per_backbone,convnext_tiny,ophagent_combined,0.3,0.3,220,66,154,10,9,0.9,0.13636363636363635,2.9999999999999996,1,0.006493506493506494,13.636363636363635,7.333333333333334
large_undergrading,primary,1,per_backbone,convnext_tiny,ophagent_combined,0.4,0.4,220,88,132,10,9,0.9,0.10227272727272728,2.25,1,0.007575757575757576,10.227272727272728,9.777777777777777
large_undergrading,primary,1,per_backbone,convnext_tiny,ophagent_combined,0.5,0.5,220,110,110,10,9,0.9,0.08181818181818182,1.8,1,0.00909090909090909,8.181818181818182,12.222222222222221
large_undergrading,primary,1,per_backbone,convnext_tiny,severe_prob_mass_only,0.05,0.05,220,11,209,10,0,0.0,0.0,0.0,10,0.04784688995215311,0.0,
large_undergrading,primary,1,per_backbone,convnext_tiny,severe_prob_mass_only,0.1,0.1,220,22,198,10,2,0.2,0.09090909090909091,2.0,8,0.04040404040404041,9.090909090909092,11.0
large_undergrading,primary,1,per_backbone,convnext_tiny,severe_prob_mass_only,0.15,0.15,220,33,187,10,6,0.6,0.18181818181818182,4.0,4,0.0213903743315508,18.181818181818183,5.5
large_undergrading,primary,1,per_backbone,convnext_tiny,severe_prob_mass_only,0.2,0.2,220,44,176,10,6,0.6,0.13636363636363635,2.9999999999999996,4,0.022727272727272728,13.636363636363635,7.333333333333334
large_undergrading,primary,1,per_backbone,convnext_tiny,severe_prob_mass_only,0.25,0.25,220,55,165,10,8,0.8,0.14545454545454545,3.1999999999999997,2,0.012121212121212121,14.545454545454545,6.875
large_undergrading,primary,1,per_backbone,convnext_tiny,severe_prob_mass_only,0.3,0.3,220,66,154,10,8,0.8,0.12121212121212122,2.6666666666666665,2,0.012987012987012988,12.121212121212121,8.25
large_undergrading,primary,1,per_backbone,convnext_tiny,severe_prob_mass_only,0.4,0.4,220,88,132,10,8,0.8,0.09090909090909091,2.0,2,0.015151515151515152,9.090909090909092,11.0
large_undergrading,primary,1,per_backbone,convnext_tiny,severe_prob_mass_only,0.5,0.5,220,110,110,10,10,1.0,0.09090909090909091,2.0,0,0.0,9.090909090909092,11.0
large_undergrading,primary,1,per_backbone,convnext_tiny,gated_severe_prob_mass_only,0.05,0.05,220,11,209,10,5,0.5,0.45454545454545453,10.0,5,0.023923444976076555,45.45454545454545,2.2
large_undergrading,primary,1,per_backbone,convnext_tiny,gated_severe_prob_mass_only,0.1,0.1,220,22,198,10,6,0.6,0.2727272727272727,5.999999999999999,4,0.020202020202020204,27.27272727272727,3.666666666666667
large_undergrading,primary,1,per_backbone,convnext_tiny,gated_severe_prob_mass_only,0.15,0.15,220,33,187,10,8,0.8,0.24242424242424243,5.333333333333333,2,0.0106951871657754,24.242424242424242,4.125
large_undergrading,primary,1,per_backbone,convnext_tiny,gated_severe_prob_mass_only,0.2,0.2,220,44,176,10,8,0.8,0.18181818181818182,4.0,2,0.011363636363636364,18.181818181818183,5.5
large_undergrading,primary,1,per_backbone,convnext_tiny,gated_severe_prob_mass_only,0.25,0.25,220,55,165,10,8,0.8,0.14545454545454545,3.1999999999999997,2,0.012121212121212121,14.545454545454545,6.875
large_undergrading,primary,1,per_backbone,convnext_tiny,gated_severe_prob_mass_only,0.3,0.3,220,66,154,10,8,0.8,0.12121212121212122,2.6666666666666665,2,0.012987012987012988,12.121212121212121,8.25
large_undergrading,primary,1,per_backbone,convnext_tiny,gated_severe_prob_mass_only,0.4,0.4,220,88,132,10,10,1.0,0.11363636363636363,2.5,0,0.0,11.363636363636363,8.8
large_undergrading,primary,1,per_backbone,convnext_tiny,gated_severe_prob_mass_only,0.5,0.5,220,110,110,10,10,1.0,0.09090909090909091,2.0,0,0.0,9.090909090909092,11.0
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_grade_only,0.05,0.05,220,11,209,10,0,0.0,0.0,0.0,10,0.04784688995215311,0.0,
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_grade_only,0.1,0.1,220,22,198,10,2,0.2,0.09090909090909091,2.0,8,0.04040404040404041,9.090909090909092,11.0
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_grade_only,0.15,0.15,220,33,187,10,5,0.5,0.15151515151515152,3.3333333333333335,5,0.026737967914438502,15.151515151515152,6.6
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_grade_only,0.2,0.2,220,44,176,10,8,0.8,0.18181818181818182,4.0,2,0.011363636363636364,18.181818181818183,5.5
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_grade_only,0.25,0.25,220,55,165,10,8,0.8,0.14545454545454545,3.1999999999999997,2,0.012121212121212121,14.545454545454545,6.875
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_grade_only,0.3,0.3,220,66,154,10,8,0.8,0.12121212121212122,2.6666666666666665,2,0.012987012987012988,12.121212121212121,8.25
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_grade_only,0.4,0.4,220,88,132,10,8,0.8,0.09090909090909091,2.0,2,0.015151515151515152,9.090909090909092,11.0
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_grade_only,0.5,0.5,220,110,110,10,9,0.9,0.08181818181818182,1.8,1,0.00909090909090909,8.181818181818182,12.222222222222221
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_gap_only,0.05,0.05,220,11,209,10,3,0.3,0.2727272727272727,5.999999999999999,7,0.03349282296650718,27.27272727272727,3.666666666666667
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_gap_only,0.1,0.1,220,22,198,10,7,0.7,0.3181818181818182,7.0,3,0.015151515151515152,31.818181818181817,3.142857142857143
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_gap_only,0.15,0.15,220,33,187,10,7,0.7,0.21212121212121213,4.666666666666667,3,0.016042780748663103,21.21212121212121,4.714285714285714
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_gap_only,0.2,0.2,220,44,176,10,9,0.9,0.20454545454545456,4.5,1,0.005681818181818182,20.454545454545457,4.888888888888888
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_gap_only,0.25,0.25,220,55,165,10,10,1.0,0.18181818181818182,4.0,0,0.0,18.181818181818183,5.5
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_gap_only,0.3,0.3,220,66,154,10,10,1.0,0.15151515151515152,3.3333333333333335,0,0.0,15.151515151515152,6.6
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_gap_only,0.4,0.4,220,88,132,10,10,1.0,0.11363636363636363,2.5,0,0.0,11.363636363636363,8.8
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_gap_only,0.5,0.5,220,110,110,10,10,1.0,0.09090909090909091,2.0,0,0.0,9.090909090909092,11.0
large_undergrading,primary,1,per_backbone,convnext_tiny,top2_more_severe_only,0.05,0.05,220,11,209,10,3,0.3,0.2727272727272727,5.999999999999999,7,0.03349282296650718,27.27272727272727,3.666666666666667
large_undergrading,primary,1,per_backbone,convnext_tiny,top2_more_severe_only,0.1,0.1,220,22,198,10,6,0.6,0.2727272727272727,5.999999999999999,4,0.020202020202020204,27.27272727272727,3.666666666666667
large_undergrading,primary,1,per_backbone,convnext_tiny,top2_more_severe_only,0.15,0.15,220,33,187,10,7,0.7,0.21212121212121213,4.666666666666667,3,0.016042780748663103,21.21212121212121,4.714285714285714
large_undergrading,primary,1,per_backbone,convnext_tiny,top2_more_severe_only,0.2,0.2,220,44,176,10,7,0.7,0.1590909090909091,3.5,3,0.017045454545454544,15.909090909090908,6.285714285714286
large_undergrading,primary,1,per_backbone,convnext_tiny,top2_more_severe_only,0.25,0.25,220,55,165,10,9,0.9,0.16363636363636364,3.6,1,0.006060606060606061,16.363636363636363,6.111111111111111
large_undergrading,primary,1,per_backbone,convnext_tiny,top2_more_severe_only,0.3,0.3,220,66,154,10,10,1.0,0.15151515151515152,3.3333333333333335,0,0.0,15.151515151515152,6.6
large_undergrading,primary,1,per_backbone,convnext_tiny,top2_more_severe_only,0.4,0.4,220,88,132,10,10,1.0,0.11363636363636363,2.5,0,0.0,11.363636363636363,8.8
large_undergrading,primary,1,per_backbone,convnext_tiny,top2_more_severe_only,0.5,0.5,220,110,110,10,10,1.0,0.09090909090909091,2.0,0,0.0,9.090909090909092,11.0
large_undergrading,primary,1,per_backbone,convnext_tiny,learned_logistic,0.05,0.05,220,11,209,10,3,0.3,0.2727272727272727,5.999999999999999,7,0.03349282296650718,27.27272727272727,3.666666666666667
