repeat_index,total_forward_ms,ms_per_image,peak_allocated_memory_mb
1,1219.1252848133445,1.1082957134666769,594.68603515625
2,1199.7062203008682,1.0906420184553347,594.68603515625
3,1200.2363055944443,1.0911239141767675,594.68603515625
4,1200.6934301462024,1.091539481951093,594.68603515625
5,1200.9489671327174,1.0917717883024702,594.68603515625
