clinical_event,scope,best_method,residual_n,pred_grade_distribution,true_grade_distribution,top2_more_severe_rate,high_confidence_rate_conf_ge_0_7,confidence_mean,confidence_median,margin_mean,margin_median,entropy_norm_mean,entropy_norm_median,severe_prob_mass_mean,severe_prob_mass_median,expected_grade_mean,expected_grade_median,expected_gap_mean,expected_gap_median,top2_confidence_mean,top2_confidence_median
large_undergrading,convnext_tiny,expected_gap_only,8,0:1;1:1;2:6,3:1;4:7,0.5,0.5,0.6765886779694903,0.6830715883276466,0.4869202334563932,0.560883358375102,0.5496982756046089,0.5893602778875153,0.11227399341089636,0.1034459583397624,1.617168993572704,1.8259837012737985,-0.007831006427295895,0.13736039772629693,0.18966844451309706,0.13478365100128986
large_undergrading,retfound_official_like,expected_gap_only,11,0:2;1:1;2:8,2:1;4:10,0.8181818181818182,0.2727272727272727,0.622547208223258,0.5868362166477881,0.46308085793796044,0.426551056310305,0.655112530789964,0.7156781085280778,0.24364585367553832,0.2653595497259514,1.8147083196619695,2.205178163945675,0.26925377420742375,0.29270893335342363,0.15946635028529743,0.1532355392231213
large_undergrading,swin_tiny,expected_gap_only,13,0:1;1:1;2:11,4:13,0.3076923076923077,0.9230769230769231,0.8846321915067742,0.9696704735784322,0.7958457799968648,0.9489162847126976,0.22381952987007722,0.0999123974277643,0.027322323853125854,0.0147687076771777,1.7240635903981454,1.9537826646119356,-0.04516717883262386,-0.014878772897645831,0.08878641150990929,0.0207541888657345
large_undergrading,vit_b_imagenet,expected_gap_only,16,0:4;1:2;2:10,2:3;3:2;4:11,0.5,0.875,0.9035066344732205,0.9601565259821983,0.8367173397487339,0.9354634763929031,0.19307918398240925,0.1276857334611589,0.030866473481861976,0.010269676534986751,1.364222648039099,1.9013297599740322,-0.010777351960900754,0.0025073324416949464,0.06678929472448672,0.02731068103807275
large_undergrading,vit_b_official_like,expected_gap_only,12,0:2;2:10,2:1;4:11,0.75,0.4166666666666667,0.6684436627100864,0.6664082054103581,0.5245298162159721,0.4929326165145952,0.6075397276414057,0.6309373692230464,0.20837321641383602,0.21598956646870734,1.8815824532260497,2.211473822593689,0.21491578655938284,0.2235307907685632,0.14391384649411418,0.16251856125728065
large_undergrading,vit_l_official_like,expected_gap_only,26,0:5;1:1;2:20,2:4;4:22,0.9230769230769231,0.23076923076923078,0.5870260857345447,0.5502887220587751,0.37534727071899343,0.3110885726271082,0.676586711401941,0.6960852883138459,0.28650952390930373,0.3390785114588548,2.0278350360548267,2.34205955080688,0.4509119591317496,0.5020909868180751,0.21167881501555125,0.22899891612519696
large_undergrading,pooled_all_backbones,expected_gap_only,86,0:15;1:6;2:65,2:9;3:3;4:74,0.6744186046511628,0.5116279069767442,0.7151285527557042,0.7011716287322105,0.5671640780720139,0.5379917031165401,0.4940055360895739,0.5967932022086182,0.16717530630379596,0.1490602448546198,1.7725841033116614,2.037066285964101,0.19118875447445186,0.16414143890142419,0.1479644746836902,0.14000674180738398
vision_threatening_dr_miss,convnext_tiny,gated_severe_prob_mass_only,16,0:1;1:9;2:6,3:6;4:10,0.6875,0.375,0.651134042498799,0.611644414182742,0.3994357053769386,0.32731145192395417,0.5507051355331578,0.5910460485959775,0.06870987523189533,0.07352282440507485,1.506699766265228,1.5330356643535192,0.1941997662652281,0.2492220751009876,0.2516983371218603,0.28049555058267384
vision_threatening_dr_miss,retfound_official_like,gated_severe_prob_mass_only,12,0:1;1:4;2:7,3:4;4:8,0.5833333333333334,0.16666666666666666,0.5814279455082767,0.571998823848354,0.3704382456420092,0.38098845564455597,0.7003675969046729,0.7346674838034153,0.176376809849924,0.17407944185886182,1.728668122785166,1.8932981677353382,0.22866812278516568,0.21413745498284656,0.21098969986626748,0.21408185259662985
vision_threatening_dr_miss,swin_tiny,gated_severe_prob_mass_only,15,0:1;1:1;2:13,3:8;4:7,0.3333333333333333,1.0,0.9299505778856039,0.9743556435257616,0.8684214355417066,0.9633566322199144,0.1503135207307483,0.0917422521997796,0.010350262112475275,0.0118837956069652,1.7540554473746546,1.9704432720318434,-0.04594455262534547,-0.014878772897645831,0.06152914234389735,0.0163817067802318
vision_threatening_dr_miss,vit_b_imagenet,gated_severe_prob_mass_only,15,0:2;1:5;2:8,3:5;4:10,0.5333333333333333,0.8,0.8671950687680898,0.9273545222099048,0.7502530795558653,0.8787635095762973,0.22595680037797855,0.1841687078020139,0.009297654646218578,0.0089068557370457,1.4756751594371353,1.863413244253024,0.07567515943713529,0.003863048514176442,0.11694198921222455,0.0557297676132124
vision_threatening_dr_miss,vit_b_official_like,gated_severe_prob_mass_only,16,0:3;1:2;2:11,3:7;4:9,0.8125,0.6875,0.6958413998246367,0.7145289826781949,0.5545950578785219,0.5751572982824269,0.5876523775949126,0.5719301689155895,0.17053595597419818,0.17955202303058249,1.8011615006253119,2.113794330507517,0.30116150062531205,0.21800653915852253,0.14124634194611457,0.1380321116160706
vision_threatening_dr_miss,vit_l_official_like,gated_severe_prob_mass_only,19,0:2;1:3;2:14,3:11;4:8,0.7894736842105263,0.2631578947368421,0.637693792905903,0.6799401742211011,0.46675391933183485,0.5174914998091367,0.6465285524256948,0.6087439842399891,0.21585203056669938,0.224064581869108,1.9709254582657625,2.171025216579437,0.3393465108973412,0.2656235247850418,0.170939873574068,0.1474619974051303
vision_threatening_dr_miss,pooled_all_backbones,gated_severe_prob_mass_only,93,0:10;1:24;2:59,3:41;4:52,0.6344086021505376,0.5483870967741935,0.726904399874106,0.7124740534460103,0.5683676704683862,0.5623819255296456,0.47899170629703564,0.5689945604609578,0.11118669193165895,0.0851736124193605,1.7157348446548064,1.9372948482632637,0.1888531242246985,0.16342189162969545,0.15853672940571967,0.1470669071902849
