dataset,backbone,target,method,budget,n_random,n,top_k,eligible_count,total_event,event_recall_mean,event_recall_ci95_low,event_recall_ci95_high,captured_event_mean,captured_event_ci95_low,captured_event_ci95_high,residual_event_count_mean,residual_event_count_ci95_low,residual_event_count_ci95_high,residual_event_rate_mean,residual_event_rate_ci95_low,residual_event_rate_ci95_high,enrichment_ratio_mean,enrichment_ratio_ci95_low,enrichment_ratio_ci95_high,event_recall_expected,captured_event_expected,residual_event_count_expected,residual_event_rate_expected,enrichment_ratio_expected
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.05,2000,103,6,91,23,0.06641304347826088,0.0,0.17391304347826086,1.5275,0.0,4.0,21.4725,19.0,23.0,0.22136597938144337,0.1958762886597938,0.23711340206185566,1.140090579710145,0.0,2.985507246376811,0.06593406593406594,1.5164835164835164,21.483516483516482,0.22147955137645858,1.1318681318681318
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.1,2000,103,11,91,23,0.11978260869565215,0.0,0.2184782608695593,2.755,0.0,5.024999999999864,20.245,17.975,23.0,0.22005434782608693,0.19538043478260872,0.25,1.121600790513834,0.0,2.045750988142237,0.12087912087912088,2.78021978021978,20.21978021978022,0.21978021978021978,1.1318681318681318
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.2,2000,103,21,91,23,0.23243478260869566,0.08695652173913043,0.391304347826087,5.346,2.0,9.0,17.654,14.0,21.0,0.21529268292682935,0.17073170731707318,0.25609756097560976,1.140037267080745,0.4265010351966873,1.919254658385093,0.23076923076923075,5.3076923076923075,17.692307692307693,0.21575984990619138,1.1318681318681318
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.3,2000,103,31,91,23,0.33821739130434786,0.17391304347826086,0.5217391304347826,7.779,4.0,12.0,15.221,11.0,19.0,0.2114027777777778,0.1527777777777778,0.2638888888888889,1.1237545582047685,0.5778401122019635,1.7335203366058904,0.34065934065934067,7.835164835164835,15.164835164835164,0.21062271062271062,1.1318681318681318
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.4,2000,103,42,91,23,0.4616521739130435,0.2608695652173913,0.6521739130434783,10.618,6.0,15.0,12.382,8.0,17.0,0.20298360655737707,0.13114754098360656,0.2786885245901639,1.1321469979296064,0.6397515527950309,1.5993788819875776,0.4615384615384615,10.615384615384615,12.384615384615385,0.2030264817150063,1.1318681318681318
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.5,2000,103,52,91,23,0.5727173913043478,0.391304347826087,0.7391304347826086,13.1725,9.0,17.0,9.8275,6.0,14.0,0.19269607843137254,0.11764705882352941,0.27450980392156865,1.1344209866220736,0.7750836120401338,1.4640468227424748,0.5714285714285714,13.142857142857142,9.857142857142858,0.19327731092436976,1.1318681318681318
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.05,2000,103,6,93,25,0.06474,0.0,0.16,1.6185,0.0,4.0,23.3815,21.0,25.0,0.24104639175257733,0.21649484536082475,0.25773195876288657,1.1113700000000004,0.0,2.7466666666666666,0.06451612903225806,1.6129032258064515,23.387096774193548,0.24110409045560358,1.10752688172043
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.1,2000,103,11,93,25,0.11766000000000001,0.04,0.24,2.9415,1.0,6.0,22.0585,19.0,24.0,0.2397663043478261,0.20652173913043478,0.2608695652173913,1.1017254545454547,0.37454545454545457,2.247272727272727,0.11827956989247312,2.956989247311828,22.043010752688172,0.23959794296400186,1.10752688172043
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.2,2000,103,21,93,25,0.22822000000000006,0.08,0.4,5.7055,2.0,10.0,19.2945,15.0,23.0,0.23529878048780492,0.18292682926829268,0.2804878048780488,1.119364761904762,0.39238095238095233,1.9619047619047618,0.22580645161290325,5.645161290322581,19.35483870967742,0.23603461841070025,1.1075268817204302
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.3,2000,103,31,93,25,0.3342400000000001,0.2,0.48,8.356,5.0,12.0,16.644,13.0,20.0,0.2311666666666667,0.18055555555555555,0.2777777777777778,1.1105393548387097,0.664516129032258,1.5948387096774193,0.33333333333333337,8.333333333333334,16.666666666666664,0.23148148148148145,1.1075268817204302
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.4,2000,103,42,93,25,0.45436000000000015,0.28,0.64,11.359,7.0,16.0,13.641,9.0,18.0,0.22362295081967212,0.14754098360655737,0.29508196721311475,1.1142638095238093,0.6866666666666666,1.5695238095238093,0.4516129032258065,11.290322580645162,13.709677419354838,0.22474881015335801,1.1075268817204302
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.5,2000,103,52,93,25,0.5597,0.4,0.72,13.9925,10.0,18.0,11.0075,7.0,15.0,0.21583333333333335,0.13725490196078433,0.29411764705882354,1.1086365384615382,0.7923076923076924,1.426153846153846,0.5591397849462365,13.978494623655914,11.021505376344086,0.2161079485557664,1.10752688172043
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.05,2000,103,6,99,29,0.058103448275862064,0.0,0.13793103448275862,1.685,0.0,4.0,27.315,25.0,29.0,0.2815979381443298,0.25773195876288657,0.29896907216494845,0.9974425287356323,0.0,2.367816091954023,0.06060606060606061,1.7575757575757576,27.242424242424242,0.2808497344579819,1.0404040404040404
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.1,2000,103,11,99,29,0.11294827586206897,0.034482758620689655,0.20689655172413793,3.2755,1.0,6.0,25.7245,23.0,28.0,0.2796141304347826,0.25,0.30434782608695654,1.0576065830721004,0.322884012539185,1.9373040752351096,0.11111111111111112,3.2222222222222223,25.77777777777778,0.28019323671497587,1.0404040404040404
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.2,2000,103,21,99,29,0.21313793103448272,0.06896551724137931,0.3448275862068966,6.181,2.0,10.0,22.819,19.0,27.0,0.278280487804878,0.23170731707317074,0.32926829268292684,1.0453908045977012,0.33825944170771755,1.6912972085385878,0.21212121212121213,6.151515151515151,22.848484848484848,0.278640059127864,1.0404040404040404
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.3,2000,103,31,99,29,0.31132758620689654,0.1724137931034483,0.4482758620689655,9.0285,5.0,13.0,19.9715,16.0,24.0,0.2773819444444445,0.2222222222222222,0.3333333333333333,1.0344110122358174,0.5728587319243604,1.4894327030033372,0.31313131313131315,9.080808080808081,19.919191919191917,0.27665544332210995,1.0404040404040404
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.4,2000,103,42,99,29,0.42567241379310344,0.27586206896551724,0.5862068965517241,12.3445,8.0,17.0,16.6555,12.0,21.0,0.27304098360655743,0.19672131147540983,0.3442622950819672,1.04391091954023,0.6765188834154351,1.4376026272577997,0.42424242424242425,12.303030303030303,16.696969696969695,0.2737208147044212,1.0404040404040404
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.5,2000,103,52,99,29,0.5241724137931035,0.3793103448275862,0.6896551724137931,15.201,11.0,20.0,13.799,9.0,18.0,0.2705686274509803,0.17647058823529413,0.35294117647058826,1.0382645888594166,0.7513262599469497,1.3660477453580904,0.5252525252525252,15.232323232323232,13.767676767676768,0.2699544464250347,1.0404040404040404
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.05,2000,103,6,96,26,0.06344230769230769,0.0,0.15384615384615385,1.6495,0.0,4.0,24.3505,22.0,26.0,0.2510360824742268,0.2268041237113402,0.26804123711340205,1.0890929487179488,0.0,2.641025641025641,0.0625,1.625,24.375,0.25128865979381443,1.0729166666666665
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.1,2000,103,11,96,26,0.11282692307692307,0.038461538461538464,0.23076923076923078,2.9335,1.0,6.0,23.0665,20.0,25.0,0.2507228260869565,0.21739130434782608,0.2717391304347826,1.0564702797202794,0.36013986013986016,2.160839160839161,0.11458333333333333,2.9791666666666665,23.020833333333332,0.2502264492753623,1.0729166666666665
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.2,2000,103,21,96,26,0.21725000000000003,0.07692307692307693,0.34615384615384615,5.6485,2.0,9.0,20.3515,17.0,24.0,0.24818902439024393,0.2073170731707317,0.2926829268292683,1.065559523809524,0.3772893772893773,1.6978021978021978,0.21875,5.6875,20.3125,0.24771341463414634,1.0729166666666665
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.3,2000,103,31,96,26,0.3235576923076923,0.15384615384615385,0.5,8.4125,4.0,13.0,17.5875,13.0,22.0,0.24427083333333335,0.18055555555555555,0.3055555555555556,1.0750465260545907,0.5111662531017369,1.6612903225806452,0.3229166666666667,8.395833333333334,17.604166666666664,0.24450231481481477,1.0729166666666667
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.4,2000,103,42,96,26,0.43694230769230774,0.2692307692307692,0.5769230769230769,11.3605,7.0,15.0,14.6395,11.0,19.0,0.23999180327868852,0.18032786885245902,0.3114754098360656,1.0715489926739927,0.6602564102564102,1.414835164835165,0.4375,11.375,14.625,0.23975409836065573,1.0729166666666665
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.5,2000,103,52,96,26,0.5397884615384615,0.38461538461538464,0.6923076923076923,14.0345,10.0,18.0,11.9655,8.0,16.0,0.23461764705882354,0.1568627450980392,0.3137254901960784,1.0691963757396448,0.7618343195266273,1.371301775147929,0.5416666666666667,14.083333333333334,11.916666666666666,0.23366013071895422,1.0729166666666667
IDRiD_data,vit_b_official_like,vtdr_miss,random_gate_only,0.05,2000,103,6,93,24,0.0653125,0.0,0.16666666666666666,1.5675,0.0,4.0,22.4325,20.0,24.0,0.23126288659793817,0.20618556701030927,0.24742268041237114,1.1211979166666666,0.0,2.8611111111111107,0.06451612903225806,1.5483870967741935,22.451612903225808,0.23145992683737945,1.10752688172043
IDRiD_data,vit_b_official_like,vtdr_miss,random_gate_only,0.1,2000,103,11,93,24,0.12039583333333333,0.0,0.25,2.8895,0.0,6.0,21.1105,18.0,24.0,0.22946195652173912,0.1956521739130435,0.2608695652173913,1.127342803030303,0.0,2.340909090909091,0.11827956989247312,2.838709677419355,21.161290322580644,0.2300140252454418,1.10752688172043
IDRiD_data,vit_b_official_like,vtdr_miss,random_gate_only,0.2,2000,103,21,93,24,0.2290625,0.08333333333333333,0.375,5.4975,2.0,9.0,18.5025,15.0,22.0,0.22564024390243909,0.18292682926829268,0.2682926829268293,1.1234970238095237,0.4087301587301587,1.8392857142857142,0.22580645161290322,5.419354838709677,18.580645161290324,0.22659323367427225,1.10752688172043
IDRiD_data,vit_b_official_like,vtdr_miss,random_gate_only,0.3,2000,103,31,93,24,0.3349375,0.16666666666666666,0.5,8.0385,4.0,12.0,15.9615,12.0,20.0,0.22168750000000004,0.16666666666666666,0.2777777777777778,1.1128568548387097,0.553763440860215,1.661290322580645,0.3333333333333333,8.0,16.0,0.2222222222222222,1.10752688172043
