dataset,target,budget,method,comparator,n_bootstrap,n_unique_images,mean_delta_event_recall,ci95_low_delta_event_recall,ci95_high_delta_event_recall,win_rate_delta_gt_0,mean_residual_event_count_reduction,ci95_low_residual_event_count_reduction,ci95_high_residual_event_count_reduction,mean_residual_event_rate_reduction,ci95_low_residual_event_rate_reduction,ci95_high_residual_event_rate_reduction
IDRiD_data,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,103,0.33921524664214237,0.22290346687464047,0.4760646390547886,1.0,7.9134504732744935,5.4986413027827865,10.20737457008524,0.0965054935765182,0.06705660125344862,0.12448017768396633
MESSIDOR2,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,526,0.626622909280036,0.5001259676761617,0.7363166887384344,1.0,16.74911030271203,11.00135945607557,23.076442818830404,0.03987883405407626,0.02619371299065612,0.054943911473405715
