method,type,n_images,accuracy,macro_f1,qwk,n_correct,n_error
oracle_any_expert_upper_bound,oracle_upper_bound,1100,0.9190909090909091,0.857441382699378,0.9443015356017799,1011,89
dense_average_ensemble,posthoc_average_ensemble,1100,0.8309090909090909,0.6935173263762987,0.8874556246807673,914,186
convnext_tiny,single_model,1100,0.8136363636363636,0.6496387745585863,0.86153550730867,895,205
retfound_mae_cfp_official_like,single_model,1100,0.8036363636363636,0.5834373647903611,0.8659212645253975,884,216
retfound_green_linear_probe,single_model,1100,0.7790909090909091,0.6394309461388187,0.8653377490177998,857,243
