epoch,train_loss,val_loss,val_acc,best_acc,best_epoch,epoch_time_sec
1,1.2047393582761288,0.9003006544183282,0.7062256809338522,0.7062256809338522,1,8.637259483337402
2,0.7873609932139516,0.9390274774940575,0.7392996108949417,0.7392996108949417,2,8.229933977127075
3,0.7517131888307631,0.6798228062689304,0.7568093385214008,0.7568093385214008,3,8.317687749862671
4,0.6759832561947405,0.6845112293958664,0.7509727626459144,0.7568093385214008,3,8.340861558914185
5,0.6229968052357435,0.6240084872115403,0.7879377431906615,0.7879377431906615,5,8.807197570800781
6,0.5841673947870731,0.5951908769852975,0.7782101167315175,0.7879377431906615,5,8.66400933265686
7,0.5610674200579524,0.6024031960405409,0.7587548638132295,0.7879377431906615,5,9.375119686126709
8,0.5300608989782631,0.5803669235833427,0.7898832684824902,0.7898832684824902,8,9.672579050064087
9,0.4931878666393459,0.6240414161892498,0.7879377431906615,0.7898832684824902,8,9.72981595993042
10,0.44523026095703244,0.6070850348401376,0.7821011673151751,0.7898832684824902,8,9.528789758682251
