epoch,train_loss,val_loss,val_acc,best_acc,best_epoch,epoch_time_sec
1,1.204153897240758,0.9013416583047194,0.7062256809338522,0.7062256809338522,1,9.716890096664429
2,0.7812629244290292,0.958619372535716,0.7315175097276264,0.7315175097276264,2,9.318634748458862
3,0.7133812000975013,0.6488585071090389,0.7665369649805448,0.7665369649805448,3,9.410441160202026
4,0.6270670592784882,0.6236381881377276,0.7684824902723736,0.7684824902723736,4,9.351940870285034
5,0.5696698538959026,0.5770722171839546,0.7879377431906615,0.7879377431906615,5,9.346143007278442
6,0.4963315143249929,0.6169859433875364,0.7859922178988327,0.7879377431906615,5,9.429141998291016
7,0.42683390667662024,0.5583527370849076,0.7957198443579766,0.7957198443579766,7,9.445641040802002
8,0.3519580285064876,0.5537607981549466,0.811284046692607,0.811284046692607,8,9.359543800354004
9,0.27670452487654984,0.5898999918717891,0.811284046692607,0.811284046692607,8,9.388550996780396
10,0.24146173667395487,0.591011998407981,0.8151750972762646,0.8151750972762646,10,9.38381028175354
