epoch,train_loss,val_loss,val_acc,best_acc,best_epoch,epoch_time_sec
1,1.1780861839652061,0.9539599103086135,0.7392996108949417,0.7392996108949417,1,10.078991889953613
2,0.9215560918673873,0.8376099186785081,0.7840466926070039,0.7840466926070039,2,9.648944854736328
3,0.9287324221804738,0.8923205224906697,0.7782101167315175,0.7840466926070039,2,9.620776414871216
4,0.9297517826780677,0.9192538349067464,0.7645914396887159,0.7840466926070039,2,9.587591409683228
5,0.9490153770893812,1.0394052775467144,0.7490272373540856,0.7840466926070039,2,9.604358434677124
6,0.9480099324136972,1.0556615696233862,0.6536964980544747,0.7840466926070039,2,9.58695673942566
7,0.990991753526032,0.9859575050718644,0.7198443579766537,0.7840466926070039,2,9.627251148223877
8,0.9551417902112007,0.9750750432996189,0.7295719844357976,0.7840466926070039,2,9.629232406616211
9,0.9191585704684258,0.9925494001192205,0.7276264591439688,0.7840466926070039,2,9.571240663528442
10,0.9496979042887688,0.9456339688862071,0.7490272373540856,0.7840466926070039,2,9.551982402801514
11,0.9635349670425057,1.0656377077102661,0.6984435797665369,0.7840466926070039,2,9.537237167358398
12,0.9478248097002506,1.0571989557322334,0.708171206225681,0.7840466926070039,2,9.570908784866333
13,0.9109310870990157,0.9877015282126034,0.72568093385214,0.7840466926070039,2,9.628552198410034
14,0.957586258649826,0.9802870645242578,0.7509727626459144,0.7840466926070039,2,9.587838888168335
15,0.9319143826141953,0.9888860232689801,0.7062256809338522,0.7840466926070039,2,9.60505723953247
16,0.922205769456923,0.9798331646358266,0.7062256809338522,0.7840466926070039,2,9.60505485534668
17,0.9095029355958104,0.9766037043403176,0.7295719844357976,0.7840466926070039,2,9.59951400756836
18,0.9334057942032814,0.9777210354804993,0.7217898832684825,0.7840466926070039,2,9.601800441741943
19,0.9153979532420635,0.9847362321965835,0.7354085603112841,0.7840466926070039,2,9.614264726638794
20,0.891960977576673,0.9734133832594928,0.7373540856031129,0.7840466926070039,2,9.534122228622437
21,0.9025778472423553,1.0260607845642988,0.7334630350194552,0.7840466926070039,2,9.612725257873535
22,0.9096753383055329,0.9657850668710821,0.7354085603112841,0.7840466926070039,2,9.575430631637573
23,0.9007725650444627,0.9550208922694711,0.7315175097276264,0.7840466926070039,2,9.637112140655518
24,0.8961975947022438,0.9432344156153062,0.7470817120622568,0.7840466926070039,2,9.62824821472168
25,0.8904810538515449,0.9376125896678251,0.7276264591439688,0.7840466926070039,2,9.63268256187439
26,0.8739661891013384,0.9300932288169861,0.7529182879377432,0.7840466926070039,2,9.606343030929565
27,0.8785682478919625,1.0273045722176046,0.7295719844357976,0.7840466926070039,2,9.648555278778076
28,0.864526598714292,0.9045071005821228,0.7315175097276264,0.7840466926070039,2,9.600322484970093
29,0.8413134925067425,0.9430017033044029,0.7217898832684825,0.7840466926070039,2,9.573022603988647
30,0.8340719034895301,0.9312847537152907,0.754863813229572,0.7840466926070039,2,9.602664709091187
31,0.8214517133310437,0.925147987463895,0.7198443579766537,0.7840466926070039,2,9.589078664779663
32,0.8316887719556689,0.9264291244394639,0.7626459143968871,0.7840466926070039,2,9.652966737747192
33,0.8185212453827262,0.900260832379846,0.7431906614785992,0.7840466926070039,2,10.261399984359741
34,0.792225738056004,0.9092087517766392,0.7529182879377432,0.7840466926070039,2,9.627057075500488
35,0.7700975630432367,0.9373018443584442,0.7509727626459144,0.7840466926070039,2,10.040228128433228
36,0.7640983574092388,0.94584142109927,0.7276264591439688,0.7840466926070039,2,10.040828227996826
37,0.7589134015142918,0.9338231332161847,0.7490272373540856,0.7840466926070039,2,9.998443841934204
38,0.7558630649000406,0.936444911886664,0.7529182879377432,0.7840466926070039,2,10.072776794433594
39,0.7167474515736103,0.927570756743936,0.7529182879377432,0.7840466926070039,2,9.974682569503784
40,0.710636168718338,0.8943559878012713,0.754863813229572,0.7840466926070039,2,9.966481924057007
41,0.6841895543038845,0.9148826669244206,0.7568093385214008,0.7840466926070039,2,10.066791534423828
42,0.669631140306592,0.9434187236954185,0.7704280155642024,0.7840466926070039,2,9.891816139221191
43,0.6473514121025801,0.9162291533806745,0.7645914396887159,0.7840466926070039,2,10.105312824249268
44,0.6411467725411057,0.9420869543271906,0.7607003891050583,0.7840466926070039,2,10.052018642425537
45,0.6061836667358875,0.9691905572133905,0.7801556420233463,0.7840466926070039,2,10.033049583435059
46,0.61271942127496,0.9725389550713932,0.7665369649805448,0.7840466926070039,2,10.030355215072632
47,0.5952708348631859,0.9782005022553837,0.745136186770428,0.7840466926070039,2,10.032462120056152
48,0.5823087729513645,0.978909944786745,0.7626459143968871,0.7840466926070039,2,10.01106333732605
49,0.5725823044776917,0.9826973448781406,0.7626459143968871,0.7840466926070039,2,9.975797414779663
50,0.5836221566423774,0.9797825462677899,0.7626459143968871,0.7840466926070039,2,10.089845895767212
