repeat_index,total_forward_ms,ms_per_image,peak_allocated_memory_mb
1,519.7800055611879,0.47252727778289805,558.1484375
2,520.420208806172,0.47310928073288366,558.1484375
3,521.2758609559387,0.47388714632358064,558.1484375
4,521.1265066172928,0.4737513696520843,558.1484375
5,520.6150740850717,0.4732864309864288,558.1484375
