protocol_id,task_id,disease_family,dataset_id,source_schema,risk_source_mode,scout_artifact_id,expert_artifact_id,enabled,n_routing_rows,best_non_oracle_policy_by_macro_f1,best_non_oracle_budget,best_non_oracle_accuracy,best_non_oracle_macro_f1,best_non_oracle_cost_status,best_non_oracle_estimated_forward_ms_per_image,has_risk_events,has_cost_profile,notes
glaucoma_convnext_to_retfound,glaucoma_3class,glaucoma,Glaucoma_fundus,v084b_task_agnostic,empty_schema,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,true,9,low_confidence,0.5,0.8602150537634409,0.8302802185729826,estimated_from_measured_models,2.8883431590331163,false,true,青光眼单 scout-expert 注册协议示例
dr_convnext_to_retfound,aptos_dr_5class,diabetic_retinopathy,APTOS2019,legacy_v083_controlled_replay,embedded_in_routing,convnext_tiny,retfound_mae_cfp_official_protocol,true,9,low_confidence,0.5,0.8518181818181818,0.7120131767323397,,2.2341812871375373,true,false,DR 单 scout-expert 注册协议示例；DR 多 scout 协议留到后续 protocol 扩展
