source_protocol,source_output_dir,dataset_id,disease_family,protocol_id,task_id,split,method_kind,protocol_name,scout_artifact,expert_artifact,budget,policy,selected_n,expert_call_rate,non_deployable,accuracy,macro_f1,macro_auroc_ovr,macro_aupr_ovr,n_error,accuracy_ci_low,accuracy_ci_high,cost_status,estimated_forward_ms_per_image,relative_forward_cost_vs_expert_only,forward_cost_reduction_vs_expert_only,protocol_family,role,scouts,experts,ms_per_image,qwk,above_random_p975,random_accuracy_p975,oracle_accuracy,gap_to_oracle_accuracy,large_undergrading_event_total_fixed_pool,referable_miss_event_total_fixed_pool,severe_pdr_miss_event_total_fixed_pool,large_undergrading_selected_event_n,referable_miss_selected_event_n,severe_pdr_miss_selected_event_n,large_undergrading_residual_event_n,referable_miss_residual_event_n,severe_pdr_miss_residual_event_n,large_undergrading_event_recall_fixed_pool,referable_miss_event_recall_fixed_pool,severe_pdr_miss_event_recall_fixed_pool,large_undergrading_event_precision_fixed_pool,referable_miss_event_precision_fixed_pool,severe_pdr_miss_event_precision_fixed_pool,large_undergrading_event_lift_vs_budget,referable_miss_event_lift_vs_budget,severe_pdr_miss_event_lift_vs_budget,relative_forward_cost_vs_dense_expert,forward_cost_reduction_vs_dense_expert
v084_glaucoma_convnext_retfound_exploratory,experiments/v0_8_4b_glaucoma_forward_cost/outputs/glaucoma_convnext_retfound,Glaucoma_fundus,glaucoma,v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,random,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.3,random_same_budget,140,0.3010752688172043,False,0.8240172043010753,0.7836075087017851,0.9361487420240729,0.8430425821981453,81.832,0.8086021505376344,0.8408602150537634,estimated_from_measured_models,1.9390573259604564,0.40413691648126904,0.595863083518731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v084_glaucoma_convnext_retfound_exploratory,experiments/v0_8_4b_glaucoma_forward_cost/outputs/glaucoma_convnext_retfound,Glaucoma_fundus,glaucoma,v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,random,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.5,random_same_budget,232,0.4989247311827957,False,0.8342602150537635,0.797535702687814,0.9421076725724828,0.8578089339414202,77.069,0.8172043010752689,0.8516129032258064,estimated_from_measured_models,2.8883431590331163,0.6019863788468603,0.39801362115313965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v084_glaucoma_convnext_retfound_exploratory,experiments/v0_8_4b_glaucoma_forward_cost/outputs/glaucoma_convnext_retfound,Glaucoma_fundus,glaucoma,v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,oracle,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.2,oracle_exact_k,93,0.2,True,0.9096774193548387,0.8888782388996521,0.9579331493714324,0.8874977786130569,42.0,,,estimated_from_measured_models,1.4540960851515974,0.30306164766406474,0.6969383523359353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v084_glaucoma_convnext_retfound_exploratory,experiments/v0_8_4b_glaucoma_forward_cost/outputs/glaucoma_convnext_retfound,Glaucoma_fundus,glaucoma,v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,oracle,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.3,oracle_exact_k,140,0.3010752688172043,True,0.9096774193548387,0.8888782388996521,0.9581852196968382,0.8876986709801059,42.0,,,estimated_from_measured_models,1.9390573259604564,0.40413691648126904,0.595863083518731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v084_glaucoma_convnext_retfound_exploratory,experiments/v0_8_4b_glaucoma_forward_cost/outputs/glaucoma_convnext_retfound,Glaucoma_fundus,glaucoma,v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,oracle,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.5,oracle_exact_k,232,0.4989247311827957,True,0.9096774193548387,0.8888782388996521,0.9589348434131105,0.8773556260229527,42.0,,,estimated_from_measured_models,2.8883431590331163,0.6019863788468603,0.39801362115313965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v084_glaucoma_convnext_retfound_exploratory,experiments/v0_8_4b_glaucoma_forward_cost/outputs/glaucoma_convnext_retfound,Glaucoma_fundus,glaucoma,v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,oracle,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.2,oracle_up_to_k,47,0.1010752688172043,True,0.9096774193548387,0.889299587515727,0.9607751590675133,0.905806715709585,42.0,,,estimated_from_measured_models,0.9794531686152672,0.20413691648126905,0.7958630835187309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v084_glaucoma_convnext_retfound_exploratory,experiments/v0_8_4b_glaucoma_forward_cost/outputs/glaucoma_convnext_retfound,Glaucoma_fundus,glaucoma,v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,oracle,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.3,oracle_up_to_k,47,0.1010752688172043,True,0.9096774193548387,0.889299587515727,0.9607751590675133,0.905806715709585,42.0,,,estimated_from_measured_models,0.9794531686152672,0.20413691648126905,0.7958630835187309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v084_glaucoma_convnext_retfound_exploratory,experiments/v0_8_4b_glaucoma_forward_cost/outputs/glaucoma_convnext_retfound,Glaucoma_fundus,glaucoma,v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,oracle,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.5,oracle_up_to_k,47,0.1010752688172043,True,0.9096774193548387,0.889299587515727,0.9607751590675133,0.905806715709585,42.0,,,estimated_from_measured_models,0.9794531686152672,0.20413691648126905,0.7958630835187309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,,aptos_dr_5class,,,convnext_swin_to_retfound,,,0.2,disagreement_then_uncertainty,220,,,0.850909090909091,0.7079405104541922,,,164,,,,1.8012655771237165,,,multi_scout,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,1.8012655771237165,0.9100818234174746,True,0.8427272727272728,0.8754545454545455,0.0245454545454545,45.0,90.0,75.0,28.0,71.0,40.0,17.0,19.0,35.0,0.6222222222222222,0.7888888888888889,0.5333333333333333,0.1272727272727272,0.3227272727272727,0.1818181818181818,3.111111111111111,3.944444444444444,2.6666666666666665,0.44989886633918924,0.5501011336608108
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,,aptos_dr_5class,,,convnext_to_retfound,,,0.2,high_entropy,220,,,0.8472727272727273,0.7076585418697866,,,168,,,,1.1806629455690696,,,single_scout,main,convnext_tiny,retfound_mae_cfp_official_protocol,1.1806629455690696,0.9062962467175908,True,0.8281818181818181,0.8818181818181818,0.0345454545454545,45.0,90.0,75.0,28.0,50.0,43.0,17.0,40.0,32.0,0.6222222222222222,0.5555555555555556,0.5733333333333334,0.1272727272727272,0.2272727272727272,0.1954545454545454,3.111111111111111,2.7777777777777777,2.8666666666666667,0.29489206227346304,0.705107937726537
