source_protocol,source_output_dir,dataset_id,disease_family,task_id,protocol_family,protocol_name,role,scouts,experts,budget,policy,selected_n,large_undergrading_event_total_fixed_pool,referable_miss_event_total_fixed_pool,severe_pdr_miss_event_total_fixed_pool,large_undergrading_selected_event_n,referable_miss_selected_event_n,severe_pdr_miss_selected_event_n,large_undergrading_residual_event_n,referable_miss_residual_event_n,severe_pdr_miss_residual_event_n,large_undergrading_event_recall_fixed_pool,referable_miss_event_recall_fixed_pool,severe_pdr_miss_event_recall_fixed_pool,large_undergrading_event_precision_fixed_pool,referable_miss_event_precision_fixed_pool,severe_pdr_miss_event_precision_fixed_pool,large_undergrading_event_lift_vs_budget,referable_miss_event_lift_vs_budget,severe_pdr_miss_event_lift_vs_budget,risk_source_mode,source_schema
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,mean_uncertainty,330,45.0,90.0,75.0,34.0,74.0,51.0,11.0,16.0,24.0,0.7555555555555555,0.8222222222222222,0.68,0.103030303030303,0.2242424242424242,0.1545454545454545,2.5185185185185186,2.740740740740741,2.266666666666667,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,330,45.0,90.0,75.0,29.0,66.0,48.0,16.0,24.0,27.0,0.6444444444444445,0.7333333333333333,0.64,0.0878787878787878,0.2,0.1454545454545454,2.1481481481481484,2.444444444444444,2.1333333333333333,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,330,45.0,90.0,75.0,30.0,67.0,48.0,15.0,23.0,27.0,0.6666666666666666,0.7444444444444445,0.64,0.0909090909090909,0.203030303030303,0.1454545454545454,2.2222222222222223,2.481481481481482,2.1333333333333333,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,330,45.0,90.0,75.0,29.0,67.0,47.0,16.0,23.0,28.0,0.6444444444444445,0.7444444444444445,0.6266666666666667,0.0878787878787878,0.203030303030303,0.1424242424242424,2.1481481481481484,2.481481481481482,2.088888888888889,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,max_uncertainty,330,45.0,90.0,75.0,36.0,70.0,56.0,9.0,20.0,19.0,0.8,0.7777777777777778,0.7466666666666667,0.109090909090909,0.2121212121212121,0.1696969696969697,2.666666666666667,2.592592592592593,2.488888888888889,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,330,45.0,90.0,75.0,36.0,68.0,56.0,9.0,22.0,19.0,0.8,0.7555555555555555,0.7466666666666667,0.109090909090909,0.206060606060606,0.1696969696969697,2.666666666666667,2.5185185185185186,2.488888888888889,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,330,45.0,90.0,75.0,35.0,67.0,57.0,10.0,23.0,18.0,0.7777777777777778,0.7444444444444445,0.76,0.106060606060606,0.203030303030303,0.1727272727272727,2.592592592592593,2.481481481481482,2.5333333333333337,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,330,45.0,90.0,75.0,35.0,62.0,56.0,10.0,28.0,19.0,0.7777777777777778,0.6888888888888889,0.7466666666666667,0.106060606060606,0.1878787878787878,0.1696969696969697,2.592592592592593,2.2962962962962963,2.488888888888889,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.4,mean_uncertainty,440,45.0,90.0,75.0,40.0,86.0,66.0,5.0,4.0,9.0,0.8888888888888888,0.9555555555555556,0.88,0.0909090909090909,0.1954545454545454,0.15,2.222222222222222,2.388888888888889,2.2,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.4,disagreement_then_uncertainty,440,45.0,90.0,75.0,38.0,87.0,64.0,7.0,3.0,11.0,0.8444444444444444,0.9666666666666668,0.8533333333333334,0.0863636363636363,0.1977272727272727,0.1454545454545454,2.111111111111111,2.4166666666666665,2.1333333333333333,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,440,45.0,90.0,75.0,36.0,80.0,61.0,9.0,10.0,14.0,0.8,0.8888888888888888,0.8133333333333334,0.0818181818181818,0.1818181818181818,0.1386363636363636,2.0,2.222222222222222,2.033333333333333,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,high_entropy,440,45.0,90.0,75.0,36.0,80.0,61.0,9.0,10.0,14.0,0.8,0.8888888888888888,0.8133333333333334,0.0818181818181818,0.1818181818181818,0.1386363636363636,2.0,2.222222222222222,2.033333333333333,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,440,45.0,90.0,75.0,36.0,82.0,61.0,9.0,8.0,14.0,0.8,0.9111111111111112,0.8133333333333334,0.0818181818181818,0.1863636363636363,0.1386363636363636,2.0,2.2777777777777777,2.033333333333333,embedded_in_routing,legacy_v083_controlled_replay
