task_id,disease_family,dataset_id,dataset_display_name,dataset_source,dataset_url,provenance_status,label_space,num_classes,label_structure,data_root,primary_metric,display_metrics,risk_mode,source_schema,risk_source_mode,source_output_dir,enabled,notes
glaucoma_3class,glaucoma,Glaucoma_fundus,Glaucoma Fundus,Harvard Dataverse,https://doi.org/10.7910/DVN/1YRRAC,verified_public,glaucoma_normal_early_advanced,3,nominal,/data/LRT/RETFound/Data_split/Glaucoma_fundus,macro_f1,accuracy|macro_f1,none,v084b_task_agnostic,empty_schema,experiments/v0_8_4b_glaucoma_forward_cost/outputs/glaucoma_convnext_retfound,true,来源已依据 RETFound 官方 BENCHMARK 与服务器 readme 核实；当前三分类为数据集定义的正常/早期/进展或晚期标签
aptos_dr_5class,diabetic_retinopathy,APTOS2019,APTOS 2019 Blindness Detection,Kaggle,https://www.kaggle.com/competitions/aptos2019-blindness-detection/data,verified_public,dr_icdr_0_4,5,ordinal,/data/LRT/RETFound/Data_split/APTOS2019,qwk,accuracy|macro_f1|qwk,dr_risk_events,legacy_v083_controlled_replay,embedded_in_routing,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,true,旧版 DR replay；risk_results 独立表缺失，风险相关字段来自 routing_results.csv
