dataset,target,budget,method,comparator,n_bootstrap,n_unique_images,mean_delta_event_recall,ci95_low_delta_event_recall,ci95_high_delta_event_recall,win_rate_delta_gt_0,mean_residual_event_count_reduction,ci95_low_residual_event_count_reduction,ci95_high_residual_event_count_reduction,mean_residual_event_rate_reduction,ci95_low_residual_event_rate_reduction,ci95_high_residual_event_rate_reduction
IDRiD_data,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,103,0.3407938031403239,0.2242219568023195,0.4778655483668107,1.0,7.962846732852807,5.5705609975120565,10.340117379600922,0.0971078869860098,0.0679336707013665,0.1260989924341576
MESSIDOR2,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,526,0.6306259028933427,0.5107970263735802,0.7345196910423766,1.0,16.77837024294867,10.9560344004062,23.080632039991805,0.0399485005784492,0.0260857961914433,0.0549538858095043
