model_name,split,n_images,accuracy,macro_f1,qwk,C
retfound_green_linear_probe,train,2048,0.86669921875,0.7896801195163533,0.9208139190992188,0.01
retfound_green_linear_probe,val,514,0.8035019455252919,0.6810225271358522,0.879371784657761,0.01
retfound_green_linear_probe,train,2048,0.89306640625,0.8303637039529725,0.9365520917625045,0.03
retfound_green_linear_probe,val,514,0.7976653696498055,0.6719332147755046,0.887115587098564,0.03
retfound_green_linear_probe,train,2048,0.921875,0.8773991855419322,0.9539449668982201,0.1
retfound_green_linear_probe,val,514,0.7976653696498055,0.6663454747848657,0.8963008349647632,0.1
retfound_green_linear_probe,train,2048,0.95751953125,0.9308603521450085,0.9762659845418207,0.3
retfound_green_linear_probe,val,514,0.7898832684824902,0.6489518630344806,0.8888898262012067,0.3
retfound_green_linear_probe,train,2048,0.982421875,0.9699330567426644,0.9909381625674981,1.0
retfound_green_linear_probe,val,514,0.791828793774319,0.6429209532930859,0.8825881490019385,1.0
retfound_green_linear_probe,train,2048,0.9912109375,0.9824300904988827,0.9956650451508408,3.0
retfound_green_linear_probe,val,514,0.8035019455252919,0.6556634995954913,0.8896410069827114,3.0
retfound_green_linear_probe,train,2048,0.9921875,0.9837480156050356,0.9959549177616102,10.0
retfound_green_linear_probe,val,514,0.7996108949416343,0.6454525318823809,0.8863868855539918,10.0
retfound_green_linear_probe,train_best,2048,0.86669921875,0.7896801195163533,0.9208139190992188,0.01
retfound_green_linear_probe,val_best,514,0.8035019455252919,0.6810225271358522,0.879371784657761,0.01
retfound_green_linear_probe,test_best,1100,0.7790909090909091,0.6394309461388187,0.8653377490177998,0.01
