bootstrap_id,target,method,brute_recall,weighted_recall,recall_abs_diff,brute_mean_backbone_recall,weighted_mean_backbone_recall,mean_backbone_recall_abs_diff,brute_captured,weighted_captured,captured_abs_diff,brute_total,weighted_total,total_abs_diff,brute_residual,weighted_residual,residual_abs_diff
8,large_undergrading,learned_logistic,0.6820276497695853,0.6820276497695853,0.0,0.6785299630127217,0.6785299630127217,0.0,148.0,148.0,0.0,217.0,217.0,0.0,69.0,69.0,0.0
8,large_undergrading,expected_gap_only,0.7050691244239631,0.7050691244239631,0.0,0.6944983496707634,0.6944983496707634,0.0,153.0,153.0,0.0,217.0,217.0,0.0,64.0,64.0,0.0
9,large_undergrading,learned_logistic,0.6802973977695167,0.6802973977695167,0.0,0.6621517027863777,0.6621517027863777,0.0,183.0,183.0,0.0,269.0,269.0,0.0,86.0,86.0,0.0
9,large_undergrading,expected_gap_only,0.6654275092936803,0.6654275092936803,0.0,0.6454334365325077,0.6454334365325077,0.0,179.0,179.0,0.0,269.0,269.0,0.0,90.0,90.0,0.0
10,large_undergrading,learned_logistic,0.6170212765957447,0.6170212765957447,0.0,0.6101417976417977,0.6101417976417977,0.0,145.0,145.0,0.0,235.0,235.0,0.0,90.0,90.0,0.0
10,large_undergrading,expected_gap_only,0.6808510638297872,0.6808510638297872,0.0,0.6792586011336011,0.6792586011336011,0.0,160.0,160.0,0.0,235.0,235.0,0.0,75.0,75.0,0.0
11,large_undergrading,learned_logistic,0.7155172413793104,0.7155172413793104,0.0,0.7043699196512495,0.7043699196512495,0.0,166.0,166.0,0.0,232.0,232.0,0.0,66.0,66.0,0.0
11,large_undergrading,expected_gap_only,0.7198275862068966,0.7198275862068966,0.0,0.7053003475637748,0.7053003475637748,0.0,167.0,167.0,0.0,232.0,232.0,0.0,65.0,65.0,0.0
12,large_undergrading,learned_logistic,0.6340425531914894,0.6340425531914894,0.0,0.6221531315315999,0.6221531315315999,0.0,149.0,149.0,0.0,235.0,235.0,0.0,86.0,86.0,0.0
12,large_undergrading,expected_gap_only,0.6638297872340425,0.6638297872340425,0.0,0.6509459258626851,0.6509459258626851,0.0,156.0,156.0,0.0,235.0,235.0,0.0,79.0,79.0,0.0
13,large_undergrading,learned_logistic,0.6925465838509317,0.6925465838509317,0.0,0.6926790705253704,0.6926790705253704,0.0,223.0,223.0,0.0,322.0,322.0,0.0,99.0,99.0,0.0
13,large_undergrading,expected_gap_only,0.6490683229813664,0.6490683229813664,0.0,0.6472039371763777,0.6472039371763777,0.0,209.0,209.0,0.0,322.0,322.0,0.0,113.0,113.0,0.0
14,large_undergrading,learned_logistic,0.6452991452991453,0.6452991452991453,0.0,0.6340309298469319,0.6340309298469319,0.0,151.0,151.0,0.0,234.0,234.0,0.0,83.0,83.0,0.0
14,large_undergrading,expected_gap_only,0.6538461538461539,0.6538461538461539,0.0,0.6399666829867393,0.6399666829867393,0.0,153.0,153.0,0.0,234.0,234.0,0.0,81.0,81.0,0.0
15,large_undergrading,learned_logistic,0.6245847176079734,0.6245847176079734,0.0,0.6185097269935084,0.6185097269935084,0.0,188.0,188.0,0.0,301.0,301.0,0.0,113.0,113.0,0.0
15,large_undergrading,expected_gap_only,0.6245847176079734,0.6245847176079734,0.0,0.6117308332446645,0.6117308332446645,0.0,188.0,188.0,0.0,301.0,301.0,0.0,113.0,113.0,0.0
16,large_undergrading,learned_logistic,0.6153846153846154,0.6153846153846154,0.0,0.6104232822494046,0.6104232822494046,0.0,184.0,184.0,0.0,299.0,299.0,0.0,115.0,115.0,0.0
16,large_undergrading,expected_gap_only,0.6387959866220736,0.6387959866220736,0.0,0.633227621992833,0.633227621992833,0.0,191.0,191.0,0.0,299.0,299.0,0.0,108.0,108.0,0.0
17,large_undergrading,learned_logistic,0.6468253968253969,0.6468253968253969,0.0,0.6365552406678509,0.6365552406678509,0.0,163.0,163.0,0.0,252.0,252.0,0.0,89.0,89.0,0.0
17,large_undergrading,expected_gap_only,0.6507936507936508,0.6507936507936508,0.0,0.642862915281182,0.642862915281182,0.0,164.0,164.0,0.0,252.0,252.0,0.0,88.0,88.0,0.0
18,large_undergrading,learned_logistic,0.6338983050847458,0.6338983050847458,0.0,0.6248577514864029,0.6248577514864029,0.0,187.0,187.0,0.0,295.0,295.0,0.0,108.0,108.0,0.0
18,large_undergrading,expected_gap_only,0.6203389830508474,0.6203389830508474,0.0,0.6128435755653571,0.6128435755653571,0.0,183.0,183.0,0.0,295.0,295.0,0.0,112.0,112.0,0.0
19,large_undergrading,learned_logistic,0.6185185185185185,0.6185185185185185,0.0,0.6094652799787805,0.6094652799787805,0.0,167.0,167.0,0.0,270.0,270.0,0.0,103.0,103.0,0.0
19,large_undergrading,expected_gap_only,0.6444444444444445,0.6444444444444445,0.0,0.6314471377224511,0.6314471377224511,0.0,174.0,174.0,0.0,270.0,270.0,0.0,96.0,96.0,0.0
