target,target_role,ranking_method,review_budget,n_seeds,recall_mean,recall_std,recall_min,recall_max,mean_backbone_recall_mean,mean_backbone_recall_std,captured_mean,captured_min,captured_max,residual_mean,residual_min,residual_max,lift_mean,lift_std,recall_rank_mean
dangerous_undergrading,secondary,gated_severe_prob_mass_only,0.2,5,0.7069767441860465,0.0,0.7069767441860465,0.7069767441860465,0.7046359869622023,0.0,304.0,304,304,126.0,126,126,3.5348837209302326,0.0,1
dangerous_undergrading,secondary,learned_logistic,0.2,5,0.6632558139534883,0.006453226476982154,0.6534883720930232,0.6697674418604651,0.6608773416497178,0.006984961116485265,285.2,281,288,144.8,142,149,3.3162790697674422,0.03226613238491071,2
dangerous_undergrading,secondary,top2_more_severe_only,0.2,5,0.6558139534883721,0.0,0.6558139534883721,0.6558139534883721,0.6514355476418175,0.0,282.0,282,282,148.0,148,148,3.27906976744186,0.0,3
dangerous_undergrading,secondary,expected_gap_only,0.2,5,0.5953488372093023,0.0,0.5953488372093023,0.5953488372093023,0.5935300224032618,0.0,256.0,256,256,174.0,174,174,2.9767441860465116,0.0,4
dangerous_undergrading,secondary,ophagent_combined,0.2,5,0.5906976744186047,0.0,0.5906976744186047,0.5906976744186047,0.5873599493544973,0.0,254.0,254,254,176.0,176,176,2.953488372093023,0.0,5
dangerous_undergrading,secondary,margin_only,0.2,5,0.4511627906976744,0.0,0.4511627906976744,0.4511627906976744,0.45098027319744716,6.206335383118183e-17,194.0,194,194,236.0,236,236,2.255813953488372,0.0,6
large_undergrading,primary,expected_gap_only,0.2,5,0.6730038022813688,0.0,0.6730038022813688,0.6730038022813688,0.6611550280750508,0.0,177.0,177,177,86.0,86,86,3.3650190114068446,4.965068306494546e-16,1
large_undergrading,primary,top2_more_severe_only,0.2,5,0.6577946768060836,0.0,0.6577946768060836,0.6577946768060836,0.6527117289000443,0.0,173.0,173,173,90.0,90,90,3.288973384030419,4.965068306494546e-16,2
large_undergrading,primary,learned_logistic,0.2,5,0.6494296577946768,0.015538263681903084,0.6311787072243346,0.6730038022813688,0.6394824500156321,0.015606132798501352,170.8,166,177,92.2,86,97,3.2471482889733836,0.07769131840951542,3
large_undergrading,primary,gated_severe_prob_mass_only,0.2,5,0.6425855513307985,0.0,0.6425855513307985,0.6425855513307985,0.6403656980344444,0.0,169.0,169,169,94.0,94,94,3.212927756653992,0.0,4
large_undergrading,primary,ophagent_combined,0.2,5,0.5931558935361216,0.0,0.5931558935361216,0.5931558935361216,0.5870646230203803,0.0,156.0,156,156,107.0,107,107,2.9657794676806084,0.0,5
large_undergrading,primary,margin_only,0.2,5,0.46387832699619774,0.0,0.46387832699619774,0.46387832699619774,0.46090654982316914,6.206335383118183e-17,122.0,122,122,141.0,141,141,2.3193916349809887,0.0,6
vision_threatening_dr_miss,primary,gated_severe_prob_mass_only,0.2,5,0.7621483375959079,0.0,0.7621483375959079,0.7621483375959079,0.7593936961567662,0.0,298.0,298,298,93.0,93,93,3.8107416879795393,4.965068306494546e-16,1
vision_threatening_dr_miss,primary,learned_logistic,0.2,5,0.7084398976982097,0.018619206877955274,0.6777493606138107,0.7263427109974424,0.7069763174657502,0.018168885229168652,277.0,265,284,114.0,107,126,3.542199488491049,0.09309603438977639,2
vision_threatening_dr_miss,primary,top2_more_severe_only,0.2,5,0.6624040920716112,0.0,0.6624040920716112,0.6624040920716112,0.6574194838655351,0.0,259.0,259,259,132.0,132,132,3.312020460358056,0.0,3
vision_threatening_dr_miss,primary,ophagent_combined,0.2,5,0.6163682864450127,0.0,0.6163682864450127,0.6163682864450127,0.6141920000651925,0.0,241.0,241,241,150.0,150,150,3.081841432225064,0.0,4
vision_threatening_dr_miss,primary,expected_gap_only,0.2,5,0.578005115089514,0.0,0.578005115089514,0.578005115089514,0.5738458890016175,0.0,226.0,226,226,165.0,165,165,2.89002557544757,0.0,5
vision_threatening_dr_miss,primary,margin_only,0.2,5,0.4680306905370844,0.0,0.4680306905370844,0.4680306905370844,0.4677615271886684,0.0,183.0,183,183,208.0,208,208,2.340153452685422,0.0,6
