target,target_role,fold,feature,standardized_coefficient,abs_standardized_coefficient,sign,train_records,test_records,train_positive_records,test_positive_records,train_unique_images,test_unique_images
large_undergrading,primary,1,confidence,-0.1658347326378557,0.1658347326378557,-1,5280,1320,215,48,880,220
large_undergrading,primary,1,margin,-0.10305509604208084,0.10305509604208084,-1,5280,1320,215,48,880,220
large_undergrading,primary,1,entropy_norm,-0.0977074044113958,0.0977074044113958,-1,5280,1320,215,48,880,220
large_undergrading,primary,1,pred_grade,0.696928875449359,0.696928875449359,1,5280,1320,215,48,880,220
large_undergrading,primary,1,top2_grade,-0.07176742997637701,0.07176742997637701,-1,5280,1320,215,48,880,220
large_undergrading,primary,1,top2_confidence,-0.00596352565118891,0.00596352565118891,-1,5280,1320,215,48,880,220
large_undergrading,primary,1,severe_prob_mass,-1.2025444504615832,1.2025444504615832,-1,5280,1320,215,48,880,220
large_undergrading,primary,1,expected_grade,1.094976938873063,1.094976938873063,1,5280,1320,215,48,880,220
large_undergrading,primary,1,expected_gap,0.9834388706561568,0.9834388706561568,1,5280,1320,215,48,880,220
large_undergrading,primary,1,top2_more_severe,-0.07588936696929151,0.07588936696929151,-1,5280,1320,215,48,880,220
large_undergrading,primary,1,pred_le_2,1.1935665838939054,1.1935665838939054,1,5280,1320,215,48,880,220
large_undergrading,primary,1,gated_severe_prob_mass,0.012411634402896117,0.012411634402896117,1,5280,1320,215,48,880,220
large_undergrading,primary,1,top2_more_severe_conf,0.3474966447348906,0.3474966447348906,1,5280,1320,215,48,880,220
large_undergrading,primary,2,confidence,-0.2581991282823503,0.2581991282823503,-1,5292,1308,220,43,882,218
large_undergrading,primary,2,margin,-0.08883959157249169,0.08883959157249169,-1,5292,1308,220,43,882,218
large_undergrading,primary,2,entropy_norm,-0.09058412378623484,0.09058412378623484,-1,5292,1308,220,43,882,218
large_undergrading,primary,2,pred_grade,0.5471482290970837,0.5471482290970837,1,5292,1308,220,43,882,218
large_undergrading,primary,2,top2_grade,-0.024615776797166748,0.024615776797166748,-1,5292,1308,220,43,882,218
large_undergrading,primary,2,top2_confidence,-0.19513967838256135,0.19513967838256135,-1,5292,1308,220,43,882,218
large_undergrading,primary,2,severe_prob_mass,-1.1879677260886452,1.1879677260886452,-1,5292,1308,220,43,882,218
