seed,target,target_role,fold,feature,standardized_coefficient,abs_standardized_coefficient,sign,train_records,test_records,train_positive_records,test_positive_records,train_unique_images,test_unique_images
42,large_undergrading,primary,4,top2_more_severe,-0.13464659802378992,0.13464659802378992,-1,5262,1338,192,71,877,223
42,large_undergrading,primary,4,pred_le_2,1.1380900217689924,1.1380900217689924,1,5262,1338,192,71,877,223
42,large_undergrading,primary,4,gated_severe_prob_mass,0.18334894856051895,0.18334894856051895,1,5262,1338,192,71,877,223
42,large_undergrading,primary,4,top2_more_severe_conf,0.3206702500894057,0.3206702500894057,1,5262,1338,192,71,877,223
42,large_undergrading,primary,5,confidence,-0.15928306900217037,0.15928306900217037,-1,5274,1326,220,43,879,221
42,large_undergrading,primary,5,margin,-0.10529069086471816,0.10529069086471816,-1,5274,1326,220,43,879,221
42,large_undergrading,primary,5,entropy_norm,-0.22893075204589966,0.22893075204589966,-1,5274,1326,220,43,879,221
42,large_undergrading,primary,5,pred_grade,0.5577915662526778,0.5577915662526778,1,5274,1326,220,43,879,221
42,large_undergrading,primary,5,top2_grade,-0.04181316358762805,0.04181316358762805,-1,5274,1326,220,43,879,221
42,large_undergrading,primary,5,top2_confidence,0.010299768865470215,0.010299768865470215,1,5274,1326,220,43,879,221
42,large_undergrading,primary,5,severe_prob_mass,-1.1082806188114336,1.1082806188114336,-1,5274,1326,220,43,879,221
42,large_undergrading,primary,5,expected_grade,0.9579720901704,0.9579720901704,1,5274,1326,220,43,879,221
42,large_undergrading,primary,5,expected_gap,1.0208122932080579,1.0208122932080579,1,5274,1326,220,43,879,221
42,large_undergrading,primary,5,top2_more_severe,0.08000744118858198,0.08000744118858198,1,5274,1326,220,43,879,221
42,large_undergrading,primary,5,pred_le_2,1.1054750404540643,1.1054750404540643,1,5274,1326,220,43,879,221
42,large_undergrading,primary,5,gated_severe_prob_mass,0.06468805786636132,0.06468805786636132,1,5274,1326,220,43,879,221
42,large_undergrading,primary,5,top2_more_severe_conf,0.2940624676374005,0.2940624676374005,1,5274,1326,220,43,879,221
42,vision_threatening_dr_miss,primary,1,confidence,-0.06995212527703548,0.06995212527703548,-1,5268,1332,314,77,878,222
42,vision_threatening_dr_miss,primary,1,margin,-0.10363332399139434,0.10363332399139434,-1,5268,1332,314,77,878,222
42,vision_threatening_dr_miss,primary,1,entropy_norm,-0.546237380631725,0.546237380631725,-1,5268,1332,314,77,878,222
42,vision_threatening_dr_miss,primary,1,pred_grade,1.1656038585683497,1.1656038585683497,1,5268,1332,314,77,878,222
42,vision_threatening_dr_miss,primary,1,top2_grade,-0.2864245603884426,0.2864245603884426,-1,5268,1332,314,77,878,222
42,vision_threatening_dr_miss,primary,1,top2_confidence,0.15402836737990216,0.15402836737990216,1,5268,1332,314,77,878,222
42,vision_threatening_dr_miss,primary,1,severe_prob_mass,-1.1581231878256018,1.1581231878256018,-1,5268,1332,314,77,878,222
42,vision_threatening_dr_miss,primary,1,expected_grade,1.482621927524291,1.482621927524291,1,5268,1332,314,77,878,222
42,vision_threatening_dr_miss,primary,1,expected_gap,0.5929590745295695,0.5929590745295695,1,5268,1332,314,77,878,222
42,vision_threatening_dr_miss,primary,1,top2_more_severe,0.224837182580859,0.224837182580859,1,5268,1332,314,77,878,222
42,vision_threatening_dr_miss,primary,1,pred_le_2,1.4357626326974564,1.4357626326974564,1,5268,1332,314,77,878,222
