seed,target,target_role,ranking_method,review_budget,n_backbones,n_records,reviewed_n,total_dangerous,captured,residual,recall,precision,lift,mean_backbone_recall,mean_backbone_lift
42,large_undergrading,primary,expected_gap_only,0.2,6,6600,1320,263,177,86,0.6730038022813688,0.1340909090909091,3.365019011406844,0.6611550280750508,3.3057751403752538
42,large_undergrading,primary,gated_severe_prob_mass_only,0.2,6,6600,1320,263,169,94,0.6425855513307985,0.12803030303030302,3.212927756653992,0.6403656980344444,3.2018284901722223
42,large_undergrading,primary,learned_logistic,0.2,6,6600,1320,263,172,91,0.6539923954372624,0.1303030303030303,3.2699619771863118,0.643075387562058,3.2153769378102903
42,large_undergrading,primary,margin_only,0.2,6,6600,1320,263,122,141,0.46387832699619774,0.09242424242424242,2.3193916349809887,0.4609065498231692,2.3045327491158463
42,large_undergrading,primary,ophagent_combined,0.2,6,6600,1320,263,156,107,0.5931558935361216,0.11818181818181818,2.9657794676806084,0.5870646230203803,2.9353231151019012
42,large_undergrading,primary,top2_more_severe_only,0.2,6,6600,1320,263,173,90,0.6577946768060836,0.13106060606060607,3.2889733840304185,0.6527117289000443,3.2635586445002214
42,vision_threatening_dr_miss,primary,expected_gap_only,0.2,6,6600,1320,391,226,165,0.578005115089514,0.1712121212121212,2.89002557544757,0.5738458890016175,2.869229445008088
42,vision_threatening_dr_miss,primary,gated_severe_prob_mass_only,0.2,6,6600,1320,391,298,93,0.7621483375959079,0.22575757575757577,3.8107416879795397,0.7593936961567662,3.7969684807838315
42,vision_threatening_dr_miss,primary,learned_logistic,0.2,6,6600,1320,391,284,107,0.7263427109974424,0.21515151515151515,3.631713554987212,0.7248535885076485,3.6242679425382427
42,vision_threatening_dr_miss,primary,margin_only,0.2,6,6600,1320,391,183,208,0.4680306905370844,0.13863636363636364,2.340153452685422,0.4677615271886684,2.338807635943342
42,vision_threatening_dr_miss,primary,ophagent_combined,0.2,6,6600,1320,391,241,150,0.6163682864450127,0.18257575757575759,3.081841432225064,0.6141920000651925,3.0709600003259623
42,vision_threatening_dr_miss,primary,top2_more_severe_only,0.2,6,6600,1320,391,259,132,0.6624040920716112,0.1962121212121212,3.312020460358056,0.6574194838655351,3.2870974193276754
42,dangerous_undergrading,secondary,expected_gap_only,0.2,6,6600,1320,430,256,174,0.5953488372093023,0.19393939393939394,2.9767441860465116,0.5935300224032618,2.9676501120163086
42,dangerous_undergrading,secondary,gated_severe_prob_mass_only,0.2,6,6600,1320,430,304,126,0.7069767441860465,0.23030303030303031,3.5348837209302326,0.7046359869622023,3.5231799348110115
42,dangerous_undergrading,secondary,learned_logistic,0.2,6,6600,1320,430,281,149,0.6534883720930232,0.2128787878787879,3.2674418604651163,0.6503770397909426,3.2518851989547133
42,dangerous_undergrading,secondary,margin_only,0.2,6,6600,1320,430,194,236,0.4511627906976744,0.14696969696969697,2.255813953488372,0.4509802731974472,2.254901365987236
42,dangerous_undergrading,secondary,ophagent_combined,0.2,6,6600,1320,430,254,176,0.5906976744186047,0.19242424242424241,2.953488372093023,0.5873599493544973,2.9367997467724867
42,dangerous_undergrading,secondary,top2_more_severe_only,0.2,6,6600,1320,430,282,148,0.6558139534883721,0.21363636363636362,3.27906976744186,0.6514355476418175,3.2571777382090876
43,large_undergrading,primary,expected_gap_only,0.2,6,6600,1320,263,177,86,0.6730038022813688,0.1340909090909091,3.365019011406844,0.6611550280750508,3.3057751403752538
43,large_undergrading,primary,gated_severe_prob_mass_only,0.2,6,6600,1320,263,169,94,0.6425855513307985,0.12803030303030302,3.212927756653992,0.6403656980344444,3.2018284901722223
43,large_undergrading,primary,learned_logistic,0.2,6,6600,1320,263,170,93,0.6463878326996197,0.12878787878787878,3.2319391634980987,0.6375574171603667,3.1877870858018333
43,large_undergrading,primary,margin_only,0.2,6,6600,1320,263,122,141,0.46387832699619774,0.09242424242424242,2.3193916349809887,0.4609065498231692,2.3045327491158463
43,large_undergrading,primary,ophagent_combined,0.2,6,6600,1320,263,156,107,0.5931558935361216,0.11818181818181818,2.9657794676806084,0.5870646230203803,2.9353231151019012
43,large_undergrading,primary,top2_more_severe_only,0.2,6,6600,1320,263,173,90,0.6577946768060836,0.13106060606060607,3.2889733840304185,0.6527117289000443,3.2635586445002214
43,vision_threatening_dr_miss,primary,expected_gap_only,0.2,6,6600,1320,391,226,165,0.578005115089514,0.1712121212121212,2.89002557544757,0.5738458890016175,2.869229445008088
43,vision_threatening_dr_miss,primary,gated_severe_prob_mass_only,0.2,6,6600,1320,391,298,93,0.7621483375959079,0.22575757575757577,3.8107416879795397,0.7593936961567662,3.7969684807838315
43,vision_threatening_dr_miss,primary,learned_logistic,0.2,6,6600,1320,391,280,111,0.7161125319693095,0.21212121212121213,3.580562659846547,0.7147780874421588,3.573890437210794
43,vision_threatening_dr_miss,primary,margin_only,0.2,6,6600,1320,391,183,208,0.4680306905370844,0.13863636363636364,2.340153452685422,0.4677615271886684,2.338807635943342
43,vision_threatening_dr_miss,primary,ophagent_combined,0.2,6,6600,1320,391,241,150,0.6163682864450127,0.18257575757575759,3.081841432225064,0.6141920000651925,3.0709600003259623
43,vision_threatening_dr_miss,primary,top2_more_severe_only,0.2,6,6600,1320,391,259,132,0.6624040920716112,0.1962121212121212,3.312020460358056,0.6574194838655351,3.2870974193276754
43,dangerous_undergrading,secondary,expected_gap_only,0.2,6,6600,1320,430,256,174,0.5953488372093023,0.19393939393939394,2.9767441860465116,0.5935300224032618,2.9676501120163086
43,dangerous_undergrading,secondary,gated_severe_prob_mass_only,0.2,6,6600,1320,430,304,126,0.7069767441860465,0.23030303030303031,3.5348837209302326,0.7046359869622023,3.5231799348110115
43,dangerous_undergrading,secondary,learned_logistic,0.2,6,6600,1320,430,284,146,0.6604651162790698,0.21515151515151515,3.3023255813953485,0.6573692751793615,3.2868463758968076
43,dangerous_undergrading,secondary,margin_only,0.2,6,6600,1320,430,194,236,0.4511627906976744,0.14696969696969697,2.255813953488372,0.4509802731974472,2.254901365987236
43,dangerous_undergrading,secondary,ophagent_combined,0.2,6,6600,1320,430,254,176,0.5906976744186047,0.19242424242424241,2.953488372093023,0.5873599493544973,2.9367997467724867
43,dangerous_undergrading,secondary,top2_more_severe_only,0.2,6,6600,1320,430,282,148,0.6558139534883721,0.21363636363636362,3.27906976744186,0.6514355476418175,3.2571777382090876
44,large_undergrading,primary,expected_gap_only,0.2,6,6600,1320,263,177,86,0.6730038022813688,0.1340909090909091,3.365019011406844,0.6611550280750508,3.3057751403752538
44,large_undergrading,primary,gated_severe_prob_mass_only,0.2,6,6600,1320,263,169,94,0.6425855513307985,0.12803030303030302,3.212927756653992,0.6403656980344444,3.2018284901722223
44,large_undergrading,primary,learned_logistic,0.2,6,6600,1320,263,169,94,0.6425855513307985,0.12803030303030302,3.212927756653992,0.6354586799453504,3.177293399726752
44,large_undergrading,primary,margin_only,0.2,6,6600,1320,263,122,141,0.46387832699619774,0.09242424242424242,2.3193916349809887,0.4609065498231692,2.3045327491158463
44,large_undergrading,primary,ophagent_combined,0.2,6,6600,1320,263,156,107,0.5931558935361216,0.11818181818181818,2.9657794676806084,0.5870646230203803,2.9353231151019012
44,large_undergrading,primary,top2_more_severe_only,0.2,6,6600,1320,263,173,90,0.6577946768060836,0.13106060606060607,3.2889733840304185,0.6527117289000443,3.2635586445002214
44,vision_threatening_dr_miss,primary,expected_gap_only,0.2,6,6600,1320,391,226,165,0.578005115089514,0.1712121212121212,2.89002557544757,0.5738458890016175,2.869229445008088
44,vision_threatening_dr_miss,primary,gated_severe_prob_mass_only,0.2,6,6600,1320,391,298,93,0.7621483375959079,0.22575757575757577,3.8107416879795397,0.7593936961567662,3.7969684807838315
