target,comparison_role,learned_method,simple_method,review_budget,endpoint_scope,n_bootstrap,mean_recall_diff,median_recall_diff,ci95_low_recall_diff,ci95_high_recall_diff,mean_backbone_recall_diff,ci95_low_mean_backbone_recall_diff,ci95_high_mean_backbone_recall_diff,bootstrap_win_rate,tie_rate,mean_residual_diff,median_residual_diff,ci95_low_residual_diff,ci95_high_residual_diff,mean_lift_diff,median_lift_diff,ci95_low_lift_diff,ci95_high_lift_diff,mean_learned_captured,mean_simple_captured,mean_total_dangerous
dangerous_undergrading,secondary,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone_aggregate,2000,-0.05262466705956709,-0.052109181141439254,-0.09382403883838823,-0.010665957446808559,-0.05328218635777873,-0.09464842851107873,-0.010760701219609372,0.004,0.0025,22.676,22.0,4.0,41.0,-0.26312333529783544,-0.26054590570719594,-0.46912019419194145,-0.053329787234042476,280.254,302.93,430.474
dangerous_undergrading,secondary,learned_logistic,ophagent_combined,0.2,per_backbone_aggregate,2000,0.0636700615698056,0.0640026468642011,0.002583318463887041,0.12362559571702661,0.06457379799540672,0.004451182472441945,0.124126421141458,0.9785,0.0045,-27.454,-27.0,-54.0,-1.0,0.318350307849028,0.32001323432100603,0.012916592319435528,0.6181279785851332,280.183,252.729,430.1235
large_undergrading,primary,learned_logistic,expected_gap_only,0.2,per_backbone_aggregate,2000,-0.020587044108522943,-0.020913212718498997,-0.07786885245901642,0.037350638005802836,-0.019538297759422472,-0.08036861755695571,0.04114233421700453,0.2055,0.036,5.334,5.0,-10.0,20.0,-0.1029352205426147,-0.10456606359249476,-0.389344262295082,0.1867531900290145,171.323,176.657,263.6755
large_undergrading,secondary,learned_logistic,ophagent_combined,0.2,per_backbone_aggregate,2000,0.05718762024346447,0.05794303620390573,-0.007278879015721168,0.11688311688311681,0.05323941947548556,-0.01097375764378978,0.11458535195968358,0.9575,0.0115,-15.102,-15.0,-32.0,2.0,0.2859381012173224,0.28971518101952887,-0.03639439507860539,0.5844155844155843,170.2045,155.1025,262.8165
vision_threatening_dr_miss,primary,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone_aggregate,2000,-0.0420463993957253,-0.04166666666666663,-0.09259259259259256,0.007320713505642506,-0.040515737411084544,-0.09089931160983233,0.007928136111321631,0.0395,0.0125,16.355,16.0,-3.0,36.0,-0.21023199697862646,-0.20833333333333348,-0.4629629629629628,0.03660356752821253,280.9735,297.3285,390.398
vision_threatening_dr_miss,secondary,learned_logistic,ophagent_combined,0.2,per_backbone_aggregate,2000,0.10574608199730087,0.10608070090828708,0.027773941068139976,0.18128696386859505,0.10722534659249891,0.027259753687533736,0.1849175901489998,0.996,0.0,-41.3715,-41.0,-74.0,-10.0,0.5287304099865043,0.5304035045414355,0.1388697053407002,0.9064348193429754,279.998,238.6265,389.7455
