target,target_role,feature,n_folds,coef_mean,coef_median,coef_q25,coef_q75,coef_iqr,abs_coef_mean,abs_coef_median,abs_coef_q25,abs_coef_q75,positive_rate,negative_rate,zero_rate,sign_consistency,abs_coef_rank_by_target
dangerous_undergrading,secondary,pred_le_2,5,1.2772852670561505,1.2727796258985917,1.2309550706934862,1.3230910715675002,0.09213600087401397,1.2772852670561505,1.2727796258985917,1.2309550706934862,1.3230910715675002,1.0,0.0,0.0,1.0,1
dangerous_undergrading,secondary,expected_grade,5,1.1942642356918027,1.2021710027828096,1.2011064981195616,1.220425624099156,0.019319125979594398,1.1942642356918027,1.2021710027828096,1.2011064981195616,1.220425624099156,1.0,0.0,0.0,1.0,2
dangerous_undergrading,secondary,severe_prob_mass,5,-1.11769658820342,-1.124276313890208,-1.1303268119406933,-1.0958872079703796,0.03443960397031365,1.11769658820342,1.124276313890208,1.0958872079703796,1.1303268119406933,0.0,1.0,0.0,1.0,3
dangerous_undergrading,secondary,expected_gap,5,0.8754695634985019,0.8655039645863294,0.8225637077697145,0.9320125369714869,0.10944882920177235,0.8754695634985019,0.8655039645863294,0.8225637077697145,0.9320125369714869,1.0,0.0,0.0,1.0,4
dangerous_undergrading,secondary,pred_grade,5,0.8139466836112842,0.8155027145182743,0.7932653838146264,0.8228415777173346,0.02957619390270816,0.8139466836112842,0.8155027145182743,0.7932653838146264,0.8228415777173346,1.0,0.0,0.0,1.0,5
dangerous_undergrading,secondary,gated_severe_prob_mass,5,0.3784048653051021,0.3424918105218758,0.33340166931978354,0.42462292207919955,0.091221252759416,0.3784048653051021,0.3424918105218758,0.33340166931978354,0.42462292207919955,1.0,0.0,0.0,1.0,6
dangerous_undergrading,secondary,top2_confidence,5,0.24469352166106134,0.2708639759085859,0.2612465580448369,0.3740802290786385,0.11283367103380165,0.2820673987429513,0.2708639759085859,0.2612465580448369,0.3740802290786385,0.8,0.2,0.0,0.8,7
dangerous_undergrading,secondary,confidence,5,0.11719992834359046,0.18413290923910938,0.09367698615386065,0.23620025192616603,0.1425232657723054,0.18482588258265897,0.18413290923910938,0.16906488559767127,0.23620025192616603,0.8,0.2,0.0,0.8,8
dangerous_undergrading,secondary,top2_grade,5,-0.17458025645810155,-0.18085381881642576,-0.18536016823107007,-0.16436872067809258,0.020991447552977494,0.17458025645810155,0.18085381881642576,0.16436872067809258,0.18536016823107007,0.0,1.0,0.0,1.0,9
dangerous_undergrading,secondary,entropy_norm,5,-0.16210360178553457,-0.1307568135238454,-0.22982170573480673,-0.1278763179232427,0.10194538781156404,0.16210360178553457,0.1307568135238454,0.1278763179232427,0.22982170573480673,0.0,1.0,0.0,1.0,10
dangerous_undergrading,secondary,top2_more_severe_conf,5,0.17255156852759515,0.12773333881790297,0.09533321896276044,0.3209476378079941,0.2256144188452337,0.21323170891550144,0.12773333881790297,0.1017003509697658,0.3209476378079941,0.8,0.2,0.0,0.8,11
