seed,target,target_role,backbone,ranking_method,review_budget,n_records,reviewed_n,total_dangerous,captured,residual,recall,precision,lift
42,vision_threatening_dr_miss,primary,convnext_tiny,top2_more_severe_only,0.2,1100,220,65,43,22,0.6615384615384615,0.19545454545454546,3.307692307692308
42,vision_threatening_dr_miss,primary,convnext_tiny,ophagent_combined,0.2,1100,220,65,43,22,0.6615384615384615,0.19545454545454546,3.307692307692308
42,vision_threatening_dr_miss,primary,convnext_tiny,margin_only,0.2,1100,220,65,34,31,0.5230769230769231,0.15454545454545454,2.6153846153846154
42,vision_threatening_dr_miss,primary,retfound_official_like,learned_logistic,0.2,1100,220,60,46,14,0.7666666666666667,0.20909090909090908,3.8333333333333335
42,vision_threatening_dr_miss,primary,retfound_official_like,expected_gap_only,0.2,1100,220,60,39,21,0.65,0.17727272727272728,3.2500000000000004
42,vision_threatening_dr_miss,primary,retfound_official_like,gated_severe_prob_mass_only,0.2,1100,220,60,48,12,0.8,0.21818181818181817,4.0
42,vision_threatening_dr_miss,primary,retfound_official_like,top2_more_severe_only,0.2,1100,220,60,39,21,0.65,0.17727272727272728,3.2500000000000004
42,vision_threatening_dr_miss,primary,retfound_official_like,ophagent_combined,0.2,1100,220,60,42,18,0.7,0.19090909090909092,3.5000000000000004
42,vision_threatening_dr_miss,primary,retfound_official_like,margin_only,0.2,1100,220,60,32,28,0.5333333333333333,0.14545454545454545,2.6666666666666665
42,vision_threatening_dr_miss,primary,swin_tiny,learned_logistic,0.2,1100,220,62,45,17,0.7258064516129032,0.20454545454545456,3.629032258064516
42,vision_threatening_dr_miss,primary,swin_tiny,expected_gap_only,0.2,1100,220,62,37,25,0.5967741935483871,0.16818181818181818,2.9838709677419355
42,vision_threatening_dr_miss,primary,swin_tiny,gated_severe_prob_mass_only,0.2,1100,220,62,47,15,0.7580645161290323,0.21363636363636362,3.790322580645161
42,vision_threatening_dr_miss,primary,swin_tiny,top2_more_severe_only,0.2,1100,220,62,37,25,0.5967741935483871,0.16818181818181818,2.9838709677419355
42,vision_threatening_dr_miss,primary,swin_tiny,ophagent_combined,0.2,1100,220,62,29,33,0.46774193548387094,0.1318181818181818,2.3387096774193545
42,vision_threatening_dr_miss,primary,swin_tiny,margin_only,0.2,1100,220,62,24,38,0.3870967741935484,0.10909090909090909,1.9354838709677418
42,vision_threatening_dr_miss,primary,vit_b_imagenet,learned_logistic,0.2,1100,220,58,41,17,0.7068965517241379,0.18636363636363637,3.53448275862069
42,vision_threatening_dr_miss,primary,vit_b_imagenet,expected_gap_only,0.2,1100,220,58,36,22,0.6206896551724138,0.16363636363636364,3.103448275862069
42,vision_threatening_dr_miss,primary,vit_b_imagenet,gated_severe_prob_mass_only,0.2,1100,220,58,43,15,0.7413793103448276,0.19545454545454546,3.7068965517241383
42,vision_threatening_dr_miss,primary,vit_b_imagenet,top2_more_severe_only,0.2,1100,220,58,36,22,0.6206896551724138,0.16363636363636364,3.103448275862069
42,vision_threatening_dr_miss,primary,vit_b_imagenet,ophagent_combined,0.2,1100,220,58,32,26,0.5517241379310345,0.14545454545454545,2.758620689655172
42,vision_threatening_dr_miss,primary,vit_b_imagenet,margin_only,0.2,1100,220,58,25,33,0.43103448275862066,0.11363636363636363,2.155172413793103
42,vision_threatening_dr_miss,primary,vit_b_official_like,learned_logistic,0.2,1100,220,84,63,21,0.75,0.2863636363636364,3.75
42,vision_threatening_dr_miss,primary,vit_b_official_like,expected_gap_only,0.2,1100,220,84,54,30,0.6428571428571429,0.24545454545454545,3.214285714285714
42,vision_threatening_dr_miss,primary,vit_b_official_like,gated_severe_prob_mass_only,0.2,1100,220,84,68,16,0.8095238095238095,0.3090909090909091,4.0476190476190474
42,vision_threatening_dr_miss,primary,vit_b_official_like,top2_more_severe_only,0.2,1100,220,84,62,22,0.7380952380952381,0.2818181818181818,3.69047619047619
42,vision_threatening_dr_miss,primary,vit_b_official_like,ophagent_combined,0.2,1100,220,84,54,30,0.6428571428571429,0.24545454545454545,3.214285714285714
42,vision_threatening_dr_miss,primary,vit_b_official_like,margin_only,0.2,1100,220,84,39,45,0.4642857142857143,0.17727272727272728,2.321428571428571
42,vision_threatening_dr_miss,primary,vit_l_official_like,learned_logistic,0.2,1100,220,62,41,21,0.6612903225806451,0.18636363636363637,3.306451612903226
42,vision_threatening_dr_miss,primary,vit_l_official_like,expected_gap_only,0.2,1100,220,62,13,49,0.20967741935483872,0.05909090909090909,1.0483870967741935
42,vision_threatening_dr_miss,primary,vit_l_official_like,gated_severe_prob_mass_only,0.2,1100,220,62,43,19,0.6935483870967742,0.19545454545454546,3.467741935483871
42,vision_threatening_dr_miss,primary,vit_l_official_like,top2_more_severe_only,0.2,1100,220,62,42,20,0.6774193548387096,0.19090909090909092,3.3870967741935485
42,vision_threatening_dr_miss,primary,vit_l_official_like,ophagent_combined,0.2,1100,220,62,41,21,0.6612903225806451,0.18636363636363637,3.306451612903226
42,vision_threatening_dr_miss,primary,vit_l_official_like,margin_only,0.2,1100,220,62,29,33,0.46774193548387094,0.1318181818181818,2.3387096774193545
42,dangerous_undergrading,secondary,convnext_tiny,learned_logistic,0.2,1100,220,70,51,19,0.7285714285714285,0.2318181818181818,3.6428571428571432
42,dangerous_undergrading,secondary,convnext_tiny,expected_gap_only,0.2,1100,220,70,52,18,0.7428571428571429,0.23636363636363636,3.7142857142857144
42,dangerous_undergrading,secondary,convnext_tiny,gated_severe_prob_mass_only,0.2,1100,220,70,49,21,0.7,0.22272727272727272,3.5
42,dangerous_undergrading,secondary,convnext_tiny,top2_more_severe_only,0.2,1100,220,70,48,22,0.6857142857142857,0.21818181818181817,3.428571428571429
42,dangerous_undergrading,secondary,convnext_tiny,ophagent_combined,0.2,1100,220,70,43,27,0.6142857142857143,0.19545454545454546,3.071428571428572
42,dangerous_undergrading,secondary,convnext_tiny,margin_only,0.2,1100,220,70,34,36,0.4857142857142857,0.15454545454545454,2.428571428571429
42,dangerous_undergrading,secondary,retfound_official_like,learned_logistic,0.2,1100,220,65,43,22,0.6615384615384615,0.19545454545454546,3.307692307692308
42,dangerous_undergrading,secondary,retfound_official_like,expected_gap_only,0.2,1100,220,65,43,22,0.6615384615384615,0.19545454545454546,3.307692307692308
42,dangerous_undergrading,secondary,retfound_official_like,gated_severe_prob_mass_only,0.2,1100,220,65,48,17,0.7384615384615385,0.21818181818181817,3.692307692307692
42,dangerous_undergrading,secondary,retfound_official_like,top2_more_severe_only,0.2,1100,220,65,42,23,0.6461538461538462,0.19090909090909092,3.230769230769231
42,dangerous_undergrading,secondary,retfound_official_like,ophagent_combined,0.2,1100,220,65,43,22,0.6615384615384615,0.19545454545454546,3.307692307692308
42,dangerous_undergrading,secondary,retfound_official_like,margin_only,0.2,1100,220,65,33,32,0.5076923076923077,0.15,2.5384615384615383
42,dangerous_undergrading,secondary,swin_tiny,learned_logistic,0.2,1100,220,65,41,24,0.6307692307692307,0.18636363636363637,3.153846153846154
42,dangerous_undergrading,secondary,swin_tiny,expected_gap_only,0.2,1100,220,65,40,25,0.6153846153846154,0.18181818181818182,3.076923076923077
42,dangerous_undergrading,secondary,swin_tiny,gated_severe_prob_mass_only,0.2,1100,220,65,48,17,0.7384615384615385,0.21818181818181817,3.692307692307692
42,dangerous_undergrading,secondary,swin_tiny,top2_more_severe_only,0.2,1100,220,65,40,25,0.6153846153846154,0.18181818181818182,3.076923076923077
42,dangerous_undergrading,secondary,swin_tiny,ophagent_combined,0.2,1100,220,65,31,34,0.47692307692307695,0.1409090909090909,2.3846153846153846
42,dangerous_undergrading,secondary,swin_tiny,margin_only,0.2,1100,220,65,26,39,0.4,0.11818181818181818,2.0
42,dangerous_undergrading,secondary,vit_b_imagenet,learned_logistic,0.2,1100,220,66,39,27,0.5909090909090909,0.17727272727272728,2.9545454545454546
42,dangerous_undergrading,secondary,vit_b_imagenet,expected_gap_only,0.2,1100,220,66,41,25,0.6212121212121212,0.18636363636363637,3.1060606060606064
42,dangerous_undergrading,secondary,vit_b_imagenet,gated_severe_prob_mass_only,0.2,1100,220,66,45,21,0.6818181818181818,0.20454545454545456,3.4090909090909096
42,dangerous_undergrading,secondary,vit_b_imagenet,top2_more_severe_only,0.2,1100,220,66,41,25,0.6212121212121212,0.18636363636363637,3.1060606060606064
42,dangerous_undergrading,secondary,vit_b_imagenet,ophagent_combined,0.2,1100,220,66,36,30,0.5454545454545454,0.16363636363636364,2.7272727272727275
42,dangerous_undergrading,secondary,vit_b_imagenet,margin_only,0.2,1100,220,66,28,38,0.42424242424242425,0.12727272727272726,2.121212121212121
42,dangerous_undergrading,secondary,vit_b_official_like,learned_logistic,0.2,1100,220,93,65,28,0.6989247311827957,0.29545454545454547,3.4946236559139785
42,dangerous_undergrading,secondary,vit_b_official_like,expected_gap_only,0.2,1100,220,93,62,31,0.6666666666666666,0.2818181818181818,3.333333333333333
42,dangerous_undergrading,secondary,vit_b_official_like,gated_severe_prob_mass_only,0.2,1100,220,93,71,22,0.7634408602150538,0.32272727272727275,3.817204301075269
42,dangerous_undergrading,secondary,vit_b_official_like,top2_more_severe_only,0.2,1100,220,93,67,26,0.7204301075268817,0.30454545454545456,3.6021505376344085
42,dangerous_undergrading,secondary,vit_b_official_like,ophagent_combined,0.2,1100,220,93,59,34,0.6344086021505376,0.2681818181818182,3.172043010752688
42,dangerous_undergrading,secondary,vit_b_official_like,margin_only,0.2,1100,220,93,42,51,0.45161290322580644,0.19090909090909092,2.2580645161290325
42,dangerous_undergrading,secondary,vit_l_official_like,learned_logistic,0.2,1100,220,71,42,29,0.5915492957746479,0.19090909090909092,2.9577464788732395
42,dangerous_undergrading,secondary,vit_l_official_like,expected_gap_only,0.2,1100,220,71,18,53,0.2535211267605634,0.08181818181818182,1.267605633802817
42,dangerous_undergrading,secondary,vit_l_official_like,gated_severe_prob_mass_only,0.2,1100,220,71,43,28,0.6056338028169014,0.19545454545454546,3.028169014084507
42,dangerous_undergrading,secondary,vit_l_official_like,top2_more_severe_only,0.2,1100,220,71,44,27,0.6197183098591549,0.2,3.098591549295775
42,dangerous_undergrading,secondary,vit_l_official_like,ophagent_combined,0.2,1100,220,71,42,29,0.5915492957746479,0.19090909090909092,2.9577464788732395
42,dangerous_undergrading,secondary,vit_l_official_like,margin_only,0.2,1100,220,71,31,40,0.43661971830985913,0.1409090909090909,2.1830985915492955
43,large_undergrading,primary,convnext_tiny,learned_logistic,0.2,1100,220,50,36,14,0.72,0.16363636363636364,3.6
