target,target_role,feature,n_seed_folds,coef_mean,coef_median,coef_q25,coef_q75,coef_iqr,abs_coef_mean,abs_coef_median,positive_rate,negative_rate,zero_rate,sign_consistency,abs_coef_rank_by_target
dangerous_undergrading,secondary,pred_le_2,25,1.2743057341093678,1.273660130610745,1.236960084419557,1.30012236401744,0.06316227959788301,1.2743057341093678,1.273660130610745,1.0,0.0,0.0,1.0,1
dangerous_undergrading,secondary,expected_grade,25,1.18802348241199,1.2011064981195616,1.151155566350474,1.220425624099156,0.069270057748682,1.18802348241199,1.2011064981195616,1.0,0.0,0.0,1.0,2
dangerous_undergrading,secondary,severe_prob_mass,25,-1.1152555639329393,-1.1103609994453374,-1.1407280203719798,-1.0863453565671746,0.054382663804805276,1.1152555639329393,1.1103609994453374,0.0,1.0,0.0,1.0,3
dangerous_undergrading,secondary,expected_gap,25,0.8746937856131328,0.867160721192551,0.8191094652938199,0.9316544396506686,0.11254497435684874,0.8746937856131328,0.867160721192551,1.0,0.0,0.0,1.0,4
dangerous_undergrading,secondary,pred_grade,25,0.808592143850086,0.8131528304292451,0.7863426719314681,0.8521082349817377,0.0657655630502696,0.808592143850086,0.8131528304292451,1.0,0.0,0.0,1.0,5
dangerous_undergrading,secondary,gated_severe_prob_mass,25,0.38424478078182395,0.392718083037898,0.3350473055471583,0.42989191621367895,0.09484461066652067,0.38424478078182395,0.392718083037898,1.0,0.0,0.0,1.0,6
dangerous_undergrading,secondary,top2_confidence,25,0.24805242639665642,0.2612465580448369,0.16718739720612724,0.33252032491531236,0.16533292770918512,0.25576150747717785,0.2612465580448369,0.92,0.08,0.0,0.92,7
dangerous_undergrading,secondary,top2_more_severe_conf,25,0.16987334739570048,0.1981389412979447,0.10563477637908221,0.23563189342880503,0.12999711704972283,0.17969741026226402,0.1981389412979447,0.92,0.08,0.0,0.92,8
dangerous_undergrading,secondary,confidence,25,0.12033247807254722,0.11884270413002189,0.064981789738992,0.23444551342539904,0.16946372368640705,0.17922564586407452,0.18413290923910938,0.76,0.24,0.0,0.76,9
dangerous_undergrading,secondary,top2_grade,25,-0.17265631564168593,-0.16436872067809258,-0.20215792567809637,-0.14016064888682292,0.061997276791273453,0.17265631564168593,0.16436872067809258,0.0,1.0,0.0,1.0,10
dangerous_undergrading,secondary,entropy_norm,25,-0.16708966720427187,-0.1278763179232427,-0.24562884663877352,-0.05300260236328696,0.19262624427548655,0.1674925259014611,0.1278763179232427,0.04,0.96,0.0,0.96,11
dangerous_undergrading,secondary,top2_more_severe,25,0.09561334197656313,0.09545692429746429,0.04610697887310233,0.13791155695727889,0.09180457808417655,0.10236674744933075,0.09545692429746429,0.88,0.12,0.0,0.88,12
dangerous_undergrading,secondary,margin,25,-0.0186476541790012,-0.0009383690885961647,-0.05478829856616936,0.01736059334828482,0.07214889191445419,0.05202089684162274,0.0410526844375832,0.44,0.56,0.0,0.56,13
large_undergrading,primary,pred_le_2,25,1.1595659203370337,1.168213563318611,1.1313303031245723,1.1884205739627163,0.057090270838144,1.1595659203370337,1.168213563318611,1.0,0.0,0.0,1.0,1
large_undergrading,primary,severe_prob_mass,25,-1.1263812305794656,-1.1424365816284907,-1.1780280248812327,-1.0996138142068337,0.07841421067439902,1.1263812305794656,1.1424365816284907,0.0,1.0,0.0,1.0,2
large_undergrading,primary,expected_grade,25,0.9518160559463421,0.9516587085304622,0.8705198721726863,1.053476825232142,0.1829569530594557,0.9518160559463421,0.9516587085304622,1.0,0.0,0.0,1.0,3
large_undergrading,primary,expected_gap,25,0.9622132751898773,0.9502799146474235,0.8886147699386704,1.046827105021432,0.15821233508276156,0.9622132751898773,0.9502799146474235,1.0,0.0,0.0,1.0,4
large_undergrading,primary,pred_grade,25,0.5681757554507744,0.5577915662526778,0.4981714949092427,0.647396944446631,0.1492254495373883,0.5681757554507744,0.5577915662526778,1.0,0.0,0.0,1.0,5
large_undergrading,primary,top2_more_severe_conf,25,0.3656057402199647,0.3474966447348906,0.2940624676374005,0.4449248325150569,0.15086236487765636,0.3656057402199647,0.3474966447348906,1.0,0.0,0.0,1.0,6
large_undergrading,primary,confidence,25,-0.0839606856203456,-0.12793085207876495,-0.19439274235270937,0.0004989087966824352,0.1948916511493918,0.1588114960056015,0.15744481035087485,0.28,0.72,0.0,0.72,7
large_undergrading,primary,entropy_norm,25,-0.1380457636107418,-0.10816392321279544,-0.2355179256796335,-0.04605415107430655,0.18946377460532696,0.1699818726822029,0.12132376444734735,0.16,0.84,0.0,0.84,8
large_undergrading,primary,top2_more_severe,25,-0.08917355875694723,-0.10444101937803206,-0.1492823651593935,-0.026967146472553844,0.12231521868683966,0.11182028363803367,0.11193405996417656,0.2,0.8,0.0,0.8,9
large_undergrading,primary,gated_severe_prob_mass,25,0.11992344553671529,0.09510675179706382,0.05899318107222248,0.18334894856051895,0.12435576748829646,0.1255115312852055,0.09510675179706382,0.92,0.08,0.0,0.92,10
large_undergrading,primary,top2_confidence,25,0.03376743595631231,0.030546159638887637,-0.05129970120599494,0.09680099800756721,0.14810069921356214,0.12939355313407652,0.09072636923893018,0.6,0.4,0.0,0.6,11
large_undergrading,primary,margin,25,-0.06623745383800539,-0.07400073085783221,-0.10529069086471816,-0.029126505799884947,0.07616418506483322,0.07679242634013649,0.08095978356067772,0.08,0.92,0.0,0.92,12
large_undergrading,primary,top2_grade,25,-0.05864652308944618,-0.05728957395526591,-0.13660547258063874,0.020559408435114033,0.15716488101575277,0.08842053079819984,0.06746403187572131,0.28,0.72,0.0,0.72,13
vision_threatening_dr_miss,primary,pred_le_2,25,1.4578629565286274,1.4556742301864471,1.420778547621581,1.503111607380604,0.08233305975902283,1.4578629565286274,1.4556742301864471,1.0,0.0,0.0,1.0,1
vision_threatening_dr_miss,primary,expected_grade,25,1.3995146700953893,1.3185621757271104,1.2647264809470349,1.4211453311254485,0.15641885017841362,1.3995146700953893,1.3185621757271104,1.0,0.0,0.0,1.0,2
vision_threatening_dr_miss,primary,severe_prob_mass,25,-1.2102493989279366,-1.2075734986734241,-1.2403494937944641,-1.1486311067554955,0.09171838703896862,1.2102493989279366,1.2075734986734241,0.0,1.0,0.0,1.0,3
vision_threatening_dr_miss,primary,pred_grade,25,1.0793353123072535,1.0278539015963468,0.9836209190136902,1.0652984666317493,0.08167754761805912,1.0793353123072535,1.0278539015963468,1.0,0.0,0.0,1.0,4
vision_threatening_dr_miss,primary,expected_gap,25,0.614187041376605,0.5965261982334801,0.5661438099641573,0.6704305213069283,0.10428671134277101,0.614187041376605,0.5965261982334801,1.0,0.0,0.0,1.0,5
vision_threatening_dr_miss,primary,gated_severe_prob_mass,25,0.5352038741001198,0.5446132152034099,0.4757392772047506,0.6001168015953047,0.12437752439055405,0.5352038741001198,0.5446132152034099,1.0,0.0,0.0,1.0,6
vision_threatening_dr_miss,primary,entropy_norm,25,-0.3895139196687374,-0.3750503968957921,-0.44198309347296405,-0.3310842684467095,0.11089882502625453,0.3895139196687374,0.3750503968957921,0.0,1.0,0.0,1.0,7
vision_threatening_dr_miss,primary,top2_more_severe_conf,25,0.21562881213732116,0.1916346103880618,0.1473186525386495,0.2820194305635199,0.1347007780248704,0.2266251778820126,0.1916346103880618,0.96,0.04,0.0,0.96,8
vision_threatening_dr_miss,primary,top2_confidence,25,0.13831756543881718,0.15402836737990216,0.050110800840676026,0.1858555231918961,0.1357447223512201,0.16883681771264922,0.15402836737990216,0.84,0.16,0.0,0.84,9
vision_threatening_dr_miss,primary,confidence,25,-0.017258672986233823,-0.040011722994673385,-0.10334607976564288,0.05753130487954879,0.16087738464519166,0.12291498733510478,0.10171402134091743,0.4,0.6,0.0,0.6,10
vision_threatening_dr_miss,primary,margin,25,-0.06415512859398026,-0.06862314897760648,-0.11442591326640748,-0.013024219341444519,0.10140169392496297,0.07306607578730588,0.06862314897760648,0.12,0.88,0.0,0.88,11
vision_threatening_dr_miss,primary,top2_more_severe,25,-0.013289081040301208,-0.0211427632855103,-0.11075524240896031,0.041906971354680765,0.15266221376364109,0.08942950026440273,0.065409143744603,0.4,0.6,0.0,0.6,12
