backbone,ranking_method,clinical_event,review_budget,reviewed_n,auto_released_n,dangerous_error_total,dangerous_error_captured,dangerous_error_recall_at_k,dangerous_error_precision_at_k,dangerous_error_lift_vs_random,residual_dangerous_error_count,residual_dangerous_error_rate,dangerous_errors_per_100_reviewed,number_needed_to_review
swin_tiny,gated_severe_prob_mass_only,any_undergrading,0.05,55,1045,118,21,0.17796610169491525,0.38181818181818183,3.5593220338983054,97,0.09282296650717703,38.18181818181819,2.619047619047619
swin_tiny,gated_severe_prob_mass_only,any_undergrading,0.1,110,990,118,33,0.2796610169491525,0.3,2.7966101694915255,85,0.08585858585858586,30.0,3.3333333333333335
swin_tiny,gated_severe_prob_mass_only,any_undergrading,0.2,220,880,118,52,0.4406779661016949,0.23636363636363636,2.2033898305084745,66,0.075,23.636363636363637,4.230769230769231
swin_tiny,gated_severe_prob_mass_only,any_undergrading,0.3,330,770,118,79,0.6694915254237288,0.23939393939393938,2.231638418079096,39,0.05064935064935065,23.939393939393938,4.177215189873418
swin_tiny,gated_severe_prob_mass_only,large_undergrading,0.05,55,1045,37,10,0.2702702702702703,0.18181818181818182,5.405405405405405,27,0.02583732057416268,18.181818181818183,5.5
swin_tiny,gated_severe_prob_mass_only,large_undergrading,0.1,110,990,37,19,0.5135135135135135,0.17272727272727273,5.135135135135135,18,0.01818181818181818,17.272727272727273,5.7894736842105265
swin_tiny,gated_severe_prob_mass_only,large_undergrading,0.2,220,880,37,28,0.7567567567567568,0.12727272727272726,3.7837837837837833,9,0.010227272727272727,12.727272727272727,7.857142857142858
swin_tiny,gated_severe_prob_mass_only,large_undergrading,0.3,330,770,37,31,0.8378378378378378,0.09393939393939393,2.7927927927927927,6,0.007792207792207792,9.393939393939393,10.645161290322582
swin_tiny,gated_severe_prob_mass_only,referable_dr_miss,0.05,55,1045,38,0,0.0,0.0,0.0,38,0.03636363636363636,0.0,
swin_tiny,gated_severe_prob_mass_only,referable_dr_miss,0.1,110,990,38,1,0.02631578947368421,0.00909090909090909,0.2631578947368421,37,0.03737373737373737,0.9090909090909091,110.0
swin_tiny,gated_severe_prob_mass_only,referable_dr_miss,0.2,220,880,38,6,0.15789473684210525,0.02727272727272727,0.7894736842105262,32,0.03636363636363636,2.727272727272727,36.66666666666667
swin_tiny,gated_severe_prob_mass_only,referable_dr_miss,0.3,330,770,38,21,0.5526315789473685,0.06363636363636363,1.8421052631578945,17,0.02207792207792208,6.363636363636363,15.714285714285715
swin_tiny,gated_severe_prob_mass_only,vision_threatening_dr_miss,0.05,55,1045,62,21,0.3387096774193548,0.38181818181818183,6.774193548387097,41,0.03923444976076555,38.18181818181819,2.619047619047619
swin_tiny,gated_severe_prob_mass_only,vision_threatening_dr_miss,0.1,110,990,62,33,0.532258064516129,0.3,5.32258064516129,29,0.029292929292929294,30.0,3.3333333333333335
swin_tiny,gated_severe_prob_mass_only,vision_threatening_dr_miss,0.2,220,880,62,47,0.7580645161290323,0.21363636363636362,3.790322580645161,15,0.017045454545454544,21.363636363636363,4.680851063829787
swin_tiny,gated_severe_prob_mass_only,vision_threatening_dr_miss,0.3,330,770,62,57,0.9193548387096774,0.17272727272727273,3.064516129032258,5,0.006493506493506494,17.272727272727273,5.7894736842105265
swin_tiny,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.05,55,1045,50,11,0.22,0.2,4.4,39,0.03732057416267943,20.0,5.0
swin_tiny,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.1,110,990,50,21,0.42,0.19090909090909092,4.2,29,0.029292929292929294,19.090909090909093,5.238095238095238
swin_tiny,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.2,220,880,50,35,0.7,0.1590909090909091,3.5,15,0.017045454545454544,15.909090909090908,6.285714285714286
swin_tiny,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.3,330,770,50,45,0.9,0.13636363636363635,2.9999999999999996,5,0.006493506493506494,13.636363636363635,7.333333333333334
swin_tiny,expected_grade_only,general_error,0.05,55,1045,188,16,0.0851063829787234,0.2909090909090909,1.702127659574468,172,0.1645933014354067,29.09090909090909,3.4375
swin_tiny,expected_grade_only,general_error,0.1,110,990,188,41,0.21808510638297873,0.37272727272727274,2.1808510638297873,147,0.1484848484848485,37.27272727272727,2.6829268292682924
swin_tiny,expected_grade_only,general_error,0.2,220,880,188,73,0.3882978723404255,0.33181818181818185,1.9414893617021278,115,0.13068181818181818,33.18181818181819,3.013698630136986
swin_tiny,expected_grade_only,general_error,0.3,330,770,188,90,0.4787234042553192,0.2727272727272727,1.5957446808510638,98,0.12727272727272726,27.27272727272727,3.666666666666667
