dataset,target,budget,method,comparator,n_bootstrap,n_unique_images,mean_delta_event_recall,ci95_low_delta_event_recall,ci95_high_delta_event_recall,win_rate_delta_gt_0,mean_delta_residual_event_count,ci95_low_delta_residual_event_count,ci95_high_delta_residual_event_count,mean_delta_residual_event_rate,ci95_low_delta_residual_event_rate,ci95_high_delta_residual_event_rate,seed,mean_residual_event_count_reduction,ci95_low_residual_event_count_reduction,ci95_high_residual_event_count_reduction,mean_residual_event_rate_reduction,ci95_low_residual_event_rate_reduction,ci95_high_residual_event_rate_reduction
IDRiD_data,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,103,0.3384947383677577,0.219505219626783,0.4741920355000354,1.0,7.878723463150438,5.393899741780753,10.21961246239342,0.0960819934530541,0.0657792651436677,0.1246294202730904,42,,,,,,
MESSIDOR2,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,526,0.6267938959020204,0.5003397997754392,0.7368535720558153,1.0,16.739622982569866,11.014348336079133,23.0891349512185,0.0398562451965949,0.0262246388954265,0.0549741308362345,42,,,,,,
IDRiD_data,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,103,0.3392152466421423,0.2229034668746404,0.4760646390547886,1.0,,,,,,,123,7.913450473274493,5.4986413027827865,10.20737457008524,0.0965054935765182,0.0670566012534486,0.1244801776839663
MESSIDOR2,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,526,0.626622909280036,0.5001259676761617,0.7363166887384344,1.0,,,,,,,123,16.74911030271203,11.00135945607557,23.076442818830404,0.0398788340540762,0.0261937129906561,0.0549439114734057
IDRiD_data,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,103,0.3407938031403239,0.2242219568023195,0.4778655483668107,1.0,,,,,,,2026,7.962846732852807,5.5705609975120565,10.340117379600922,0.0971078869860098,0.0679336707013665,0.1260989924341576
MESSIDOR2,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,526,0.6306259028933427,0.5107970263735802,0.7345196910423766,1.0,,,,,,,2026,16.77837024294867,10.9560344004062,23.080632039991805,0.0399485005784492,0.0260857961914433,0.0549538858095043
IDRiD_data,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,103,0.3370421078483631,0.2178806716702909,0.4761514124756271,1.0,,,,,,,3407,7.880008442083837,5.3812756258751,10.200298160246662,0.0960976639278516,0.0656253125106719,0.124393880003008
MESSIDOR2,vtdr_miss,0.2,gated_severe_prob_mass_only,random_gate_only_expected,2000,526,0.6308563294795428,0.5131442356761412,0.736404721859651,1.0,,,,,,,3407,16.773491040762195,10.81146095500381,23.13551290319884,0.0399368834303861,0.02574157370239,0.0550845545314258
