method,accuracy,macro_f1,qwk,n_error
retfound_green_linear_probe,0.7790909090909091,0.6394309461388187,0.8653377490177998,243
convnext_tiny,0.8136363636363636,0.6496387745585863,0.86153550730867,205
retfound_mae_cfp_official_protocol,0.8481818181818181,0.7053623145676526,0.9128907111651475,167
experts_only_average,0.8545454545454545,0.7186645964065106,0.910170019929115,160
all_three_average,0.8454545454545455,0.7111982937349345,0.9062788648355965,170
