epoch,train_loss,val_loss,val_acc,best_acc
1,0.9409788148477674,0.7749708700267708,0.7509727626459144,0.0
2,0.6778498003259301,0.6809429500032874,0.7412451361867705,0.7509727626459144
3,0.5837561346124858,0.6002177047296701,0.791828793774319,0.7509727626459144
4,0.5384282034356147,0.5029254890978336,0.8054474708171206,0.791828793774319
5,0.4800027492456138,0.5853177433943048,0.7840466926070039,0.8054474708171206
6,0.4058135165832937,0.5268137386575451,0.8132295719844358,0.8054474708171206
7,0.402551882667467,0.48821016250397353,0.8093385214007782,0.8132295719844358
8,0.32952138246037066,0.6439203493338188,0.7898832684824902,0.8132295719844358
9,0.31788806174881756,0.693336466436877,0.77431906614786,0.8132295719844358
10,0.32342727901414037,0.7004676124574069,0.811284046692607,0.8132295719844358
